,Artist / Song Info,Label,Plays,WOC,LW,TW,Change,WEEK
27,HEARTS & HAND GRENADES / BREATHE INTO ME,Independent,299,3,32,27,+33,09/17/2024
28,BADFLOWER / DETROIT,Big Machine,299,6,27,28,-9,09/17/2024
29,SHIM / STING LIKE A BITCH,Curtain Call,297,2,36,29,+72,09/17/2024
30,FLAT BLACK / A BIT OF LIGHTNING,Concord,295,6,30,30,+21,09/17/2024
31,SCOTT STAPP / BLACK BUTTERFLY,Napalm,287,7,31,31,+20,09/17/2024
32,VENREZ / CROSSED THE LINE,Wake Up! Music Rocks,285,10,18,32,-108,09/17/2024
33,WOLVES OF TOMORROW / RAVENS TEARS,Independent,279,4,34,33,+33,09/17/2024
34,JELLY ROLL / LIAR,BMG,277,3,33,34,+12,09/17/2024
35,STRIPPING THE PISTOL / HOPE,TLG/ZOID/Virgin,267,11,21,35,-111,09/17/2024
36,EMPIIRES / NEVER ENOUGH,TLG/ZOID/Virgin,262,8,20,36,-123,09/17/2024
37,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,260,14,6,37,-342,09/17/2024
38,SALEM'S CHILDE / THROUGH FIRE,Pavement,241,2,45,38,+43,09/17/2024
39,CALL ME KARIZMA / MADHOUSE,Gloomy Culture/BHMM,236,2,41,39,+29,09/17/2024
40,STARSET / TOKSIK,Concord,230,2,46,40,+34,09/17/2024
41,POPPY / NEW WAY OUT,Sumerian,229,4,47,41,+33,09/17/2024
42,ALBORN / A LITTLE LESS THAN EXPECTED,ONErpm,225,2,42,42,+12,09/17/2024
43,SKILLET / UNPOPULAR,Hear It Loud/Vydia,221,1,51,43,+22,09/17/2024
44,ENEMY REMAINS / WILL I WAKE,Independent,205,1,53,44,+34,09/17/2024
45,CONQUER DIVIDE / PARALYZED (FT....,Mascot,200,1,55,45,+36,09/17/2024
46,LAKEVIEW / MONEY WHERE YOUR MOUTH IS,Gravel Road,199,5,43,46,-1,09/17/2024
47,HIGHLY SUSPECT / PLASTIC BOXES,3eE/Roadrunner/InDeGoot,196,7,42,47,-11,09/17/2024
48,FAME ON FIRE / CHAINS (THE TOWER),Hopeless,195,1,73,48,+91,09/17/2024
49,TREMONTI / JUST TOO MUCH,Napalm,186,1,54,49,+23,09/17/2024
50,THE WARNING / HELL YOU CALL A DREAM,Republic,183,1,58,50,+29,09/17/2024
,SEETHER / JUDAS MIND,Concord,806,11,1,1,-23,09/24/2024
,HALESTORM & I PREVAIL / CAN YOU SEE ME IN THE DARK?,Atlantic,713,14,2,2,-14,09/24/2024
,SHALLOW SIDE / FILTERS,Thermal,700,19,3,3,+12,09/24/2024
,POP EVIL / WHAT REMAINS,MNRK Heavy/G&G,671,6,5,4,+40,09/24/2024
,BRING ME THE HORIZON / TOP 10 STATUES THAT CRIED BLOOD,Columbia,645,15,4,5,+13,09/24/2024
,A DAY TO REMEMBER / FEEDBACK,Fueled By Ramen/3eE,635,14,6,6,+52,09/24/2024
,LINKIN PARK / THE EMPTINESS MACHINE,Warner,628,2,18,7,+232,09/24/2024
,DOROTHY / MUD,Roc Nation,619,8,11,8,+81,09/24/2024
,THE FUNERAL PORTRAIT / SUFFOCATE CITY,Better Noise,564,11,10,9,+22,09/24/2024
,MESSER / FIND OUT,Maddpants/ONErpm/FM,545,12,9,10,-12,09/24/2024
,BLACK VEIL BRIDES / BLEEDERS,Spinefarm/Land Shark,530,20,7,11,-42,09/24/2024
,BLACKLIST UNION / HORNS AND HALOS,BLU,493,13,14,12,+33,09/24/2024
,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,482,15,8,13,-90,09/24/2024
,AMERICAN PROGRESS / OUTLAW,Independent,473,8,16,14,+47,09/24/2024
,FINGER ELEVEN / ADRENALINE,Better Noise,448,7,15,15,+17,09/24/2024
,NOTHING MORE / ANGEL SONG (FT. DAVID DRAIMAN),Better Noise,443,4,19,16,+56,09/24/2024
,SMASHING PUMPKINS / SIGHOMMI,Thirty Tigers,426,6,21,17,+43,09/24/2024
,MYLES KENNEDY / SAY WHAT YOU WILL,Napalm,421,12,17,18,+5,09/24/2024
,DAUGHTRY / PIECES,Big Machine,400,26,12,19,-77,09/24/2024
,HEARTS & HAND GRENADES / BREATHE INTO ME,Independent,374,4,27,20,+75,09/24/2024
,SLEEP THEORY / STUCK IN MY HEAD,Epitaph,368,3,23,21,+27,09/24/2024
,TIM MONTANA / SAVAGE,Music Knox/BBR/BMG,361,19,24,22,+22,09/24/2024
,JERRY CANTRELL / VILIFIED,Double J,354,8,20,23,-33,09/24/2024
,HARDY / PSYCHO,Big Loud Rock/Big Loud,348,10,25,24,+10,09/24/2024
,SHIM / STING LIKE A BITCH,Curtain Call,345,3,29,25,+48,09/24/2024
,BADFLOWER / DETROIT,Big Machine,345,7,28,26,+46,09/24/2024
,JELLY ROLL / LIAR,BMG,330,4,34,27,+53,09/24/2024
,FLAT BLACK / A BIT OF LIGHTNING,Concord,326,7,30,28,+31,09/24/2024
,WOLVES OF TOMORROW / RAVENS TEARS,Independent,324,5,33,29,+45,09/24/2024
,DIRTY HONEY / DON'T PUT OUT THE FIRE,Dirt,292,10,26,30,-26,09/24/2024
,CALL ME KARIZMA / MADHOUSE,Gloomy Culture/BHMM,286,3,39,31,+50,09/24/2024
,SALEM'S CHILDE / THROUGH FIRE,Pavement,283,3,38,32,+42,09/24/2024
,STARSET / TOKSIK,Concord,282,3,40,33,+52,09/24/2024
,SCOTT STAPP / BLACK BUTTERFLY,Napalm,271,8,31,34,-16,09/24/2024
,WAGE WAR / MAGNETIC,Fearless/Concord,263,25,22,35,-105,09/24/2024
,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,259,15,37,36,-1,09/24/2024
,FAME ON FIRE / CHAINS (THE TOWER),Hopeless,253,12,13,37,+58,09/24/2024
,THE ALMAS / LIFELINE,Wake Up! Music Rocks,248,5,41,38,-221,09/24/2024
,POPPY / NEW WAY OUT,Sumerian,246,5,41,39,+17,09/24/2024
,ALBORN / A LITTLE LESS THAN EXPECTED,ONErpm,233,15,6,40,+8,09/24/2024
,PEARL JAM / WAITING FOR STEVIE,Republic,223,6,47,41,+69,09/24/2024
,HIGHLY SUSPECT / PLASTIC BOXES,3eE/Roadrunner/InDeGoot,221,3,43,42,+25,09/24/2024
,SKILLET / UNPOPULAR,Hear It Loud/Vydia,217,2,44,43,-4,09/24/2024
,ENEMY REMAINS / WILL I WAKE,Independent,210,2,44,44,+5,09/24/2024
,CONQUER DIVIDE / PARALYZED (FT. ATTACK ATTACK),Mascot,209,2,45,45,+9,09/24/2024
,THE WARNING / HELL YOU CALL A DREAM,Republic,199,2,50,46,+16,09/24/2024
,TREMONTI / JUST TOO MUCH,Napalm,197,2,49,47,+11,09/24/2024
,LAKEVIEW / MONEY WHERE YOUR MOUTH IS,Gravel Road,180,8,46,48,-19,09/24/2024
,HILLBILLY VEGAS / LET IT RIDE,Independent,176,1,70,49,+61,09/24/2024
,HINDER / LIVE WITHOUT IT,Evil Teen,172,1,87,50,+95,09/24/2024
