ID,FILENAME,DISKID,FLAGS,SONGTYPE,STATUS,WEIGHT,BALANCE,DATE_ADDED,DATE_PLAYED,DATE_ARTIST_PLAYED,DATE_ALBUM_PLAYED,DATE_TITLE_PLAYED,DURATION,TITLE,ALBUM,LABEL,PLINE,TRACKNO,COMPOSER,ISRC,CATALOG,UPC,FEEAGENCY,ALBUMYEAR,GENRE,WEBSITE,BUYCD,INFO,LYRICS,PICTURE,COUNT_PLAYED,COUNT_REQUESTED,LAST_REQUESTED,COUNT_PERFORMANCES,XFADE,ARTIST,BPM,RATING,MOOD,OVERLAY,PLAYLIMIT_COUNT,PLAYLIMIT_ACTION,SONGRIGHTS,ADZ_LISTID
36509,Tension Splash - Scared (single edit).mp3,0,NNNNNNNNNN,S,0,70,0.637142956256866,4/19/2025 2:49:28 PM,4/22/2025 7:25:57 PM,4/22/2025 7:25:57 PM,3/16/2025 6:58:35 PM,4/22/2025 7:25:57 PM,276323,Scared (single edit),,,,0,,QZK6P2580594,,,,2025,,,,Visit https://tensionsplash.bandcamp.com,,az_36509__Tension Splash.jpg,3,0,4/19/2025 2:49:28 PM,0,,Tension Splash,0,0,,no,0,none,broadcast,0
36404,Faith In Failure - Lost (Down in the darkness).mp3,0,NNNNNNNNNN,S,0,70,1.49999964237213,3/2/2025 11:33:27 AM,4/22/2025 7:30:30 PM,4/22/2025 7:30:30 PM,1/28/2025 8:52:10 PM,4/22/2025 7:30:30 PM,346932,Lost (Down in the darkness),,,,0,,,,,,0,,,,,,,12,0,3/2/2025 11:33:27 AM,0,,Faith In Failure,0,0,,no,0,none,broadcast,0
36505,ONE OF THE LAST - Sands of Time.wav,0,NNNNNNNNNN,S,0,70,0.217142850160599,4/19/2025 2:41:46 PM,4/22/2025 7:37:04 PM,4/22/2025 7:37:04 PM,3/18/2025 11:24:29 PM,4/22/2025 7:37:04 PM,214673,Sands of Time,,,,0,,,,,,0,,,,,,,3,0,4/19/2025 2:41:46 PM,0,,ONE OF THE LAST,0,0,,no,0,none,broadcast,0
36507,Bury the Shadows - Ride Of A Lifetime.wav,0,NNNNNNNNNN,S,0,70,0.511428594589233,4/19/2025 2:42:17 PM,4/22/2025 7:53:08 PM,4/22/2025 7:53:08 PM,3/15/2025 11:49:29 PM,4/22/2025 7:53:08 PM,220261,Ride Of A Lifetime,,,,0,,,,,,0,,,,,,,4,0,4/19/2025 2:42:17 PM,0,,Bury the Shadows,0,0,,no,0,none,broadcast,0
33336,E:\Music transfer\Sound228 jingles\Where New Rock Starts The Sound Two Two Eight (1).mp3,0,NNNNNNNNNN,J,0,70,1.17857205867767,3/7/2023 5:46:41 AM,4/22/2025 7:44:11 PM,4/22/2025 9:21:07 PM,2/1/2023 10:37:34 AM,4/22/2025 7:44:11 PM,8072,Where New Rock Starts The Sound Two Two Eight (1),,,,0,,,,,,,Other,,,,,,78,0,3/7/2023 5:46:41 AM,0,,,0,0,,NO,0,none,broadcast,0
36193,Velvet Rush - Fire Spirit.mp3,0,NNNNNNNNNN,S,0,70,0.584285855293274,12/8/2024 10:25:34 AM,4/22/2025 7:44:18 PM,4/22/2025 7:44:18 PM,11/4/2024 9:53:53 PM,4/22/2025 7:44:18 PM,224104,Fire Spirit,,,,0,,,,,,,,,,,,az_36193__Velvet Rush.jpg,14,0,12/8/2024 10:25:34 AM,0,,Velvet Rush,0,0,,NO,0,none,broadcast,0
36508,Crooked Shapes - Misery (Clean Radio Edit).wav,0,NNNNNNNNNN,S,0,70,0.717142939567566,4/19/2025 2:42:39 PM,4/22/2025 7:47:55 PM,4/22/2025 7:47:55 PM,3/20/2025 1:39:17 PM,4/22/2025 7:47:55 PM,229750,Misery (Clean Radio Edit),,,,0,,,,,,0,,,,,,,3,0,4/19/2025 2:42:39 PM,0,,Crooked Shapes,0,0,,no,0,none,broadcast,0
36507,Bury the Shadows - Ride Of A Lifetime.wav,0,NNNNNNNNNN,S,0,70,0.511428594589233,4/19/2025 2:42:17 PM,4/22/2025 7:53:08 PM,4/22/2025 7:53:08 PM,3/15/2025 11:49:29 PM,4/22/2025 7:53:08 PM,220261,Ride Of A Lifetime,,,,0,,,,,,0,,,,,,,4,0,4/19/2025 2:42:17 PM,0,,Bury the Shadows,0,0,,no,0,none,broadcast,0
36199,The Flying Beets - Don't Let Me Notice.wav,0,NNNNNNNNNN,S,0,70,0.602857351303101,12/14/2024 9:53:20 AM,4/22/2025 7:56:44 PM,4/22/2025 7:56:44 PM,11/11/2024 12:50:27 AM,4/22/2025 7:56:44 PM,194892,Don't Let Me Notice,,,,0,,,,,,0,,,,,,,9,0,12/14/2024 9:53:20 AM,0,&i=0&bmp=,The Flying Beets,0,0,,no,0,none,broadcast,0
36506,AmoV - Breaking Me.wav,0,NNNNNNNNNN,S,0,70,0.98714292049408,4/19/2025 2:42:06 PM,4/22/2025 8:01:14 PM,4/22/2025 8:01:14 PM,3/19/2025 6:33:56 PM,4/22/2025 8:01:14 PM,190105,Breaking Me,,,,0,,,,,,0,,,,,,,3,0,4/19/2025 2:42:06 PM,0,,AMoV,0,0,,no,0,none,broadcast,0
