ID,FILENAME,DISKID,FLAGS,SONGTYPE,STATUS,WEIGHT,BALANCE,DATE_ADDED,DATE_PLAYED,DATE_ARTIST_PLAYED,DATE_ALBUM_PLAYED,DATE_TITLE_PLAYED,DURATION,TITLE,ALBUM,LABEL,PLINE,TRACKNO,COMPOSER,ISRC,CATALOG,UPC,FEEAGENCY,ALBUMYEAR,GENRE,WEBSITE,BUYCD,INFO,LYRICS,PICTURE,COUNT_PLAYED,COUNT_REQUESTED,LAST_REQUESTED,COUNT_PERFORMANCES,XFADE,ARTIST,BPM,RATING,MOOD,OVERLAY,PLAYLIMIT_COUNT,PLAYLIMIT_ACTION,SONGRIGHTS,ADZ_LISTID
36641,\Leilani Kilgore-High Low.wav,0,NNNNNNNNNN,S,0,70,3.1357159614563,6/1/2025 1:54:23 PM,6/3/2025 7:19:44 PM,6/3/2025 7:19:44 PM,4/30/2025 4:05:26 PM,6/3/2025 7:19:44 PM,233489,High Low,,,,0,,,,,,0,,,,,,,3,0,6/1/2025 1:54:23 PM,0,,Leilani Kilgore,0,0,,no,0,none,broadcast,0
36145,\CloZure - Criminal Mind.mp3,0,NNNNNNNNNN,S,0,70,1.49428510665894,11/18/2024 6:42:33 PM,6/3/2025 7:23:37 PM,6/3/2025 7:23:37 PM,10/15/2024 11:20:28 AM,6/3/2025 7:23:37 PM,203076,Criminal Mind,,,,0,,,,,,0,,,,,,,19,0,11/18/2024 6:42:33 PM,0,,CloZure,0,0,,no,0,none,broadcast,0
36627,Twilight Stunt Work - Lana (1).mp3,0,NNNNNNNNNN,S,0,70,0.207142859697342,5/31/2025 11:51:43 AM,6/3/2025 7:29:17 PM,6/3/2025 7:29:17 PM,5/1/2025 5:12:51 AM,6/3/2025 7:29:17 PM,427389,Lana,,,,0,,,,,,0,,,,,,,3,0,5/31/2025 11:51:43 AM,0,,Twilight Stunt Work,0,0,,no,0,none,broadcast,0
36643,Autonym - Waltz With The Dead (1).wav,0,NNNNNNNNNN,S,0,70,1.5071427822113,6/1/2025 6:26:48 PM,6/3/2025 7:32:44 PM,6/3/2025 7:32:44 PM,5/2/2025 6:58:28 AM,6/3/2025 7:32:44 PM,220794,Waltz With The Dead,,,,0,,,,,,0,,,,,,,2,0,6/1/2025 6:26:48 PM,0,&i=0,Autonym,0,0,,no,0,none,broadcast,0
932,Magg Dylan - Pawns-mp3.mp3,0,NNNNNNNNNN,S,0,70,0.431428551673889,3/3/2023 10:36:49 AM,6/3/2025 7:36:18 PM,6/3/2025 7:36:18 PM,1/31/2023 7:41:09 PM,6/3/2025 7:36:18 PM,231672,Pawns,,,,0,,,,,,0,,,,,,,11,0,3/3/2023 10:36:49 AM,0,,Magg Dylan,0,0,,no,0,none,broadcast,0
36644,True Devil - At Day's End.wav,0,NNNNNNNNNN,S,0,70,0.638571441173553,6/3/2025 6:51:26 PM,6/3/2025 7:42:08 PM,6/3/2025 7:42:08 PM,5/2/2025 11:45:12 AM,6/3/2025 7:42:08 PM,303640,At Day's End,,,,0,,,,,,0,,,,,,,1,0,6/3/2025 6:51:26 PM,0,&i=0,True Devil,0,0,,no,0,none,broadcast,0
36642,Defiant - B.O.T.E(1).wav,0,NNNNNNNNNN,S,0,70,1.07714283466339,6/1/2025 6:26:37 PM,6/3/2025 7:47:03 PM,6/3/2025 7:47:03 PM,5/2/2025 3:43:54 PM,6/3/2025 7:47:03 PM,222945,B.O.T.E.,,,,0,,,,,,0,,,,,,,2,0,6/1/2025 6:26:37 PM,0,,Defiant,0,0,,no,0,none,broadcast,0
36636,Cinema Stereo - Cant Get Close Enough.mp3,0,NNNNNNNNNN,S,0,70,0.207142859697342,5/31/2025 11:53:48 AM,6/3/2025 7:52:29 PM,6/3/2025 7:52:29 PM,4/28/2025 3:15:24 AM,6/3/2025 7:52:29 PM,254537,Cant Get Close Enough,,,,0,,,,,,0,,,,engiTunSMPB 00000000 00000210 0000075A 0000000000AB3E96 00000000 009B3AC7 00000000 00000000 00000000 00000000 00000000 00000000,,,3,0,5/31/2025 11:53:48 AM,0,,Cinema Stereo,0,0,,NO,0,none,broadcast,0
1166,Seven Year Witch - Shit Keeps Happenin [Explicit].mp3,0,NNNNNNNNNN,S,0,70,0.317142844200134,3/3/2023 10:37:03 AM,6/3/2025 7:56:40 PM,6/3/2025 7:56:40 PM,6/3/2025 7:56:40 PM,6/3/2025 7:56:40 PM,204121,Shit Keeps Happenin [Explicit],Shit Keeps Happenin [Explicit],,,1,,,,,,2021,Rock,,,Amazon.com Song ID: 200000382085277,,az_1166_Shit Keeps Happenin [Explicit]_Seven Year Witch.jpg,3,0,3/3/2023 10:37:03 AM,0,,Seven Year Witch,0,0,,NO,0,none,broadcast,0
33336,E:\Music transfer\Sound228 jingles\Where New Rock Starts The Sound Two Two Eight (1).mp3,0,NNNNNNNNNN,J,0,70,1.25000047683716,3/7/2023 5:46:41 AM,6/3/2025 8:00:01 PM,6/3/2025 9:18:02 PM,2/1/2023 10:37:34 AM,6/3/2025 8:00:01 PM,8072,Where New Rock Starts The Sound Two Two Eight (1),,,,0,,,,,,,Other,,,,,,83,0,3/7/2023 5:46:41 AM,0,,,0,0,,NO,0,none,broadcast,0
36567,Woodhawk - Relapser.wav,0,NNNNNNNNNN,S,0,70,0.494285702705383,5/11/2025 10:59:25 AM,6/3/2025 8:00:09 PM,6/3/2025 8:00:09 PM,4/10/2025 2:44:03 AM,6/3/2025 8:00:09 PM,291755,Relapser,,,,0,,,,,,0,,,,,,,7,0,5/11/2025 10:59:25 AM,0,,Woodhawk,0,0,,no,0,none,broadcast,0
