ID,FILENAME,DISKID,FLAGS,SONGTYPE,STATUS,WEIGHT,BALANCE,DATE_ADDED,DATE_PLAYED,DATE_ARTIST_PLAYED,DATE_ALBUM_PLAYED,DATE_TITLE_PLAYED,DURATION,TITLE,ALBUM,LABEL,PLINE,TRACKNO,COMPOSER,ISRC,CATALOG,UPC,FEEAGENCY,ALBUMYEAR,GENRE,WEBSITE,BUYCD,INFO,LYRICS,PICTURE,COUNT_PLAYED,COUNT_REQUESTED,LAST_REQUESTED,COUNT_PERFORMANCES,XFADE,ARTIST,BPM,RATING,MOOD,OVERLAY,PLAYLIMIT_COUNT,PLAYLIMIT_ACTION,SONGRIGHTS,ADZ_LISTID
36652,E:\Music transfer\FLOWERS ON THE GRAVE - Fields of Green.mp3,0,NNNNNNNNNN,S,0,70,0.968571484088898,6/7/2025 9:43:43 AM,6/10/2025 6:56:59 PM,6/10/2025 6:56:59 PM,6/10/2025 6:56:59 PM,6/10/2025 6:56:59 PM,246335,Fields of Green,Through The Glass,,,4,,,,,,2025,,,,,,,3,0,6/7/2025 9:43:43 AM,0,,FLOWERS ON THE GRAVE,0,0,,NO,0,none,broadcast,0
36649,E:\Music transfer\Autumn Academy - Hatred By Design.wav,0,NNNNNNNNNN,S,0,70,1.43857133388519,6/7/2025 9:42:37 AM,6/10/2025 7:01:00 PM,6/10/2025 7:01:00 PM,5/7/2025 1:02:46 PM,6/10/2025 7:01:00 PM,186948,Hatred By Design,,,,0,,,,,,0,,,,,,,3,0,6/7/2025 9:42:37 AM,0,,Autumn Academy,0,0,,no,0,none,broadcast,0
36646,E:\Music transfer\Ginger and the Peppers - Kingdom.wav,0,NNNNNNNNNN,S,0,70,0.862857222557068,6/7/2025 9:40:29 AM,6/10/2025 7:05:02 PM,6/10/2025 7:05:02 PM,5/8/2025 3:05:55 AM,6/10/2025 7:05:02 PM,334311,Kingdom,,,,0,,,,,,0,,,,,,,4,0,6/7/2025 9:40:29 AM,0,,Ginger and the Peppers,0,0,,no,0,none,broadcast,0
36647,E:\Music transfer\Buried_In_Bermuda_-_Torment_(wav).wav,0,NNNNNNNNNN,S,0,70,1.27428567409515,6/7/2025 9:41:49 AM,6/10/2025 7:10:29 PM,6/10/2025 7:10:29 PM,5/3/2025 6:08:42 PM,6/10/2025 7:10:29 PM,251566,Torment,,,,0,,,,,,0,,,,,,,2,0,6/7/2025 9:41:49 AM,0,,Buried In Bermuda,0,0,,no,0,none,broadcast,0
36651,E:\Music transfer\The Fullbug - Damaged.wav,0,NNNNNNNNNN,S,0,70,0.804285764694214,6/7/2025 9:43:15 AM,6/10/2025 7:15:51 PM,6/10/2025 7:15:51 PM,5/6/2025 7:49:29 AM,6/10/2025 7:15:51 PM,163365,Damaged,,,,0,,,,,,0,,,,,,,2,0,6/7/2025 9:43:15 AM,0,,The Fullbug,0,0,,no,0,none,broadcast,0
36653,E:\Music transfer\Nerv_-_PANIC.mp3,0,NNNNNNNNNN,S,0,70,1.0142856836319,6/7/2025 9:44:43 AM,6/10/2025 7:18:31 PM,6/10/2025 7:18:31 PM,6/10/2025 7:18:31 PM,6/10/2025 7:18:31 PM,195526,PANIC,PANIC!,,,1,,,,,,2023,Blues,,,,,az_36653_PANIC_Nerv.jpg,2,0,6/7/2025 9:44:43 AM,0,,Nerv,0,0,,no,0,none,broadcast,0
36635,E:\Music transfer\Cicadastone - LONG WAY DOWN (Acoustic).wav,0,NNNNNNNNNN,S,0,70,0.385714292526245,5/31/2025 11:53:32 AM,6/10/2025 7:23:42 PM,6/10/2025 7:23:42 PM,4/27/2025 4:30:00 AM,6/10/2025 7:23:42 PM,307156,LONG WAY DOWN (Acoustic),,,,0,,,,,,0,,,,,,,5,0,5/31/2025 11:53:32 AM,0,,Cicadastone,0,0,,no,0,none,broadcast,0
36593,E:\Music transfer\Kitahrah - Homesick.mp3,0,NNNNNNNNNN,S,0,70,2.62143015861511,5/18/2025 11:52:43 AM,6/10/2025 7:28:43 PM,6/10/2025 7:28:43 PM,4/17/2025 11:57:02 PM,6/10/2025 7:28:43 PM,233300,Homesick,,Kitahrah,,1,"Kevin Reeves, keyboard/Scott Chesworth, bass",,,,,2025,Acoustic/metal,,,This is a cover song. The original was recorded by Dayseeker.,,,5,0,5/18/2025 11:52:43 AM,0,,Kitahrah,0,0,,no,0,none,broadcast,0
36567,C:\Users\19892\Downloads\Woodhawk - Relapser.wav,0,NNNNNNNNNN,S,0,70,0.508571445941925,5/11/2025 10:59:25 AM,6/10/2025 7:34:09 PM,6/10/2025 7:34:09 PM,4/10/2025 2:44:03 AM,6/10/2025 7:34:09 PM,291755,Relapser,,,,0,,,,,,0,,,,,,,8,0,5/11/2025 10:59:25 AM,0,,Woodhawk,0,0,,no,0,none,broadcast,0
36644,E:\Music transfer\True Devil - At Day's End.wav,0,NNNNNNNNNN,S,0,70,0.652857184410095,6/3/2025 6:51:26 PM,6/10/2025 7:38:53 PM,6/10/2025 7:38:53 PM,5/2/2025 11:45:12 AM,6/10/2025 7:38:53 PM,303640,At Day's End,,,,0,,,,,,0,,,,,,,2,0,6/3/2025 6:51:26 PM,0,&i=0,True Devil,0,0,,no,0,none,broadcast,0
