WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
17,1,1,FOZZY,SPOTLIGHT,The Orchard,1024,976,48,0,33 of 37
16,3,2,PAPA ROACH,LEAVE A LIGHT ON,New Noize,915,892,23,0,31 of 37
22,4,3,BAD WOLVES,LEGENDS NEVER DIE,Better Noise,778,814,-36,0,31 of 37
15,7,4,DISTURBED,DON'T TELL ME,Warner,724,744,-20,0,29 of 37
27,2,5,DAUGHTRY,ARTIFICIAL,Big Machine,719,907,-188,0,30 of 37
26,5,6,MAMMOTH WVH,I'M ALRIGHT,BMG,683,752,-69,0,29 of 37
18,8,7,POINT NORTH,BELOW THE BELT (FT. SET IT OFF),Hopeless,652,647,5,0,29 of 37
6,13,8,FOO FIGHTERS,THE GLASS,RCA,647,574,73,1,28 of 37
17,6,9,SHINEDOWN,A SYMPTOM OF BEING HUMAN,Atlantic/3EE,616,748,-132,0,28 of 37
5,12,10,ASKING ALEXANDRIA,DARK VOID,Better Noise,608,594,14,0,28 of 37
22,11,11,MOTIONLESS IN WHITE,SIGN OF LIFE,Roadrunner/3EE,586,611,-25,0,26 of 37
20,15,12,ATREYU,GONE,Spinefarm/Land Shark,584,545,39,0,26 of 37
23,9,13,TIM MONTANA,DEVIL YOU KNOW,BBR/BMG,545,631,-86,0,26 of 37
7,17,14,COREY TAYLOR,WE ARE THE REST,BMG,540,477,63,1,31 of 37
11,18,15,COLDWARDS,FLATLINE,Wake Up! Music Rocks,530,467,63,0,20 of 37
12,16,16,ROGUE ROYAL,NOW OR NEVER,SunRaye,526,477,49,0,18 of 37
3,22,17,GREEN DAY,DILEMMA,Warner,521,398,123,3,25 of 37
5,20,18,BEARTOOTH,I WAS ALIVE,Red Bull,463,436,27,2,25 of 37
14,19,19,SCOTT STAPP,HIGHER POWER,Shelter,462,453,9,0,26 of 37
11,23,20,DEAD POET SOCIETY,RUNNING IN CIRCLES,Spinefarm,393,373,20,1,24 of 37
5,28,21,BLACKLIST UNION,DANCING WITH THE ANGELS,BLU,375,325,50,0,18 of 37
11,26,22,DES ROCS,I AM THE LIGHTNING,Sumerian,360,335,25,1,20 of 37
20,25,23,ANY GIVEN SIN,DYNAMITE,Mascot/MLG,354,348,6,0,19 of 37
18,24,24,MIKE SHINODA,ALREADY OVER,Warner,325,360,-35,0,21 of 37
22,21,25,STAIND,HERE AND NOW,Alchemy/CO5,325,430,-105,0,19 of 37
5,33,26,SAINT ASONIA,WOLF FT. JOHN COOPER,Spinefarm,316,272,44,1,21 of 37
16,27,27,KOBRA PAIGE,LOVE WHAT I HATE,Pasadena Records,316,326,-10,0,18 of 37
3,35,28,BLACK STONE CHERRY,WHEN THE PAIN COMES,Mascot/MLG,308,238,70,2,19 of 37
4,32,29,THE BLACK CROWES,WANTING AND WAITING,Silver Lining/Red Light,303,281,22,2,17 of 37
