WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
14,1,1,NOTHING MORE,IF IT DOESN'T HURT,Better Noise,879,882,-3,0,32 of 37
5,6,2,FIVE FINGER DEATH PUNCH,THIS IS THE WAY (FT. DMX),Better Noise,773,718,55,0,30 of 37
7,4,3,BILLY MORRISON & OZZY OSBOURNE,CRACK COCAINE FT. STEVE STEVENS,TLG/ZOID/Virgin,755,737,18,1,32 of 37
12,7,4,SLEEP THEORY,FALLOUT,Epitaph,745,714,31,0,32 of 37
13,2,5,GODSMACK,TRUTH,BMG,745,758,-13,0,30 of 37
11,5,6,METALLICA,SCREAMING SUICIDE,Blackened/Q Prime,726,719,7,1,29 of 37
17,3,7,BEARTOOTH,I WAS ALIVE,Red Bull,722,744,-22,0,28 of 37
10,10,8,FROM ASHES TO NEW,BARELY BREATHING,Better Noise,644,607,37,1,28 of 37
15,8,9,GREEN DAY,DILEMMA,Warner,615,708,-93,0,25 of 37
11,11,10,FAME ON FIRE,NIGHTMARE (THE DEVIL),Hopeless,609,587,22,0,25 of 37
8,12,11,FEAR OF WATER,SYSTEMIC FT. AARON NORDSTROM,FoW/Pasadena,607,574,33,0,21 of 37
12,9,12,LINKIN PARK,FRIENDLY FIRE,Warner,555,650,-95,0,22 of 37
23,14,13,DES ROCS,I AM THE LIGHTNING,Sumerian,554,525,29,1,23 of 37
8,18,14,BLACKLITE DISTRICT,I TRY TODAY,AK19,542,461,81,0,17 of 37
9,15,15,THE GHOST INSIDE,WASH IT AWAY,Epitaph,520,466,54,0,25 of 37
11,17,16,THE WARNING,S!CK,Lava/Republic,479,463,16,0,23 of 37
7,19,17,DAUGHTRY,PIECES,Big Machine,461,449,12,0,27 of 37
6,24,18,LIGHTWORKER,EVERGREEN,Solid State,449,387,62,0,20 of 37
7,21,19,KUARANTINE,GOOD GIRL GONE BAD,Madison/The Orchard,449,413,36,1,18 of 37
23,13,20,DEAD POET SOCIETY,RUNNING IN CIRCLES,Spinefarm,442,553,-111,0,24 of 37
15,20,21,BLACK STONE CHERRY,WHEN THE PAIN COMES,Mascot/MLG,437,441,-4,0,23 of 37
2,22,22,MOTLEY CRUE,DOGS OF WAR,Big Machine,436,393,43,0,22 of 37
5,31,23,CHAINS OVER RAZORS,GOODBYE TO SOVEREIGNTY,Deko,408,329,79,0,17 of 37
16,26,24,DAYSEEKER,DREAMSTATE,Spinefarm/Land Shark,393,358,35,0,19 of 37
4,32,25,A KILLER'S CONFESSION,GREED,MNRK Heavy,377,319,58,0,19 of 37
4,25,26,SOCIETY OF VILLAINS,SMOKE AND TROUBLE,CloudKid/Pasadena,375,361,14,0,19 of 37
6,28,27,WAGE WAR,MAGNETIC,Fearless/Concord,345,348,-3,0,22 of 37
11,29,28,HARDY,ROCKSTAR,Big Loud Rock,337,342,-5,0,15 of 37
3,38,29,SWIM THE CURRENT,SO LOW,TLG/ZOID/Virgin,331,283,48,0,17 of 37
3,39,30,ONCE AROUND,LOVE AND WAR,Independent,330,270,60,1,17 of 37
2,47,31,PEARL JAM,WRECKAGE,Republic,327,221,106,0,17 of 37
9,30,32,SET IT OFF,FAKE ASS FRIENDS,Why Worry/Stem,315,332,-17,0,19 of 37
7,34,33,BAD OMENS,V.A.N (FT. POPPY),Sumerian,309,307,2,0,15 of 37
7,37,34,P.O.D.,AFRAID TO DIE,Mascot/MLG,299,294,5,0,21 of 37
18,23,35,FOO FIGHTERS,THE GLASS,RCA,294,391,-97,0,20 of 37
3,41,36,HANNAH CUTT,DIRTY ENOUGH FOR HARDCORE,Dark Eyes,289,250,39,1,19 of 37
2,54,37,STAIND,BETTER DAYS,Alchemy/CO5,272,180,92,2,16 of 37
17,35,38,ASKING ALEXANDRIA,DARK VOID,Better Noise,270,297,-27,0,15 of 37
9,40,39,LINES OF LOYALTY,HURTS TO BE HUMAN,C3&B/CO5,260,259,1,0,12 of 37
4,45,40,MOON FEVER,FOREVER SLEEP,Astro/Amplify,257,233,24,0,17 of 37
2,49,41,PAUL BENJAMAN BAND,MY BAD SIDE WANTS A GOOD TIME,Pasadena,256,213,43,0,16 of 37
6,43,42,MESSER,THROW IT AWAY,Independent,250,246,4,0,17 of 37
17,36,43,SAINT ASONIA,WOLF FT. JOHN COOPER,Spinefarm,236,296,-60,0,16 of 37
9,44,44,THE PLOT IN YOU,CLOSURE,Concord,234,235,-1,0,18 of 37
4,46,45,KEITH WALLEN,HEADSPACE HOLIDAY,BMG,232,230,2,0,16 of 37
3,48,46,COLDWARDS,THE FIRE INSIDE,Wake Up Music Rocks!,231,214,17,0,12 of 37
1,52,47,STRIPPING THE PISTOL,BLACK REFLECTIONS,TLG/ZOID/Virgin,230,186,44,1,17 of 37
1,55,48,BLACK VEIL BRIDES,BLEEDERS,Spinefarm/Land Shark,222,176,46,5,21 of 37
13,50,49,JUDAS PRIEST,CROWN OF HORNS,Epic,211,208,3,0,14 of 37
2,53,50,SUM 41,LANDMINES,BMG,206,184,22,1,10 of 37
12,33,51,PEARL JAM,DARK MATTER,Repbulic,185,318,-133,0,14 of 37
-,64,52,HEARTS & HAND GRENADES,OUR DARKEST NIGHT,Eclipse,184,129,55,1,16 of 37
-,58,53,ABOVE SNAKES,RIDE AND DIE,Independent,184,158,26,1,17 of 37
-,67,54,IMAGES OF EDEN,HERE COMES THE SUN,Pavement,179,118,61,1,14 of 37
-,57,55,TIM MONTANA,SAVAGE,Music Knox/BBR/BMG,175,168,7,2,18 of 37
-,59,56,PALAYE ROYALE,DEAD TO ME,Sumerian,168,155,13,0,13 of 37
-,51,57,DIRTY HONEY,COMING HOME (BALLAD OF THE SHIRE),Dirt,154,198,-44,0,12 of 37
-,151,58,SHALLOW SIDE,FILTERS,Thermal,143,17,126,12,15 of 37
3,42,59,IN THEORY,WORLD'S ON FIRE,The Orchard/New Ocean,142,246,-104,0,10 of 37
13,60,60,THE BLACK CROWES,WANTING AND WAITING,Silver Lining/Red Light,141,153,-12,0,9 of 37
16,61,61,COREY TAYLOR,WE ARE THE REST,BMG,136,144,-8,0,11 of 37
5,70,62,VELVET CHAINS,STUCK AGAINST A WALL,WWWD/Motor/CO5,127,111,16,0,8 of 37
29,65,63,ANY GIVEN SIN,DYNAMITE,Mascot/MLG,125,123,2,0,7 of 37
-,63,64,CAGE THE ELEPHANT,NEON PILL,QPrime/RCA,121,136,-15,0,6 of 37
-,66,65,KALAMITY KILLS,THE CHEMISTRY OF MEANT TO BE,Pero,119,119,0,0,7 of 37
4,56,66,MOLLY D'AGO,SOMEONE JUST LIKE YOU,Wake Up! Music Rocks,118,170,-52,0,10 of 37
12,68,67,THE BLACK KEYS,BEAUTIFUL PEOPLE (STAY HIGH),Nonesuch/Warner,117,115,2,0,7 of 37
-,87,68,ATRIUM,SILENT LUCIDITY,Independent,116,57,59,5,13 of 37
-,72,69,PLUSH,RUN,Pavement,116,91,25,2,12 of 37
23,69,70,SCOTT STAPP,HIGHER POWER,Shelter,116,113,3,0,6 of 37
10,27,71,ETCHED IN EMBERS,HAPPY SONG,Independent,114,355,-241,0,16 of 37
28,71,72,ATREYU,GONE,Spinefarm/Land Shark,112,108,4,0,8 of 37
9,16,73,ROGUE ROYAL,NOVOCAINE,SunRaye,107,466,-359,0,15 of 37
-,75,74,PIERCE THE VEIL,KARMA POLICE,Concord,105,88,17,2,12 of 37
23,62,75,DISTURBED,DON'T TELL ME,Warner,102,137,-35,0,7 of 37
21,73,76,SHINEDOWN,A SYMPTOM OF BEING HUMAN,Atlantic/3EE,91,91,0,0,6 of 37
24,74,77,PAPA ROACH,LEAVE A LIGHT ON,New Noize,88,90,-2,0,5 of 37
-,78,78,HOT FOR CRIME,SO GOOD,Dangerous8/Amplify,87,78,9,0,6 of 37
27,76,79,BAD WOLVES,LEGENDS NEVER DIE,Better Noise,83,84,-1,0,5 of 37
-,99,80,SCARLET VIEW,THE CHASE,Independent,77,40,37,2,6 of 37
10,79,81,BLIND CHANNEL,DEADZONE,Motor/CO5,73,75,-2,0,4 of 37
-,85,82,SILENT SEASON,HOPELESS,Independent,70,61,9,0,4 of 37
-,81,83,AUTUMN KINGS,SLEEP WHEN I'M DEAD,Land Shark,69,72,-3,0,5 of 37
25,82,84,MOTIONLESS IN WHITE,SIGN OF LIFE,Roadrunner/3EE,65,69,-4,0,3 of 37
22,84,85,POINT NORTH,BELOW THE BELT (FT. SET IT OFF),Hopeless,63,62,1,0,6 of 37
-,90,86,THE WORD ALIVE,RISE (REDUX),Thriller,60,53,7,1,5 of 37
25,80,87,FOZZY,SPOTLIGHT,The Orchard,60,75,-15,0,6 of 37
-,-,88,ROYALE LYNN,DEATH WISH (FT. DANNY WORSNOP),Epitaph,56,0,56,9,9 of 37
-,-,89,DOOR 13,NOW,Curtain Call,52,0,52,9,9 of 37
-,-,90,FREEMOOR,SHINE,Independent,52,0,52,9,9 of 37
13,94,91,NOVA SONS,SUPERMAN,SunRaye,52,45,7,0,3 of 37
3,86,92,SEBASTIAN BACH,WHAT DO I GOT TO LOSE?,Reigning Phoenix/CO5,52,59,-7,0,6 of 37
-,89,93,OXYMORRONS,LOOK ALIVE,Mascot,51,54,-3,0,6 of 37
-,97,94,STRATEJACKET,BAD START,Edgeout/UMe,50,41,9,1,7 of 37
-,91,95,BRING ME THE HORIZON,KOOL-AID,Columbia,50,50,0,0,4 of 37
4,83,96,JERIS JOHNSON,WHEN THE DARKNESS COMES,Scrappy,50,65,-15,0,3 of 37
-,77,97,HED PE,WAITING,Regime,48,81,-33,0,4 of 37
17,92,98,AUSTIN MEADE,BLACKOUT,Shelter,47,47,0,0,3 of 37
-,98,99,RIDING WITH KILLERS,HOSTILITY,Independent/New Ocean,43,41,2,0,3 of 37
-,101,100,AVENGED SEVENFOLD,COSMIC,Warner,42,38,4,0,2 of 37
-,117,101,CITIZEN SOLDIER,DEAD END LIFE,Independent,40,28,12,0,3 of 37
-,103,102,WICKED MARAYA,CHAPTER V,Massacre,40,37,3,0,4 of 37
-,95,103,MICK MARS,RIGHT SIDE OF WRONG,1313 LLC,40,44,-4,0,3 of 37
-,102,104,BEASTO BLANCO,RUN FOR YOUR LIFE,COP International,39,38,1,0,4 of 37
2,100,105,AMBER WILD,SILVER,New Ocean,39,39,0,0,3 of 37
-,96,106,THE DEVIL WEARS PRADA,RITUAL,Solid State,38,43,-5,0,6 of 37
-,88,107,MAGG DYLAN,REPEAT,Rare Breed/Land Shark,36,56,-20,0,6 of 37
16,105,108,BUSH,NOWHERE TO GO BUT EVERYWHERE,Round Hill/The Orchard,35,35,0,0,1 of 37
-,134,109,12 STONES,KISS FROM A ROSE,Independent,33,21,12,0,1 of 37
-,136,110,REDLIGHT KING,DEVIL'S BEST FRIEND FT. JEREMY EDGE,Independent,33,21,12,0,1 of 37
-,113,111,COLLECTIVE SOUL,MOTHER'S LOVE,Fuzze-Flex,33,30,3,0,2 of 37
-,107,112,NORMANDIE,SEROTONIN,Easy Life/Land Shark,33,33,0,0,2 of 37
-,108,113,TUK SMITH & THE RESTLESS HEARTS,GLORYBOUND,Gypsy Rose/New Ocean,33,33,0,0,3 of 37
-,131,114,DEVILSKIN,BARRACUDA,Independent,32,22,10,0,2 of 37
-,106,115,SMASH ATOMS,DOWN,M-Theory/New Ocean,31,35,-4,0,2 of 37
18,112,116,GREEN DAY,THE AMERICAN DREAM IS KILLING ME,Warner,30,30,0,0,3 of 37
19,114,117,KOBRA PAIGE,LOVE WHAT I HATE,Pasadena Records,30,30,0,0,of 37
-,104,118,FAKE FIGURES,POLYMER,New Ocean,30,35,-5,0,4 of 37
-,118,119,DARK REMEDY,WE ARE THE DEAD,Von Artists LTD,29,28,1,0,2 of 37
29,111,120,MAMMOTH WVH,I'M ALRIGHT,BMG,29,31,-2,0,3 of 37
-,110,121,ZILLION,WAR INSIDE OF ME,Potluck Lunch/The Syndicate,29,31,-2,0,4 of 37
32,119,122,JELLY ROLL,NEED A FAVOR (ROCK VERSION),Stoney Creek/BMG,28,28,0,0,2 of 37
-,122,123,PEYTON PARRISH,POETRY GLASS,Independent,27,26,1,0,3 of 37
20,120,124,NICKELBACK,SKINNY LITTLE MISSY,BMG,27,27,0,0,3 of 37
-,109,125,THE BLACK VULTURES,NEVER SAY,Independent,27,33,-6,0,1 of 37
-,125,126,BLAME MY YOUTH,PRIZEFIGHTER,Big Loud Rock,26,25,1,0,2 of 37
-,139,127,SPOKEN,ANYMORE (FT. BRIAN HEAD WELCH),XOVR/Virgin,25,20,5,0,3 of 37
-,123,128,CROSSES,BIG YOUTH,Warner,25,25,0,0,2 of 37
1,93,129,STARBENDERS,THE GAME,Sumerian,25,47,-22,0,3 of 37
-,126,130,AWAKEN I AM,ROSES,SBG Records,24,23,1,0,2 of 37
28,121,131,AYRON JONES,BLOOD IN THE WATER,Big Machine/John Varvatos,24,26,-2,0,2 of 37
-,115,132,UNPEOPLE,WASTE,SharpTone / Land Shark,24,29,-5,0,3 of 37
9,128,133,ROYALE LYNN,SIX FEET DEEP,Epitaph,23,23,0,0,2 of 37
-,127,134,SILENT THEORY,AFTERTHOUGHT,OneRPM,23,23,0,0,2 of 37
-,144,135,ONI,SILHOUETTE,CO5,22,20,2,0,2 of 37
-,132,136,MEMPHIS MAY FIRE,MISERY,RISE/BMG/Land Shark,22,22,0,0,2 of 37
-,166,137,SONS OF SILVER,TELL ME THIS,Independent,21,13,8,1,3 of 37
-,148,138,RUBIKON,LOSE IT ALL,Round Hill/CO5,21,19,2,0,2 of 37
-,143,139,VAMPIRES EVERYWHERE!,CRY LITTLE SISTER,Dark Kingdom/New Ocean,21,20,1,0,2 of 37
-,133,140,WHO ON EARTH,HOLD THE LINE,WOE Records/Lucky Man,21,21,0,0,2 of 37
-,116,141,JOE SATRIANI & STEVE VAI,SEA OF EMOTION PT. 1,Independent,21,29,-8,0,3 of 37
-,193,142,SMASH ATOMS,INTO THE LIGHT,M-Theory/New Ocean,20,5,15,3,4 of 37
-,141,143,BABYLON A.D.,WRECKING MACHINE,Perris/New Ocean,20,20,0,0,3 of 37
-,145,144,BOSTON MANOR,CONTAINER,SharpTone/Land Shark,20,20,0,0,3 of 37
-,149,145,VLAD IN TEARS,BROKEN BONES,Metalville/New Ocean,19,19,0,0,3 of 37
29,152,146,POP EVIL,SKELETONS,MNRK/G&G,18,17,1,0,2 of 37
5,150,147,RAIN CITY DRIVE,FROZEN,Thriller,18,18,0,0,2 of 37
25,147,148,FOO FIGHTERS,UNDER YOU,RCA,18,19,-1,0,2 of 37
23,140,149,NITA STRAUSS,VICTORIOUS (FT. DOROTHY),Sumerian,18,20,-2,0,2 of 37
-,129,150,DARK REMEDY,NEVER GOING BACK,Von Artists LTD,18,22,-4,0,2 of 37
11,162,151,SET IT OFF,EVIL PEOPLE,Why Worry/Stem,17,15,2,0,2 of 37
-,175,152,UNDEROATH,LIFELINE (DROWNING),MNRK HEAVY/UNDEROATH,16,12,4,0,1 of 37
-,170,153,NEW YEARS DAY,VAMPYRE,The Orchard,16,13,3,0,1 of 37
-,156,154,DEEP PURPLE,PORTABLE DOOR,earMUSIC/Land Shark,16,15,1,0,1 of 37
19,159,155,MIKE SHINODA,ALREADY OVER,Warner,16,15,1,0,2 of 37
