WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
12,2,1,FIVE FINGER DEATH PUNCH,WELCOME TO THE CIRCUS,Better Noise,905,854,51,1,35 of 39
11,3,2,DISTURBED,BAD MAN,Warner,897,849,48,1,35 of 39
14,5,3,POP EVIL,PARANOID (CRASH & BURN),Pop Evil/MNRK HEAVY/G&G,873,822,51,0,33 of 39
9,4,4,METALLICA,LUX ÆTERNA,Q Prime/Blackened,872,837,35,1,31 of 39
25,1,5,FAME ON FIRE,WELCOME TO THE CHAOS,Hopeless,845,859,-14,1,29 of 39
23,6,6,STARSET & BREAKING BENJAMIN,WAITING ON THE SKY TO CHANGE,Judge & Jury/The Orchard,817,809,8,1,30 of 39
20,7,7,NICKELBACK,SAN QUENTIN,BMG,737,798,-61,0,27 of 39
14,8,8,BLINK-182,EDGING,Columbia,698,712,-14,0,27 of 39
18,11,9,ARCHITECTS,TEAR GAS,Epitaph,677,670,7,0,23 of 39
22,10,10,BAD OMENS,JUST PRETEND,Sumerian,653,673,-20,0,27 of 39
10,15,11,DARK BELOW,HATE BEING HUMAN,JPS Prod.,652,559,93,0,18 of 39
18,13,12,THREE DAYS GRACE,I AM THE WEAPON,RCA,631,609,22,0,28 of 39
26,9,13,GHOST,SPILLWAYS,Loma Vista/Concord,565,688,-123,0,28 of 39
11,17,14,HARDY,JACK,Big Loud Rock,560,508,52,1,23 of 39
16,12,15,SMASHING PUMPKINS,BEGUILED,Martha's Music/Thirty Tigers,548,660,-112,0,27 of 39
14,14,16,THEORY OF A DEADMAN,DINOSAUR,Roadrunner/3EE,516,596,-80,1,28 of 39
4,18,17,SHINEDOWN,DEAD DON'T DIE,Atlantic,509,441,68,2,24 of 39
4,21,18,DAUGHTRY,SEPARATE WAYS (WORLDS APART) FT. LZZY HALE,Dogtree/Big Machine,507,425,82,2,28 of 39
23,16,19,ROYAL BLISS,BLACK RHINO,Kartel/Air Castle,477,512,-35,0,23 of 39
22,22,20,DOROTHY,BLACK SHEEP,Rock Nation/CO5,454,389,65,1,25 of 39
9,20,21,WHISKEY MYERS,THE WOLF,Wiggy Thump/Thirty Tigers,438,436,2,0,22 of 39
2,37,22,PAPA ROACH,CUT THE LINE,New Noize/ADA,407,287,120,3,23 of 39
5,25,23,ONE DAY ALIVE,BRINGING ON THE PAIN,Silent Majority Group,390,338,52,0,18 of 39
5,23,24,ALTER BRIDGE,HOLIDAY,Napalm/CO5,386,385,1,0,21 of 39
17,19,25,GODSMACK,SURRENDER,BMG,367,439,-72,0,19 of 39
8,33,26,MOTIONLESS IN WHITE,WEREWOLF,Roadrunner/EMG,365,302,63,2,21 of 39
7,26,27,UNCHAINED,PSYCHEDELIC PICNIC,PACgroove,362,338,24,0,15 of 39
17,24,28,BLACK VEIL BRIDES,SAVIOUR II,Sumerian,356,343,13,0,21 of 39
5,30,29,PISTOLS AT DAWN,UNDER THE SURFACE,CO5/Megaforce,347,306,41,0,22 of 39
4,32,30,I PREVAIL,DEEP END,Concord,341,302,39,1,21 of 39
12,27,31,CROBOT,GOLDEN,Mascot,338,338,0,1,22 of 39
5,31,32,AVATAR,THE DIRT I'M BURIED IN,G&G,317,304,13,0,20 of 39
3,34,33,SALIVA,HIGH ON ME,Megaforce/FM,314,294,20,2,21 of 39
4,38,34,DARK REMEDY,BLOOD MONEY,PACgroove,310,282,28,0,18 of 39
13,36,35,VERSUS ME,TERRIFIED,FM,291,288,3,1,18 of 39
9,40,36,GIOVANNIE AND THE HIRED GUNS,OVERRATED,Warner,260,254,6,1,20 of 39
3,43,37,UNCURED,LET'S BREAK OUT,Pavement,246,203,43,0,16 of 39
4,41,38,PARKWAY DRIVE,IMPERIAL HERETIC,Epitaph,245,225,20,1,17 of 39
7,39,39,RIVAL SONS,NOBODY WANTS TO DIE,Atlantic,238,278,-40,1,19 of 39
1,52,40,THE ALMAS,CAGE,MK Music,212,152,60,1,17 of 39
2,47,41,SAINT ASONIA,DEVASTATE,Spinefarm,204,175,29,3,17 of 39
1,53,42,PSYCHO HILL,MEMORIES,Little Bo Ba/Land Shark,202,150,52,1,18 of 39
2,51,43,DAYSEEKER,WITHOUT ME,Land Shark,199,156,43,2,15 of 39
3,46,44,SKILLET,PSYCHO IN MY HEAD,Atlantic,185,182,3,1,11 of 39
11,35,45,SEVVVEN,COLD,Wake Up! Music Rocks,185,292,-107,0,11 of 39
21,45,46,VOLBEAT,BECOMING,Republic,181,200,-19,0,10 of 39
1,-,47,LINKIN PARK,LOST,Warner,168,0,168,16,14 of 39
15,29,48,MESSER,UNBREAKABLE (UNFVKWITABLE),Curtain Call,167,318,-151,0,19 of 39
1,60,49,FALLING IN REVERSE,WATCH THE WORLD BURN,Epitaph,162,83,79,8,15 of 39
12,28,50,FOR THE FALLEN DREAMS,NO HEAVEN,Arising Empire,156,324,-168,1,20 of 39
9,44,51,SONS ON FIRE,RISE,Curtain Call,149,202,-53,0,8 of 39
9,42,52,TURNSTILE,HOLIDAY,Roadrunner/3EE,149,220,-71,0,15 of 39
12,48,53,NOTHING MORE,YOU DON'T KNOW WHAT LOVE MEANS,Better Noise,146,174,-28,0,13 of 39
