WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
23,1,1,FAME ON FIRE,WELCOME TO THE CHAOS,Hopeless,863,862,1,0,28 of 40
10,4,2,FIVE FINGER DEATH PUNCH,WELCOME TO THE CIRCUS,Better Noise,859,819,40,0,34 of 40
7,3,3,METALLICA,LUX ÆTERNA,Q Prime/Blackened,832,831,1,0,30 of 40
12,7,4,POP EVIL,PARANOID (CRASH & BURN),Pop Evil/MNRK HEAVY/G&G,809,781,28,0,33 of 40
12,5,5,BLINK-182,EDGING,Columbia,793,797,-4,0,30 of 40
18,2,6,NICKELBACK,SAN QUENTIN,BMG,790,847,-57,0,29 of 40
9,9,7,DISTURBED,BAD MAN,Warner,783,753,30,0,34 of 40
21,6,8,STARSET & BREAKING BENJAMIN,WAITING ON THE SKY TO CHANGE,Judge & Jury/The Orchard,783,790,-7,0,30 of 40
24,8,9,GHOST,SPILLWAYS,Loma Vista/Concord,774,754,20,2,31 of 40
14,12,10,SMASHING PUMPKINS,BEGUILED,Martha's Music/Thirty Tigers,678,654,24,0,29 of 40
16,11,11,ARCHITECTS,TEAR GAS,Epitaph,667,673,-6,0,25 of 40
9,16,12,SEVVVEN,COLD,Wake Up! Music Rocks,642,557,85,0,18 of 40
20,13,13,BAD OMENS,JUST PRETEND,Sumerian,636,637,-1,0,28 of 40
16,14,14,THREE DAYS GRACE,I AM THE WEAPON,RCA,604,616,-12,0,32 of 40
12,15,15,THEORY OF A DEADMAN,DINOSAUR,Roadrunner/3EE,598,579,19,0,28 of 40
8,22,16,SONS ON FIRE,RISE,Curtain Call,502,400,102,0,17 of 40
21,17,17,ROYAL BLISS,BLACK RHINO,Kartel/Air Castle,489,509,-20,0,24 of 40
15,10,18,GODSMACK,SURRENDER,BMG,487,676,-189,0,27 of 40
8,21,19,DARK BELOW,HATE BEING HUMAN,JPS Prod.,468,423,45,0,18 of 40
9,23,20,HARDY,JACK,Big Loud Rock,451,395,56,0,22 of 40
7,24,21,WHISKEY MYERS,THE WOLF,Wiggy Thump/Thirty Tigers,419,388,31,0,22 of 40
13,19,22,MESSER,UNBREAKABLE (UNFVKWITABLE),Curtain Call,408,454,-46,0,23 of 40
20,20,23,DOROTHY,BLACK SHEEP,Rock Nation/CO5,393,426,-33,0,26 of 40
3,31,24,ALTER BRIDGE,HOLIDAY,Napalm/CO5,378,301,77,0,20 of 40
2,34,25,DAUGHTRY,SEPARATE WAYS (WORLD APART) FT. LZZY HALE,Dogtree,377,257,120,2,24 of 40
15,27,26,BLACK VEIL BRIDES,SAVIOUR II,Sumerian,349,354,-5,0,21 of 40
17,18,27,OZZY OSBOURNE,ONE OF THOSE DAYS,Epic,337,470,-133,0,21 of 40
2,43,28,SHINEDOWN,DEAD DON'T DIE,Atlantic,329,194,135,5,20 of 40
10,26,29,CROBOT,GOLDEN,Mascot,326,362,-36,0,21 of 40
10,29,30,FOR THE FALLEN DREAMS,NO HEAVEN,Arising Empire,311,317,-6,0,18 of 40
5,36,31,UNCHAINED,PSYCHEDELIC PICNIC,PACgroove,298,249,49,0,15 of 40
3,39,32,AVATAR,THE DIRT I'M BURIED IN,G&G,295,236,59,3,20 of 40
6,32,33,MOTIONLESS IN WHITE,WEREWOLF,Roadrunner/EMG,284,282,2,1,19 of 40
3,41,34,PISTOLS AT DAWN,UNDER THE SURFACE,CO5/Megaforce,283,222,61,3,21 of 40
3,38,35,ONE DAY ALIVE,BRINGING ON THE PAIN,Silent Majority Group,275,237,38,0,16 of 40
2,46,36,I PREVAIL,DEEP END,Concord,265,182,83,3,19 of 40
11,33,37,VERSUS ME,TERRIFIED,FM,259,272,-13,0,18 of 40
7,37,38,GIOVANNIE AND THE HIRED GUNS,OVERRATED,Warner,256,243,13,0,19 of 40
5,35,39,RIVAL SONS,NOBODY WANTS TO DIE,Atlantic,252,257,-5,0,17 of 40
2,44,40,DARK REMEDY,BLOOD MONEY,PACgroove,250,191,59,2,18 of 40
1,56,41,SALIVA,HIGH ON ME,Megaforce/FM,237,125,112,3,18 of 40
11,28,42,NOTHING MORE,YOU DON'T KNOW WHAT LOVE MEANS,Better Noise,233,335,-102,0,22 of 40
19,30,43,VOLBEAT,BECOMING,Republic,229,315,-86,0,20 of 40
8,40,44,TURNSTILE,HOLIDAY,Roadrunner/3EE,219,233,-14,0,16 of 40
2,50,45,PARKWAY DRIVE,IMPERIAL HERETIC,Epitaph,204,154,50,2,16 of 40
6,47,46,FIT FOR A KING,FALLING THROUGH THE SKY,Solid State/Land Shark,174,182,-8,0,14 of 40
26,45,47,BEARTOOTH,RIPTIDE,Red Bull,145,186,-41,0,11 of 40
1,62,48,SKILLET,PSYCHO IN MY HEAD,Atlantic,141,92,49,1,9 of 40
1,52,49,DAYSEEKER,WITHOUT ME,Land Shark,141,144,-3,2,13 of 40
1,186,50,UNCURED,LET'S BREAK OUT,Pavement,133,3,130,17,16 of 40
-,146,51,PAPA ROACH,CUT THE LINE,New Noize/ADA,133,10,123,17,16 of 40
23,42,52,BUSH,MORE THAN MACHINES,BMG,132,220,-88,0,11 of 40
-,59,53,IGGY POP,FRENZY,Atlantic,118,110,8,0,10 of 40
31,48,54,FALLING IN REVERSE,VOICES IN MY HEAD,Epitaph,111,171,-60,0,11 of 40
16,55,55,OF VIRTUE,COLD BLOODED,Arising Empire/FM,97,126,-29,0,8 of 40
-,83,56,STORY OF THE YEAR,WAR,Sharptone/Land Shark,95,52,43,2,7 of 40
11,53,57,AWAKE AT LAST,THE OTHER SIDE,Wake Up! Music Rocks/FM Music,95,135,-40,0,8 of 40
-,64,58,SLEEPING WITH SIRENS,COMPLETE COLLAPSE,Sumerian,87,90,-3,0,9 of 40
5,61,59,AVATAR,DANCE DEVIL DANCE,Thirty Tigers/Black Waltz/G&G,87,96,-9,0,8 of 40
-,66,60,THE ANSWER,BLOOD BROTHER,Golden Robot,84,89,-5,0,4 of 40
-,-,61,THE HUNGER,TEARS TO CRY,Wake Up! Music Rocks,83,0,83,13,12 of 40
-,57,62,OVTLIER,LIVING DEAD,Land Shark,83,116,-33,0,7 of 40
20,49,63,RED HOT CHILI PEPPERS,TIPPA MY TONGUE,Warner,83,169,-86,0,13 of 40
