WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
9,2,1,GREEN DAY,DILEMMA,Warner,873,834,39,1,29 of 38
23,1,2,FOZZY,SPOTLIGHT,The Orchard,841,1030,-189,0,31 of 38
6,6,3,LINKIN PARK,FRIENDLY FIRE,Warner,837,790,47,0,29 of 38
11,5,4,ASKING ALEXANDRIA,DARK VOID,Better Noise,820,810,10,1,29 of 38
7,3,5,PEARL JAM,DARK MATTER,Repbulic,820,820,0,0,28 of 38
8,9,6,NOTHING MORE,IF IT DOESN'T HURT,Better Noise,771,731,40,2,32 of 38
12,4,7,FOO FIGHTERS,THE GLASS,RCA,758,814,-56,1,29 of 38
11,7,8,BEARTOOTH,I WAS ALIVE,Red Bull,756,746,10,0,28 of 38
5,13,9,METALLICA,SCREAMING SUICIDE,Blackened/Q Prime,638,559,79,1,27 of 38
6,15,10,MADAME MAYHEM,HEADCASE,Headball,628,512,116,1,21 of 38
20,10,11,SCOTT STAPP,HIGHER POWER,Shelter,614,633,-19,0,26 of 38
7,14,12,GODSMACK,TRUTH,BMG,567,538,29,1,31 of 38
6,20,13,SLEEP THEORY,FALLOUT,Epitaph,535,454,81,2,26 of 38
26,8,14,ATREYU,GONE,Spinefarm/Land Shark,524,737,-213,0,26 of 38
13,11,15,COREY TAYLOR,WE ARE THE REST,BMG,508,590,-82,0,28 of 38
11,17,16,SAINT ASONIA,WOLF FT. JOHN COOPER,Spinefarm,481,492,-11,2,26 of 38
5,21,17,FAME ON FIRE,NIGHTMARE (THE DEVIL),Hopeless,473,454,19,1,24 of 38
9,23,18,BLACK STONE CHERRY,WHEN THE PAIN COMES,Mascot/MLG,472,446,26,0,23 of 38
17,24,19,DEAD POET SOCIETY,RUNNING IN CIRCLES,Spinefarm,459,442,17,0,24 of 38
5,28,20,ETCHED IN EMBERS,HAPPY SONG,Independent,457,382,75,1,18 of 38
17,22,21,DES ROCS,I AM THE LIGHTNING,Sumerian,431,451,-20,1,22 of 38
4,27,22,FROM ASHES TO NEW,BARELY BREATHING,Better Noise,422,402,20,3,23 of 38
8,25,23,ROYALE LYNN,SIX FEET DEEP,Epitaph,407,407,0,0,20 of 38
26,26,24,ANY GIVEN SIN,DYNAMITE,Mascot/MLG,393,403,-10,0,21 of 38
5,33,25,RICK MONROE AND THE HITMEN,WORTH THE HURT,TLG/Virgin,365,309,56,0,16 of 38
22,18,26,PAPA ROACH,LEAVE A LIGHT ON,New Noize,350,489,-139,0,18 of 38
5,32,27,THE WARNING,S!CK,Lava/Republic,333,319,14,1,18 of 38
4,35,28,ROGUE ROYAL,NOVOCAINE,SunRaye,332,290,42,0,17 of 38
5,34,29,VENREZ,SIP THE CUP,Wake Up! Music Rocks,331,302,29,0,15 of 38
21,16,30,DISTURBED,DON'T TELL ME,Warner,320,493,-173,0,19 of 38
5,31,31,HARDY,ROCKSTAR,Big Loud Rock,318,325,-7,0,15 of 38
10,37,32,DAYSEEKER,DREAMSTATE,Spinefarm/Land Shark,314,286,28,1,15 of 38
10,30,33,THE BLACK CROWES,WANTING AND WAITING,Silver Lining/Red Light,304,332,-28,0,17 of 38
2,41,34,FEAR OF WATER,SYSTEMIC FT. AARON NORDSTROM,FoW/Pasadena,288,236,52,2,19 of 38
3,38,35,THE GHOST INSIDE,WASH IT AWAY,Epitaph,279,273,6,0,21 of 38
7,39,36,JUDAS PRIEST,CROWN OF HORNS,Epic,278,268,10,0,17 of 38
3,40,37,SET IT OFF,FAKE ASS FRIENDS,Why Worry/Stem,258,244,14,0,16 of 38
9,36,38,THE BLACK KEYS,BEAUTIFUL PEOPLE (STAY HIGH),Nonesuch/Warner,252,290,-38,0,16 of 38
2,44,39,ATRIUM,CHOKED BY SMOKE,MMP,238,216,22,0,16 of 38
2,48,40,BLACKLITE DISTRICT,I TRY TODAY,AK19,235,194,41,1,16 of 38
3,43,41,THE PLOT IN YOU,CLOSURE,Concord,235,226,9,1,17 of 38
10,42,42,BLIND CHANNEL,DEADZONE,Motor/CO5,224,235,-11,0,13 of 38
1,143,43,BILLY MORRISON & OZZY OSBOURNE,CRACK COCAINE FT. STEVE STEVENS,TLG/ZOID/Virgin,215,24,191,15,16 of 38
3,46,44,LINES OF LOYALTY,HURTS TO BE HUMAN,C3&B/CO5,198,203,-5,0,11 of 38
1,51,45,BAD OMENS,V.A.N (FT. POPPY),Sumerian,194,172,22,0,8 of 38
1,59,46,KUARANTINE,GOOD GIRL GONE BAD,Madison/The Orchard,189,131,58,1,15 of 38
1,70,47,DAUGHTRY,PIECES,Big Machine,188,102,86,4,18 of 38
3,49,48,MOLLY D'AGO,SOMEONE JUST LIKE YOU,Wake Up! Music Rocks,187,186,1,0,12 of 38
1,74,49,P.O.D.,AFRAID TO DIE,Mascot/MLG,182,91,91,4,16 of 38
2,50,50,AMBER WILD,SILVER,New Ocean,178,181,-3,0,6 of 38
