WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
11,2,1,FALLING IN REVERSE & JELLY ROLL,ALL MY LIFE,Epitaph,862,943,-81,0,30 of 37
11,4,2,THE OFFSPRING,MAKE IT ALL RIGHT,Concord,797,783,14,0,29 of 37
10,8,3,HALESTORM & I PREVAIL,CAN YOU SEE ME IN THE DARK?,Atlantic,736,675,61,1,26 of 37
15,5,4,SHALLOW SIDE,FILTERS,Thermal,734,748,-14,0,28 of 37
22,6,5,DAUGHTRY,PIECES,Big Machine,732,716,16,0,27 of 37
7,9,6,SEETHER,JUDAS MIND,Concord,723,666,57,1,30 of 37
26,3,7,FAME ON FIRE,NIGHTMARE (THE DEVIL),Hopeless,705,823,-118,0,27 of 37
21,7,8,WAGE WAR,MAGNETIC,Fearless/Concord,611,691,-80,0,25 of 37
8,15,9,STRIPPING THE PISTOL,HOPE,TLG/ZOID/Virgin,592,460,132,0,17 of 37
11,11,10,BRING ME THE HORIZON,TOP 10 STATUES THAT CRIED BLOOD,Columbia,584,589,-5,1,28 of 37
10,14,11,A DAY TO REMEMBER,FEEDBACK,Fueled By Ramen/3eE,543,487,56,2,27 of 37
7,16,12,THE FUNERAL PORTRAIT,SUFFOCATE CITY,Better Noise,503,451,52,1,19 of 37
16,13,13,BLACK VEIL BRIDES,BLEEDERS,Spinefarm/Land Shark,499,491,8,0,25 of 37
27,1,14,SLEEP THEORY,FALLOUT,Epitaph,492,976,-484,0,32 of 37
6,19,15,NEW DILEMMA,RUN AND HIDE,Pavement,486,415,71,0,16 of 37
5,22,16,EMPIIRES,NEVER ENOUGH,TLG/ZOID/Virgin,467,388,79,0,17 of 37
12,10,17,FOZZY,ARMY OF ONE,Madison/The Orchard,466,651,-185,0,20 of 37
2,28,18,POP EVIL,WHAT REMAINS,MNRK Heavy/G&G,463,343,120,4,29 of 37
8,18,19,MESSER,FIND OUT,Maddpants/ONErpm/FM,459,417,42,0,22 of 37
4,24,20,DOROTHY,MUD,Roc Nation,429,381,48,1,22 of 37
8,20,21,THE ALMAS,LIFELINE,Wake Up! Music Rocks,420,410,10,0,12 of 37
7,29,22,VENREZ,CROSSED THE LINE,Wake Up! Music Rocks,410,340,70,0,17 of 37
9,25,23,BLACKLIST UNION,HORNS AND HALOS,BLU,393,381,12,0,20 of 37
8,27,24,MYLES KENNEDY,SAY WHAT YOU WILL,Napalm,376,371,5,0,20 of 37
4,30,25,JERRY CANTRELL,VILIFIED,Double J,372,310,62,3,20 of 37
15,26,26,TIM MONTANA,SAVAGE,Music Knox/BBR/BMG,364,381,-17,0,19 of 37
17,17,27,STAIND,BETTER DAYS,Alchemy/CO5,321,432,-111,0,19 of 37
3,37,28,FINGER ELEVEN,ADRENALINE,Better Noise,312,254,58,0,19 of 37
4,33,29,AMERICAN PROGRESS,OUTLAW,Independent,312,278,34,1,15 of 37
2,41,30,SMASHING PUMPKINS,SIGHOMMI,Thirty Tigers,301,238,63,1,17 of 37
13,12,31,ROYALE LYNN,DEATH WISH (FT. DANNY WORSNOP),Epitaph,301,496,-195,0,22 of 37
6,36,32,HARDY,PSYCHO,Big Loud Rock/Big Loud,299,266,33,1,19 of 37
6,31,33,DIRTY HONEY,DON'T PUT OUT THE FIRE,Dirt,299,291,8,0,15 of 37
3,35,34,BADFLOWER,DETROIT,Big Machine,286,271,15,1,17 of 37
3,46,35,FLAT BLACK,A BIT OF LIGHTNING,Concord,259,202,57,3,17 of 37
5,21,36,THROWER,ALL I KNOW,Pavement,255,402,-147,0,15 of 37
17,34,37,MOTLEY CRUE,DOGS OF WAR,Big Machine,241,278,-37,0,13 of 37
7,40,38,KITTIE,WE ARE SHADOWS,Sumerian,239,245,-6,0,17 of 37
15,39,39,ABOVE SNAKES,RIDE AND DIE,Independent,239,247,-8,0,15 of 37
25,38,40,FROM ASHES TO NEW,BARELY BREATHING,Better Noise,237,250,-13,0,13 of 37
4,43,41,SCOTT STAPP,BLACK BUTTERFLY,Napalm,231,224,7,1,17 of 37
17,32,42,PEARL JAM,WRECKAGE,Republic,221,283,-62,0,12 of 37
2,49,43,HIGHLY SUSPECT,PLASTIC BOXES,3eE/Roadrunner/InDeGoot,208,177,31,1,14 of 37
12,42,44,PLUSH,RUN,Pavement,203,230,-27,0,17 of 37
4,45,45,LAKEVIEW,MONEY WHERE YOUR MOUTH IS,Gravel Road,196,205,-9,0,9 of 37
1,54,46,ALBORN,A LITTLE LESS THAN EXPECTED,ONErpm,179,146,33,0,13 of 37
1,60,47,STONE HORSES,FREE,Broken World/Land Shark,177,128,49,0,12 of 37
1,51,48,POPPY,NEW WAY OUT,Sumerian,176,172,4,1,14 of 37
7,50,49,ALL THAT REMAINS,LET YOU GO,Independent,176,176,0,0,9 of 37
1,71,50,WOLVES OF TOMORROW,RAVENS TEARS,Independent,175,101,74,2,15 of 37
8,47,51,NONPOINT,UNDERDOG,361 Degrees,173,192,-19,0,9 of 37
19,44,52,FIVE FINGER DEATH PUNCH,THIS IS THE WAY (FT. DMX),Better Noise,170,206,-36,0,10 of 37
-,104,53,JELLY ROLL,LIAR,BMG,154,53,101,8,14 of 37
23,23,54,SET IT OFF,FAKE ASS FRIENDS,Why Worry/Stem,149,383,-234,0,21 of 37
-,59,55,CONQUER DIVIDE,PARALYZED (FT. ATTACK ATTACK),Mascot,148,132,16,0,8 of 37
-,57,56,ENEMY REMAINS,WILL I WAKE,Independent,146,135,11,1,13 of 37
-,55,57,THE WARNING,HELL YOU CALL A DREAM,Republic,140,139,1,0,11 of 37
-,124,58,NOTHING MORE,ANGEL SONG (FT. DAVID DRAIMAN),Better Noise,139,38,101,11,15 of 37
-,80,59,SALEM'S CHILDE,THROUGH FIRE,Pavement,136,84,52,4,16 of 37
-,64,60,TREMONTI,JUST TOO MUCH,Napalm,136,108,28,0,12 of 37
-,58,61,RAIN CITY DRIVE,MEDICATE ME,Thriller,134,134,0,0,7 of 37
-,100,62,HEARTS & HAND GRENADES,BREATHE INTO ME,Independent,129,62,67,4,14 of 37
-,61,63,DEAD POET SOCIETY,HURT,Spinefarm,129,127,2,0,12 of 37
20,56,64,BAD OMENS,V.A.N (FT. POPPY),Sumerian,119,138,-19,0,10 of 37
-,113,65,STARSET,TOKSIK,Concord,115,47,68,7,12 of 37
-,65,66,POST PROFIT,TWO TOXIC,SharpTone/Land Shark,115,108,7,0,5 of 37
-,79,67,CALL ME KARIZMA,MADHOUSE,Gloomy Culture/BHMM,114,86,28,1,13 of 37
