WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
21,1,1,FOZZY,SPOTLIGHT,The Orchard,1026,1038,-12,0,31 of 38
7,6,2,GREEN DAY,DILEMMA,Warner,809,707,102,1,28 of 38
10,3,3,FOO FIGHTERS,THE GLASS,RCA,799,745,54,1,29 of 38
9,4,4,ASKING ALEXANDRIA,DARK VOID,Better Noise,774,736,38,0,28 of 38
5,7,5,PEARL JAM,DARK MATTER,Repbulic,750,702,48,1,27 of 38
4,9,6,LINKIN PARK,FRIENDLY FIRE,Warner,747,649,98,3,30 of 38
19,5,7,DISTURBED,DON'T TELL ME,Warner,702,729,-27,0,28 of 38
24,8,8,ATREYU,GONE,Spinefarm/Land Shark,699,693,6,0,26 of 38
9,10,9,BEARTOOTH,I WAS ALIVE,Red Bull,691,646,45,1,26 of 38
6,15,10,NOTHING MORE,IF IT DOESN'T HURT,Better Noise,655,534,121,3,28 of 38
20,2,11,PAPA ROACH,LEAVE A LIGHT ON,New Noize,632,838,-206,0,28 of 38
18,13,12,SCOTT STAPP,HIGHER POWER,Shelter,616,588,28,1,27 of 38
11,11,13,COREY TAYLOR,WE ARE THE REST,BMG,606,615,-9,0,30 of 38
3,30,14,METALLICA,SCREAMING SUICIDE,Blackened/Q Prime,503,350,153,2,25 of 38
5,16,15,GODSMACK,TRUTH,BMG,499,516,-17,1,30 of 38
8,18,16,BLACKLITE DISTRICT,GIVE ME LIFE FT. JUDD HOOS,AK19,484,457,27,0,18 of 38
15,17,17,DEAD POET SOCIETY,RUNNING IN CIRCLES,Spinefarm,469,469,0,1,25 of 38
9,19,18,SAINT ASONIA,WOLF FT. JOHN COOPER,Spinefarm,459,433,26,0,23 of 38
3,23,19,FAME ON FIRE,NIGHTMARE (THE DEVIL),Hopeless,426,394,32,2,21 of 38
4,24,20,MADAME MAYHEM,HEADCASE,Headball,425,384,41,0,19 of 38
4,28,21,SLEEP THEORY,FALLOUT,Epitaph,412,368,44,1,23 of 38
24,20,22,ANY GIVEN SIN,DYNAMITE,Mascot/MLG,404,401,3,3,21 of 38
5,31,23,ENEMY REMAINS,EMPTY INSIDE,Fortess,401,342,59,0,17 of 38
7,21,24,BLACK STONE CHERRY,WHEN THE PAIN COMES,Mascot/MLG,393,396,-3,0,21 of 38
15,25,25,DES ROCS,I AM THE LIGHTNING,Sumerian,387,373,14,0,19 of 38
