WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
17,96,133,ABOVE SNAKES,RIDE AND DIE,Independent,34,60,-26,0,5 of 36
-,132,134,SILCROW,WHAT I AM,Independent,33,34,-1,0,1 of 36
-,123,135,WES ANDERSON,GOODBYE (FT. STEPHEN RICHARDS),Independent,33,38,-5,0,3 of 36
9,140,136,SOCIETY OF VILLAINS,SMOKE AND TROUBLE,CloudKid/Pasadena,32,26,6,0,2 of 36
28,135,137,AYRON JONES,BLOOD IN THE WATER,Big Machine/John Varvatos,31,31,0,0,2 of 36
-,145,138,TEXAS HIPPIE COALITION,GUNSMOKE,MNRK,30,25,5,0,3 of 36
-,139,139,BLAME MY YOUTH,PRIZEFIGHTER,Big Loud Rock,30,28,2,0,2 of 36
14,108,140,ROYALE LYNN,DEATH WISH (FT. DANNY WORSNOP),Epitaph,28,48,-20,0,3 of 36
-,149,141,JUDAS PRIEST,THE LODGER,Epic,27,24,3,1,2 of 36
-,143,142,MANAFEST,LEARNING HOW TO BE HUMAN,Independent,27,25,2,0,3 of 36
-,128,143,MARILYN MANSON,AS SICK AS THE SECRETS WITHIN,Nuclear Blast,27,36,-9,0,3 of 36
-,-,144,THE PLOT IN YOU,PRETEND,Concord,26,0,26,4,4 of 36
-,150,145,ONI,CONTROL,Independent/CO5,26,24,2,0,3 of 36
-,146,146,WHO ON EARTH,HOLD THE LINE,WOE Records/Lucky Man,26,25,1,0,2 of 36
13,97,147,FOZZY,ARMY OF ONE,Madison/The Orchard,26,59,-33,0,4 of 36
-,156,148,RUBIKON,LOSE IT ALL,Round Hill/CO5,25,22,3,0,2 of 36
19,154,149,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS",CRACK COCAINE,TLG/ZOID/Virgin,25,23,2,0,2 of 36
-,144,150,DEADLANDS,VILLIAN,Spinefarm/Land Shark,25,25,0,0,3 of 36
-,147,151,HED PE,WAITING,Regime,25,25,0,0,of 36
