WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
13,1,1,AVENGED SEVENFOLD,NOBODY,Warner,965,933,32,0,34 of 38
8,2,2,FOO FIGHTERS,RESCUED,RCA,861,863,-2,0,30 of 38
11,3,3,MAMMOTH WVH,ANOTHER CELEBRATION AT THE END OF THE WORLD,BMG,837,803,34,1,34 of 38
11,4,4,METALLICA,72 SEASONS,Blackened/Q Prime,780,767,13,0,29 of 38
8,5,5,STAIND,LOWEST IN ME,Alchemy,762,742,20,0,28 of 38
11,7,6,FROM ASHES TO NEW,HATE ME TOO,Better Noise,693,681,12,0,29 of 38
21,6,7,I PREVAIL,DEEP END,Concord,692,706,-14,0,29 of 38
13,8,8,JELLY ROLL,NEED A FAVOR (ROCK VERSION),Stoney Creek/BMG,675,670,5,0,25 of 38
8,10,9,DISTURBED,UNSTOPPABLE,Warner,645,623,22,0,29 of 38
22,12,10,AVATAR,THE DIRT I'M BURIED IN,G&G,612,551,61,1,28 of 38
9,15,11,FIT FOR A KING,REACHING OUT,Solid State,586,490,96,0,17 of 38
8,13,12,GHOST,JESUS HE KNOWS ME,Loma Vista/Concord,525,518,7,0,28 of 38
18,11,13,LINKIN PARK,LOST,Warner,523,573,-50,0,20 of 38
3,21,14,COREY TAYLOR,BEYOND,BMG,497,423,74,0,29 of 38
8,17,15,GRETA VAN FLEET,MEETING THE MASTER,Republic,494,484,10,0,25 of 38
10,16,16,AYRON JONES,BLOOD IN THE WATER,Big Machine/John Varvatos,491,487,4,0,28 of 38
8,20,17,THE DEVIL WEARS PRADA,SALT,Solid State,489,434,55,0,19 of 38
7,25,18,HILLBILLY VEGAS,TWO GUN TOWN,TLG/INgrooves,481,396,85,0,16 of 38
10,19,19,ATREYU,WATCH ME BURN,Spinefarm/Land Shark,474,462,12,0,26 of 38
15,9,20,GODSMACK,SOUL ON FIRE,BMG,473,661,-188,0,23 of 38
5,23,21,BUSH,ALL THINGS MUST CHANGE,BMG,465,405,60,1,30 of 38
19,24,22,SAINT ASONIA,DEVASTATE,Spinefarm,399,397,2,0,23 of 38
3,27,23,SEVENDUST,EVERYTHING,Napalm,398,343,55,1,27 of 38
5,28,24,DARK REMEDY,HAUNTED,Von Artists LTD,384,340,44,0,17 of 38
6,29,25,POINT NORTH,SAFE AND SOUND,Hopeless,374,325,49,1,25 of 38
5,33,26,GRAVEL,ALL I WANT,Stryker/INgrooves,349,306,43,0,15 of 38
4,30,27,THE NOCTURNAL AFFAIR,IT'S NO GOOD,Madison,348,322,26,1,19 of 38
4,32,28,POP EVIL,SKELETONS,MNRK/G&G,337,310,27,0,25 of 38
4,39,29,PLUSH,LEFT BEHIND,Pavement,318,273,45,0,22 of 38
4,37,30,CHAINS OVER RAZORS,BROKEN HOME,Deko,311,283,28,0,17 of 38
7,36,31,SHALLOW SIDE,YOU'RE THE REASON,Thermal,311,288,23,0,16 of 38
14,31,32,OTHERWISE,FULL DISCLOSURE,Mascot,308,321,-13,0,18 of 38
11,34,33,CITIZEN SOLDIER & ROYAL BLISS,THROUGH HELL,Citizen Soldier/Air Castle,304,302,2,0,16 of 38
3,40,34,BLACKLIST UNION,LETTERS FROM THE PSYCH WARD,BLU,301,265,36,0,16 of 38
5,38,35,TOMMY VEXT,THE WAR YOU WANTED,One A/FM,301,279,22,0,21 of 38
2,44,36,BAD OMENS,THE DEATH OF PEACE OF MIND,Sumerian,288,234,54,1,17 of 38
8,41,37,SMASHING PUMPKINS,EMPIRES,Martha's Music/Thirty Tigers,287,260,27,1,21 of 38
21,22,38,SHINEDOWN,DEAD DON'T DIE,Atlantic,283,413,-130,0,18 of 38
18,35,39,FALLING IN REVERSE,WATCH THE WORLD BURN,Epitaph,263,297,-34,0,21 of 38
4,48,40,SET IT OFF,PUNCHING BAG,Why Worry/Stem,262,217,45,1,19 of 38
19,42,41,SKILLET,PSYCHO IN MY HEAD,Atlantic,249,249,0,3,19 of 38
2,49,42,SAUL,A MILLION MILES,Spinefarm/Land Shark,244,213,31,0,19 of 38
1,51,43,SCOTT PLANTE,BURNER,Independent,241,204,37,0,15 of 38
6,46,44,OF VIRTUE,CANNIBALS,Arising Empire/FM,229,230,-1,0,12 of 38
13,45,45,RISE AMONG RIVALS,CONVICTIONS,Independent,228,234,-6,0,14 of 38
5,47,46,SAVING ABEL,BAPTIZE ME,Skiddco/Random EQ,222,223,-1,0,10 of 38
19,26,47,PAPA ROACH,CUT THE LINE,New Noize/ADA,215,357,-142,0,18 of 38
7,50,48,FOR THE FALLEN DREAMS,WITHOUT YOU,Arising Empire,210,210,0,0,13 of 38
1,52,49,FINGER ELEVEN,TOGETHER RIGHT,Craft/Concord,203,203,0,0,14 of 38
20,43,50,SALIVA,HIGH ON ME,Megaforce/FM,186,245,-59,0,15 of 38
-,62,51,THE HU,BLACK THUNDER,Better Noise,184,143,41,2,16 of 38
-,74,52,ATRIUM,ABOVE WATER,Curtain Call,177,106,71,1,14 of 38
-,72,53,WRITTEN BY WOLVES,MISERY,Independent/Land Shark,177,109,68,0,15 of 38
3,54,54,THROUGH FIRE,LOSE IT,Sumerian,175,178,-3,0,11 of 38
-,71,55,EMPIIRES,WRAPPED AROUND YOUR FINGER,TLG/INgrooves,174,110,64,2,16 of 38
-,55,56,BLACK HEART SAINTS,HUMAN XSTACY,Cleoptra/CO5,168,160,8,1,12 of 38
-,60,57,FOUR THIRTY FOUR,HIGH ROLLER,EMG/INgrooves,161,149,12,0,14 of 38
19,58,58,PISTOLS AT DAWN,UNDER THE SURFACE,CO5/Megaforce,159,158,1,0,11 of 38
2,59,59,ANY GIVEN SIN,CALM BEFORE THE STORM,Mascot,157,157,0,0,10 of 38
-,67,60,BLACK STONE CHERRY,NERVOUS,Mascot,152,114,38,1,14 of 38
-,64,61,DES ROCS,NEVER ENDING MOMENT,Sumerian,148,134,14,0,9 of 38
-,63,62,WHITE REAPER,FOG MACHINE,Elektra,144,139,5,1,15 of 38
-,65,63,SKINDRED,GIMME THAT BOOM,Earache,135,131,4,0,13 of 38
-,179,64,SLEEP THEORY,NUMB,Epitaph,132,9,123,16,16 of 38
-,73,65,HARDY,SOLD OUT,Big Loud Rock/Big Loud,125,108,17,0,12 of 38
8,53,66,SONS ON FIRE,COLLAPSE,Curtain Call,122,192,-70,0,9 of 38
7,61,67,FRAMING HANLEY,START A FIRE,Thermal,121,147,-26,0,11 of 38
6,14,68,TEXAS HIPPIE COALITION,HELL HOUNDS,MNRK,118,498,-380,0,18 of 38
-,128,69,NITA STRAUSS,VICTORIOUS (FT. DOROTHY),Sumerian,113,31,82,11,12 of 38
-,82,70,THE WARNING,MORE,Republic,113,72,41,0,8 of 38
6,68,71,DEFIANT,IGNITE THE SKY,Curtain Call,113,113,0,0,6 of 38
-,69,72,THEORY OF A DEADMAN,TWO OF US (STUCK),Roadrunner/3ee,111,112,-1,0,8 of 38
-,66,73,CAIRO KNIFE FIGHT,CHURN,CKF Records,111,122,-11,0,9 of 38
6,18,74,STRETCH,FIRESTARTER,Curtain Call,111,481,-370,0,15 of 38
-,-,75,UNCURED,FIGHT THIS WAR,Pavement,105,0,105,15,13 of 38
