WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
11,1,1,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS",CRACK COCAINE,TLG/ZOID/Virgin,1039,962,77,0,33 of 37
18,2,2,NOTHING MORE,IF IT DOESN'T HURT,Better Noise,952,927,25,0,32 of 37
9,3,3,FIVE FINGER DEATH PUNCH,THIS IS THE WAY (FT. DMX),Better Noise,914,899,15,0,30 of 37
16,4,4,SLEEP THEORY,FALLOUT,Epitaph,867,847,20,0,32 of 37
14,5,5,FROM ASHES TO NEW,BARELY BREATHING,Better Noise,755,735,20,0,28 of 37
15,6,6,FAME ON FIRE,NIGHTMARE (THE DEVIL),Hopeless,717,699,18,0,28 of 37
13,8,7,THE GHOST INSIDE,WASH IT AWAY,Epitaph,610,605,5,1,28 of 37
17,7,8,GODSMACK,TRUTH,BMG,600,635,-35,0,26 of 37
6,9,9,MOTLEY CRUE,DOGS OF WAR,Big Machine,568,563,5,0,27 of 37
11,14,10,DAUGHTRY,PIECES,Big Machine,560,521,39,1,28 of 37
6,13,11,PEARL JAM,WRECKAGE,Republic,545,524,21,1,23 of 37
15,12,12,THE WARNING,S!CK,Lava/Republic,501,539,-38,0,26 of 37
6,18,13,STAIND,BETTER DAYS,Alchemy/CO5,500,446,54,1,23 of 37
7,15,14,SWIM THE CURRENT,SO LOW,TLG/ZOID/Virgin,496,469,27,0,17 of 37
10,17,15,WAGE WAR,MAGNETIC,Fearless/Concord,458,463,-5,0,25 of 37
7,10,16,ONCE AROUND,LOVE AND WAR,Independent,455,551,-96,0,17 of 37
5,20,17,STRIPPING THE PISTOL,BLACK REFLECTIONS,TLG/ZOID/Virgin,435,404,31,0,18 of 37
4,22,18,SHALLOW SIDE,FILTERS,Thermal,431,381,50,2,25 of 37
15,16,19,METALLICA,SCREAMING SUICIDE,Blackened/Q Prime,422,465,-43,0,21 of 37
4,29,20,HEARTS & HAND GRENADES,OUR DARKEST NIGHT,Eclipse,419,332,87,1,17 of 37
5,24,21,BLACK VEIL BRIDES,BLEEDERS,Spinefarm/Land Shark,397,369,28,2,26 of 37
15,23,22,HARDY,ROCKSTAR,Big Loud Rock,386,370,16,1,15 of 37
19,19,23,BLACK STONE CHERRY,WHEN THE PAIN COMES,Mascot/MLG,385,418,-33,0,20 of 37
4,34,24,IMAGES OF EDEN,HERE COMES THE SUN,Pavement,359,298,61,1,16 of 37
6,30,25,PAUL BENJAMAN BAND,MY BAD SIDE WANTS A GOOD TIME,Pasadena,359,328,31,0,16 of 37
4,31,26,TIM MONTANA,SAVAGE,Music Knox/BBR/BMG,358,316,42,2,23 of 37
11,27,27,BAD OMENS,V.A.N (FT. POPPY),Sumerian,358,335,23,1,18 of 37
13,25,28,SET IT OFF,FAKE ASS FRIENDS,Why Worry/Stem,355,353,2,0,19 of 37
2,38,29,ROYALE LYNN,DEATH WISH (FT. DANNY WORSNOP),Epitaph,345,269,76,3,22 of 37
8,21,30,SOCIETY OF VILLAINS,SMOKE AND TROUBLE,CloudKid/Pasadena,341,384,-43,0,17 of 37
11,26,31,P.O.D.,AFRAID TO DIE,Mascot/MLG,331,335,-4,0,22 of 37
19,28,32,GREEN DAY,DILEMMA,Warner,295,334,-39,0,16 of 37
4,37,33,ABOVE SNAKES,RIDE AND DIE,Independent,285,280,5,0,18 of 37
2,43,34,DOOR 13,NOW,Curtain Call,281,231,50,0,16 of 37
13,36,35,LINES OF LOYALTY,HURTS TO BE HUMAN,C3&B/CO5,280,282,-2,0,13 of 37
21,33,36,BEARTOOTH,I WAS ALIVE,Red Bull,275,301,-26,0,14 of 37
16,35,37,LINKIN PARK,FRIENDLY FIRE,Warner,271,291,-20,0,15 of 37
20,32,38,DAYSEEKER,DREAMSTATE,Spinefarm/Land Shark,261,316,-55,0,18 of 37
10,40,39,MESSER,THROW IT AWAY,Independent,260,261,-1,0,17 of 37
2,42,40,PALAYE ROYALE,DEAD TO ME,Sumerian,251,238,13,1,14 of 37
7,39,41,COLDWARDS,THE FIRE INSIDE,Wake Up! Music Rocks,250,262,-12,0,12 of 37
8,41,42,MOON FEVER,FOREVER SLEEP,Astro/Amplify,249,258,-9,0,16 of 37
2,45,43,ATRIUM,SILENT LUCIDITY,Independent,248,218,30,1,15 of 37
2,48,44,FREEMOOR,SHINE,Independent,239,210,29,0,15 of 37
