"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"16","1","1","STAIND","LOWEST IN ME","Alchemy","823","875","-52","0","30 of 38"
"16","5","2","DISTURBED","UNSTOPPABLE","Warner","754","725","29","0","28 of 38"
"21","2","3","AVENGED SEVENFOLD","NOBODY","Warner","749","762","-13","0","28 of 38"
"11","6","4","COREY TAYLOR","BEYOND","BMG","725","706","19","0","32 of 38"
"18","3","5","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","721","745","-24","0","32 of 38"
"30","7","6","AVATAR","THE DIRT I'M BURIED IN","G&G","704","706","-2","0","27 of 38"
"14","12","7","POINT NORTH","SAFE AND SOUND","Hopeless","673","612","61","0","28 of 38"
"12","4","8","THE NOCTURNAL AFFAIR","IT'S NO GOOD","Madison","669","744","-75","0","19 of 38"
"13","8","9","BUSH","ALL THINGS MUST CHANGE","BMG","650","625","25","0","33 of 38"
"11","9","10","SEVENDUST","EVERYTHING","Napalm","641","624","17","0","33 of 38"
"6","19","11","ASKING ALEXANDRIA","PSYCHO","Better Noise","590","491","99","2","28 of 38"
"12","14","12","POP EVIL","SKELETONS","MNRK/G&G","586","545","41","0","31 of 38"
"10","15","13","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","562","535","27","1","26 of 38"
"29","10","14","I PREVAIL","DEEP END","Concord","546","622","-76","0","21 of 38"
"9","21","15","SCOTT PLANTE","BURNER","Independent","527","473","54","1","17 of 38"
"8","28","16","THE HU","BLACK THUNDER","Better Noise","519","424","95","0","27 of 38"
"8","24","17","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","512","451","61","2","28 of 38"
"21","11","18","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","508","617","-109","0","26 of 38"
"15","22","19","SHALLOW SIDE","YOU'RE THE REASON","Thermal","485","455","30","0","22 of 38"
"8","23","20","SLEEP THEORY","NUMB","Epitaph","477","451","26","1","23 of 38"
"16","16","21","FOO FIGHTERS","RESCUED","RCA","466","534","-68","0","21 of 38"
"4","30","22","FALLING IN REVERSE","LAST RESORT (REIMAGINED)","Epitaph","438","363","75","3","24 of 38"
"12","29","23","PLUSH","LEFT BEHIND","Pavement","430","412","18","0","23 of 38"
"18","25","24","ATREYU","WATCH ME BURN","Spinefarm/Land Shark","404","441","-37","0","24 of 38"
"19","20","25","METALLICA","72 SEASONS","Blackened/Q Prime","403","483","-80","0","19 of 38"
"7","33","26","FOUR THIRTY FOUR","HIGH ROLLER","EMG/INgrooves","399","317","82","0","12 of 38"
"7","32","27","UNCURED","FIGHT THIS WAR","Pavement","394","342","52","1","17 of 38"
"19","13","28","MAMMOTH WVH","ANOTHER CELEBRATION AT THE END OF THE WORLD","BMG","389","588","-199","0","26 of 38"
"16","17","29","GHOST","JESUS HE KNOWS ME","Loma Vista/Concord","355","528","-173","0","25 of 38"
"7","35","30","DOPESICK","TAKE ME","Wake Up! Music Rocks","347","308","39","0","15 of 38"
"13","31","31","TOMMY VEXT","THE WAR YOU WANTED","One A/FM","318","354","-36","0","22 of 38"
"12","34","32","SET IT OFF","PUNCHING BAG","Why Worry/Stem","307","313","-6","0","21 of 38"
"5","38","33","VOXX","UNDERDOG","Independent","305","266","39","0","14 of 38"
"6","36","34","HARDY","SOLD OUT","Big Loud Rock/Big Loud","288","280","8","1","20 of 38"
"5","41","35","DARK BELOW","MAKE BELIEVE","JPS","284","242","42","3","18 of 38"
"2","42","36","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","277","241","36","0","19 of 38"
"6","37","37","SKINDRED","GIMME THAT BOOM","Earache","271","270","1","0","18 of 38"
"3","43","38","SILENT THEORY","JUST MY LUCK FT. JOSEY SCOTT","Silent Theory/OneRPM","263","214","49","3","19 of 38"
"3","44","39","TIGER KID","DRIVE","Tiger Kid/Unleashed","242","201","41","0","14 of 38"
"1","61","40","FROM ASHES TO NEW","NIGHTMARE","Better Noise","232","131","101","2","19 of 38"
"2","47","41","VENREZ","EACH AND EVERY DAY","Pavement","228","179","49","2","16 of 38"
"2","46","42","NOVA SONS","PSYCHOPATH","Emberstone & Raye","227","192","35","1","16 of 38"
"2","45","43","GRETA VAN FLEET","THE FALLING SKY","Republic","226","194","32","0","18 of 38"
"7","40","44","BLACK STONE CHERRY","NERVOUS","Mascot","225","248","-23","0","17 of 38"
"8","27","45","ATRIUM","ABOVE WATER","Curtain Call","215","431","-216","0","15 of 38"
"2","49","46","HANNAH CUTT","HAPPY IN HELL","Dark Eyes","210","168","42","1","15 of 38"
"1","55","47","THE ALMAS","CROWNS","Wake Up Music Rocks","201","150","51","2","18 of 38"
"10","39","48","SAUL","A MILLION MILES","Spinefarm/Land Shark","195","257","-62","0","20 of 38"
