"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"21","1","1","SLEEP THEORY","NUMB","Epitaph","808","798","10","0","29 of 37"
"13","2","2","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","804","766","38","1","29 of 37"
"25","3","3","POP EVIL","SKELETONS","MNRK/G&G","741","766","-25","0","29 of 37"
"14","7","4","FROM ASHES TO NEW","NIGHTMARE","Better Noise","683","631","52","0","26 of 37"
"12","6","5","DAUGHTRY","ARTIFICIAL","Big Machine","675","638","37","0","27 of 37"
"6","8","6","BLINK-182","ONE MORE TIME","Columbia","656","629","27","1","27 of 37"
"15","9","7","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","654","582","72","1","28 of 37"
"12","4","8","METALLICA","TOO FAR GONE?","Blackened/Q Prime","617","727","-110","0","29 of 37"
"7","13","9","STAIND","HERE AND NOW","Alchemy/CO5","609","566","43","0","27 of 37"
"11","12","10","MAMMOTH WVH","I'M ALRIGHT","BMG","568","568","0","0","29 of 37"
"13","5","11","FOO FIGHTERS","UNDER YOU","RCA","564","682","-118","1","27 of 37"
"10","14","12","ATRIUM","WARRIOR IN THE GARDEN","Curtain Call","558","529","29","0","16 of 37"
"7","20","13","BAD WOLVES","LEGENDS NEVER DIE","Better Noise","541","439","102","3","26 of 37"
"12","16","14","PISTOLS AT DAWN","FLY","Megaforce/Amplify","522","488","34","0","23 of 37"
"2","35","15","GREEN DAY","THE AMERICAN DREAM IS KILLING ME","Warner","502","280","222","8","28 of 37"
"8","19","16","PARKWAY DRIVE","DARKER STILL","Epitaph","490","441","49","0","24 of 37"
"7","21","17","MAGDALENE ROSE","A BAD RESIDENTIAL FT. UNDEROATH","Rockfest","482","419","63","0","16 of 37"
"19","11","18","ASKING ALEXANDRIA","PSYCHO","Better Noise","435","578","-143","0","23 of 37"
"24","10","19","SEVENDUST","EVERYTHING","Napalm","434","582","-148","0","24 of 37"
"5","25","20","MADAME MAYHEM","GET IT RIGHT","Headball","420","350","70","0","20 of 37"
"5","24","21","DARK REMEDY","POSSESSION","Von Artists LTD","402","367","35","0","16 of 37"
"7","29","22","BLACKLIST UNION","KEYS TO THE KINGDOM","BLU","391","314","77","0","15 of 37"
"2","31","23","FOZZY","SPOTLIGHT","The Orchard","388","311","77","2","25 of 37"
"8","26","24","TIM MONTANA","DEVIL YOU KNOW","BBR/BMG","379","338","41","0","20 of 37"
