"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"13","1","1","NOTHING MORE","IF IT DOESN'T HURT","Better Noise","882","871","11","0","32 of 37"
"12","5","2","GODSMACK","TRUTH","BMG","758","708","50","0","30 of 37"
"16","2","3","BEARTOOTH","I WAS ALIVE","Red Bull","744","806","-62","1","30 of 37"
"6","6","4","BILLY MORRISON & OZZY OSBOURNE","CRACK COCAINE FT. STEVE STEVENS","TLG/ZOID/Virgin","737","690","47","0","31 of 37"
"10","7","5","METALLICA","SCREAMING SUICIDE","Blackened/Q Prime","719","664","55","1","28 of 37"
"4","9","6","FIVE FINGER DEATH PUNCH","THIS IS THE WAY (FT. DMX)","Better Noise","718","638","80","1","30 of 37"
"11","8","7","SLEEP THEORY","FALLOUT","Epitaph","714","653","61","3","32 of 37"
"14","3","8","GREEN DAY","DILEMMA","Warner","708","790","-82","0","27 of 37"
"11","4","9","LINKIN PARK","FRIENDLY FIRE","Warner","650","740","-90","0","24 of 37"
"9","10","10","FROM ASHES TO NEW","BARELY BREATHING","Better Noise","607","596","11","0","27 of 37"
"10","12","11","FAME ON FIRE","NIGHTMARE (THE DEVIL)","Hopeless","587","583","4","0","25 of 37"
"7","16","12","FEAR OF WATER","SYSTEMIC FT. AARON NORDSTROM","FoW/Pasadena","574","507","67","0","21 of 37"
"22","15","13","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","553","521","32","0","24 of 37"
"22","19","14","DES ROCS","I AM THE LIGHTNING","Sumerian","525","466","59","0","22 of 37"
"8","23","15","THE GHOST INSIDE","WASH IT AWAY","Epitaph","466","434","32","0","25 of 37"
"9","13","16","ROGUE ROYAL","NOVOCAINE","SunRaye","466","544","-78","0","17 of 37"
"10","21","17","THE WARNING","S!CK","Lava/Republic","463","449","14","0","23 of 37"
"7","24","18","BLACKLITE DISTRICT","I TRY TODAY","AK19","461","385","76","0","17 of 37"
"6","22","19","DAUGHTRY","PIECES","Big Machine","449","447","2","0","27 of 37"
"14","18","20","BLACK STONE CHERRY","WHEN THE PAIN COMES","Mascot/MLG","441","469","-28","1","24 of 37"
"6","25","21","KUARANTINE","GOOD GIRL GONE BAD","Madison/The Orchard","413","369","44","0","17 of 37"
"1","52","22","MOTLEY CRUE","DOGS OF WAR","Big Machine","393","172","221","7","22 of 37"
"17","17","23","FOO FIGHTERS","THE GLASS","RCA","391","487","-96","0","22 of 37"
"5","28","24","LIGHTWORKER","EVERGREEN","Solid State","387","328","59","1","20 of 37"
"3","30","25","SOCIETY OF VILLAINS","SMOKE AND TROUBLE","CloudKid/Pasadena","361","314","47","0","19 of 37"
"15","27","26","DAYSEEKER","DREAMSTATE","Spinefarm/Land Shark","358","349","9","1","19 of 37"
"10","11","27","ETCHED IN EMBERS","HAPPY SONG","Independent","355","592","-237","0","21 of 37"
"5","29","28","WAGE WAR","MAGNETIC","Fearless/Concord","348","320","28","1","22 of 37"
"10","26","29","HARDY","ROCKSTAR","Big Loud Rock","342","357","-15","1","14 of 37"
"8","31","30","SET IT OFF","FAKE ASS FRIENDS","Why Worry/Stem","332","303","29","1","20 of 37"
"4","34","31","CHAINS OVER RAZORS","GOODBYE TO SOVEREIGNTY","Deko","329","276","53","1","17 of 37"
"3","35","32","A KILLER'S CONFESSION","GREED","MNRK Heavy","319","268","51","1","19 of 37"
"12","20","33","PEARL JAM","DARK MATTER","Repbulic","318","455","-137","0","18 of 37"
"6","36","34","BAD OMENS","V.A.N (FT. POPPY)","Sumerian","307","263","44","3","15 of 37"
"16","14","35","ASKING ALEXANDRIA","DARK VOID","Better Noise","297","544","-247","0","22 of 37"
"16","33","36","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","296","291","5","0","16 of 37"
"6","32","37","P.O.D.","AFRAID TO DIE","Mascot/MLG","294","291","3","0","21 of 37"
"2","43","38","SWIM THE CURRENT","SO LOW","TLG/ZOID/Virgin","283","219","64","2","17 of 37"
"2","46","39","ONCE AROUND","LOVE AND WAR","Independent","270","205","65","2","16 of 37"
"8","38","40","LINES OF LOYALTY","HURTS TO BE HUMAN","C3&B/CO5","259","246","13","0","13 of 37"
"2","48","41","HANNAH CUTT","DIRTY ENOUGH FOR HARDCORE","Dark Eyes","250","191","59","3","18 of 37"
"3","39","42","IN THEORY","WORLD'S ON FIRE","The Orchard/New Ocean","246","244","2","0","10 of 37"
"5","37","43","MESSER","THROW IT AWAY","Independent","246","247","-1","0","17 of 37"
"8","40","44","THE PLOT IN YOU","CLOSURE","Concord","235","238","-3","0","18 of 37"
"3","45","45","MOON FEVER","FOREVER SLEEP","Astro/Amplify","233","208","25","1","17 of 37"
"3","41","46","KEITH WALLEN","HEADSPACE HOLIDAY","BMG","230","230","0","0","17 of 37"
"1","59","47","PEARL JAM","WRECKAGE","Republic","221","144","77","8","17 of 37"
"2","44","48","COLDWARDS","THE FIRE INSIDE","Wake Up Music Rocks!","214","209","5","2","12 of 37"
