"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"12","3","1","STAIND","LOWEST IN ME","Alchemy","904","835","69","0","30 of 38"
"17","1","2","AVENGED SEVENFOLD","NOBODY","Warner","872","961","-89","0","34 of 38"
"15","2","3","MAMMOTH WVH","ANOTHER CELEBRATION AT THE END OF THE WORLD","BMG","796","865","-69","0","34 of 38"
"12","4","4","FOO FIGHTERS","RESCUED","RCA","728","776","-48","0","27 of 38"
"15","5","5","METALLICA","72 SEASONS","Blackened/Q Prime","716","746","-30","0","28 of 38"
"17","6","6","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","713","710","3","0","26 of 38"
"12","8","7","DISTURBED","UNSTOPPABLE","Warner","708","685","23","1","30 of 38"
"26","10","8","AVATAR","THE DIRT I'M BURIED IN","G&G","698","672","26","0","27 of 38"
"14","11","9","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","653","578","75","1","30 of 38"
"25","9","10","I PREVAIL","DEEP END","Concord","588","675","-87","0","28 of 38"
"7","13","11","COREY TAYLOR","BEYOND","BMG","557","554","3","1","31 of 38"
"15","7","12","FROM ASHES TO NEW","HATE ME TOO","Better Noise","550","691","-141","0","30 of 38"
"10","14","13","POINT NORTH","SAFE AND SOUND","Hopeless","540","513","27","0","28 of 38"
"12","12","14","GHOST","JESUS HE KNOWS ME","Loma Vista/Concord","538","555","-17","0","29 of 38"
"8","21","15","CHAINS OVER RAZORS","BROKEN HOME","Deko","530","433","97","0","18 of 38"
"14","15","16","ATREYU","WATCH ME BURN","Spinefarm/Land Shark","520","502","18","0","26 of 38"
"7","18","17","SEVENDUST","EVERYTHING","Napalm","513","484","29","2","32 of 38"
"9","17","18","BUSH","ALL THINGS MUST CHANGE","BMG","506","491","15","0","31 of 38"
"8","19","19","THE NOCTURNAL AFFAIR","IT'S NO GOOD","Madison","499","454","45","0","19 of 38"
"8","22","20","POP EVIL","SKELETONS","MNRK/G&G","487","421","66","2","29 of 38"
"7","20","21","BLACKLIST UNION","LETTERS FROM THE PSYCH WARD","BLU","473","445","28","0","16 of 38"
"11","24","22","SHALLOW SIDE","YOU'RE THE REASON","Thermal","432","372","60","2","21 of 38"
"5","23","23","SCOTT PLANTE","BURNER","Independent","414","388","26","0","16 of 38"
"12","16","24","GRETA VAN FLEET","MEETING THE MASTER","Republic","399","502","-103","0","25 of 38"
"6","25","25","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","395","371","24","1","22 of 38"
"8","27","26","PLUSH","LEFT BEHIND","Pavement","368","359","9","0","23 of 38"
"4","33","27","WRITTEN BY WOLVES","MISERY","Independent/Land Shark","357","299","58","0","20 of 38"
"9","28","28","TOMMY VEXT","THE WAR YOU WANTED","One A/FM","350","334","16","1","23 of 38"
"4","32","29","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","349","304","45","0","23 of 38"
"4","39","30","SLEEP THEORY","NUMB","Epitaph","327","260","67","1","20 of 38"
"4","37","31","EMPIIRES","WRAPPED AROUND YOUR FINGER","TLG/INgrooves","321","268","53","0","16 of 38"
"22","26","32","LINKIN PARK","LOST","Warner","319","369","-50","0","14 of 38"
"8","34","33","SET IT OFF","PUNCHING BAG","Why Worry/Stem","304","298","6","1","20 of 38"
"4","36","34","ATRIUM","ABOVE WATER","Curtain Call","303","269","34","0","16 of 38"
"23","31","35","SKILLET","PSYCHO IN MY HEAD","Atlantic","288","307","-19","0","18 of 38"
"12","29","36","SMASHING PUMPKINS","EMPIRES","Martha's Music/Thirty Tigers","288","319","-31","0","23 of 38"
"3","40","37","FOUR THIRTY FOUR","HIGH ROLLER","EMG/INgrooves","270","241","29","0","13 of 38"
"6","38","38","SAUL","A MILLION MILES","Spinefarm/Land Shark","263","263","0","1","21 of 38"
"3","42","39","UNCURED","FIGHT THIS WAR","Pavement","260","229","31","0","15 of 38"
"4","41","40","THE HU","BLACK THUNDER","Better Noise","258","232","26","1","19 of 38"
"2","46","41","ASKING ALEXANDRIA","PSYCHO","Better Noise","257","200","57","2","20 of 38"
"3","43","42","DOPESICK","TAKE ME","Wake Up! Music Rocks","255","227","28","0","15 of 38"
"3","47","43","BLACK STONE CHERRY","NERVOUS","Mascot","232","197","35","0","16 of 38"
"2","49","44","HARDY","SOLD OUT","Big Loud Rock/Big Loud","224","171","53","2","17 of 38"
"2","48","45","SKINDRED","GIMME THAT BOOM","Earache","215","181","34","2","17 of 38"
"19","35","46","GODSMACK","SOUL ON FIRE","BMG","214","274","-60","0","15 of 38"
"1","52","47","VOXX","UNDERDOG","Independent","210","157","53","1","14 of 38"
"5","44","48","FINGER ELEVEN","TOGETHER RIGHT","Craft/Concord","193","217","-24","0","13 of 38"
"1","56","49","DARK BELOW","MAKE BELIEVE","JPS","187","148","39","1","16 of 38"
"1","55","50","THE WARNING","MORE","Republic","158","151","7","1","9 of 38"
"-","81","51","TIGER KID","DRIVE","Tiger Kid/Unleashed","153","74","79","4","15 of 38"
"-","51","52","BLACK HEART SAINTS","HUMAN XSTACY","Cleoptra/CO5","149","162","-13","0","11 of 38"
"17","30","53","OTHERWISE","FULL DISCLOSURE","Mascot","144","309","-165","0","17 of 38"
"10","65","54","FIT FOR A KING","REACHING OUT","Solid State","136","118","18","0","5 of 38"
"-","57","55","DES ROCS","NEVER ENDING MOMENT","Sumerian","136","146","-10","1","11 of 38"
"-","63","56","THE WORD ALIVE","NEW REALITY","Thriller","132","125","7","0","5 of 38"
"2","61","57","ANY GIVEN SIN","CALM BEFORE THE STORM","Mascot","128","135","-7","0","10 of 38"
"19","62","58","PAPA ROACH","CUT THE LINE","New Noize/ADA","113","131","-18","0","9 of 38"
"22","45","59","SAINT ASONIA","DEVASTATE","Spinefarm","110","203","-93","0","15 of 38"
"-","132","60","FALLING IN REVERSE","LAST RESORT (REIMAGINED)","Epitaph","107","25","82","10","15 of 38"
"-","75","61","MEMPHIS MAY FIRE","MISERY","RISE/BMG/Land Shark","105","86","19","2","12 of 38"
"-","97","62","FEVER 333","SWING","Century Media/Sony/The Orchard","103","49","54","4","11 of 38"
"6","69","63","DEFIANT","IGNITE THE SKY","Curtain Call","102","102","0","0","3 of 38"
"9","66","64","THE DEVIL WEARS PRADA","SALT","Solid State","102","113","-11","0","6 of 38"
"-","-","65","SILENT THEORY","JUST MY LUCK FT. JOSEY SCOTT","Silent Theory/OneRPM","92","0","92","16","15 of 38"
"12","59","66","CITIZEN SOLDIER & ROYAL BLISS","THROUGH HELL","Citizen Soldier/Air Castle","91","141","-50","0","7 of 38"
"-","82","67","BRING ME THE HORIZON","LOST","Columbia","90","74","16","0","6 of 38"
"-","87","68","ONCE AROUND","SPITFIRE","Independent","88","66","22","0","3 of 38"
"-","68","69","NICKELBACK","THOSE DAYS","BMG","88","106","-18","0","7 of 38"
"-","71","70","CAIRO KNIFE FIGHT","CHURN","CKF Records","85","90","-5","0","7 of 38"
"7","70","71","FRAMING HANLEY","START A FIRE","Thermal","85","92","-7","0","4 of 38"
"21","58","72","SHINEDOWN","DEAD DON'T DIE","Atlantic","85","146","-61","0","11 of 38"
"-","-","73","DARK REMEDY","NOW OR NEVER","Von Artists LTD","83","0","83","14","13 of 38"
"5","72","74","SAVING ABEL","BAPTIZE ME","Skiddco/Random EQ","82","89","-7","0","6 of 38"
"-","84","75","FILTER","FACE DOWN","Golden Robot","80","70","10","0","7 of 38"
"-","-","76","VENREZ","EACH AND EVERY DAY","Pavement","79","0","79","14","13 of 38"
"-","78","77","CALEB HYLES","DARKNESS BEFORE THE DAWN (FT. LACEY STURM)","Judge & Jury/Land Shark","79","80","-1","0","7 of 38"
