"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"23","1","1","FALLING IN REVERSE","VOICES IN MY HEAD","Epitaph","984","989","-5","1","32 of 43"
"6","2","2","GODSMACK","SURRENDER","BMG","917","871","46","2","36 of 43"
"15","4","3","BUSH","MORE THAN MACHINES","BMG","858","808","50","0","31 of 43"
"9","3","4","NICKELBACK","SAN QUENTIN","BMG","853","816","37","1","34 of 43"
"8","7","5","OZZY OSBOURNE","ONE OF THOSE DAYS","Epic","812","718","94","3","36 of 43"
"12","8","6","STARSET & BREAKING BENJAMIN","WAITING ON THE SKY TO CHANGE","Judge & Jury/The Orchard","745","715","30","1","34 of 43"
"12","6","7","RED HOT CHILI PEPPERS","TIPPA MY TONGUE","Warner","734","723","11","1","32 of 43"
"15","5","8","I PREVAIL","BAD THINGS","Fearless/Concord","732","750","-18","0","29 of 43"
"15","10","9","GHOST","SPILLWAYS","Loma Vista/Concord","729","670","59","0","33 of 43"
"14","12","10","FAME ON FIRE","WELCOME TO THE CHAOS","Hopeless","661","605","56","0","29 of 43"
"18","9","11","DISTURBED","HEY YOU","Warner","653","713","-60","0","27 of 43"
"3","16","12","BLINK-182","EDGING","Columbia","637","525","112","2","28 of 43"
"6","15","13","SHALLOW SIDE","THE WORST KIND","Thermal","630","539","91","0","19 of 43"
"8","19","14","PISTOLS AT DAWN","THE TRUTH","CO5/Megaforce","566","495","71","3","24 of 43"
"5","20","15","SMASHING PUMPKINS","BEGUILED","Martha's Music/Thirty Tigers","563","493","70","4","33 of 43"
"7","17","16","BLACKLITE DISTRICT","BACK INTO DARKNESS","AK19","556","519","37","0","17 of 43"
"5","26","17","EMPIIRES","INVINCIBLE","TLG/INgrooves","545","453","92","0","18 of 43"
"19","13","18","HIGHLY SUSPECT","NATURAL BORN KILLER","Elektra/300","543","594","-51","0","24 of 43"
"3","28","19","POP EVIL","PARANOID (CRASH & BURN)","Pop Evil/MNRK HEAVY/G&G","513","425","88","2","29 of 43"
"4","24","20","SKID ROW","TIME BOMB","earMUSIC/Land Shark","513","483","30","0","18 of 43"
"10","23","21","AYRON JONES","FILTHY","Big Machine/John Varvatos","508","490","18","2","32 of 43"
"7","21","22","ARCHITECTS","TEAR GAS","Epitaph","507","492","15","0","29 of 43"
"7","27","23","THREE DAYS GRACE","I AM THE WEAPON","RCA","489","432","57","4","32 of 43"
"4","29","24","EMBERS RISE","ISOLATED","New Ocean","465","425","40","1","16 of 43"
"17","25","25","BEARTOOTH","RIPTIDE","Red Bull","446","456","-10","0","24 of 43"
"10","32","26","VOLBEAT","BECOMING","Republic","440","400","40","2","26 of 43"
"12","30","27","ROYAL BLISS","BLACK RHINO","Kartel/Air Castle","429","416","13","0","25 of 43"
"10","31","28","THE RETALIATORS","THE RETALIATORS THEME (21 BULLETS)","Better Noise","414","409","5","2","27 of 43"
"11","33","29","BAD OMENS","JUST PRETEND","Sumerian","413","364","49","1","24 of 43"
"16","18","30","FIVE FINGER DEATH PUNCH","TIMES LIKE THESE","Better Noise","382","506","-124","0","23 of 43"
"2","43","31","NOTHING MORE","YOU DON'T KNOW WHAT LOVE MEANS","Better Noise","370","251","119","7","24 of 43"
"3","46","32","THEORY OF A DEADMAN","DINOSAUR","Roadrunner/3EE","363","246","117","6","22 of 43"
"3","39","33","ANOVA SKYWAY","SPARK","Independent","358","294","64","1","17 of 43"
"4","38","34","MESSER","UNBREAKABLE (UNFVKWITABLE)","Curtain Call","340","299","41","0","22 of 43"
"10","37","35","OF VIRTUE","COLD BLOODED","Arising Empire/FM","332","303","29","1","19 of 43"
"6","36","36","BLACK VEIL BRIDES","SAVIOUR II","Sumerian","328","304","24","1","20 of 43"
"17","34","37","HALESTORM","WICKED WAYS","Atlantic","318","361","-43","0","24 of 43"
"7","41","38","NONPOINT","PAPER TIGERS","361 Degrees/FM","272","273","-1","0","19 of 43"
"17","40","39","BRING ME THE HORIZON","STRANGERS","Columbia","263","290","-27","0","17 of 43"
"12","35","40","SLIPKNOT","YEN","Roadrunner/3EE","263","326","-63","0","20 of 43"
"11","42","41","DOROTHY","BLACK SHEEP","Rock Nation/CO5","261","259","2","0","20 of 43"
"1","51","42","CROBOT","GOLDEN","Mascot","253","188","65","3","19 of 43"
"28","22","43","MOTIONLESS IN WHITE","MASTERPIECE","Roadrunner/EMG","253","492","-239","0","21 of 43"
"2","50","44","VERSUS ME","TERRIFIED","FM","249","215","34","2","18 of 43"
"13","47","45","ALTER BRIDGE","SILVER TONGUE","Napalm","247","242","5","0","17 of 43"
"1","59","46","FIVE FINGER DEATH PUNCH","WELCOME TO THE CIRCUS","Better Noise","244","123","121","8","21 of 43"
"4","49","47","AWAKE AT LAST","THE OTHER SIDE","Wake Up! Music Rocks/FM Music","242","228","14","0","16 of 43"
"1","53","48","BLACK OXYGEN","LACEYVILLE","Curtain Call","223","185","38","0","16 of 43"
"5","44","49","MUSE","WILL OF THE PEOPLE","Warner/Q Prime","222","249","-27","0","19 of 43"
"1","58","50","FOR THE FALLEN DREAMS","NO HEAVEN","Arising Empire","221","133","88","2","18 of 43"
"-","62","51","SEVVVEN","COLD","Wake Up! Music Rocks","206","115","91","1","16 of 43"
"-","54","52","DARK SUN","LOOK AROUND","Emberstone & Raye","201","149","52","1","14 of 43"
"-","57","53","GIOVANNIE AND THE HIRED GUNS","OVERRATED","Warner","180","138","42","2","16 of 43"
"22","45","54","PAPA ROACH","NO APOLOGIES","New Noize/ADA","167","247","-80","0","18 of 43"
"-","65","55","HARDY","JACK","Big Loud Rock","162","110","52","3","14 of 43"
"-","55","56","OVTLIER","LIVING DEAD","Land Shark","157","141","16","0","8 of 43"
"-","76","57","TURNSTILE","HOLIDAY","Roadrunner/3EE","152","83","69","3","11 of 43"
"-","67","58","AVATAR","DANCE DEVIL DANCE","Thirty Tigers/Black Waltz/G&G","150","106","44","3","14 of 43"
"-","64","59","RIVAL SONS","NOBODY WANTS TO DIE","Atlantic","150","114","36","2","14 of 43"
"-","63","60","SONS ON FIRE","RISE","Curtain Call","143","114","29","0","11 of 43"
"-","56","61","BRKN LOVE","UNDER THE KNIFE","Spinefarm","140","139","1","1","13 of 43"
"-","68","62","THE STRUTS","FALLIN' WITH ME","Big Machine/John Varvatos","137","106","31","0","8 of 43"
"8","11","63","SEVENTH DAY SLUMBER","HALOS","Rockfest","137","617","-480","0","18 of 43"
"-","-","64","ANGELES","BAND PLAYS ON","Dark Star/New Ocean","119","0","119","17","15 of 43"
"-","69","65","NEW YEARS DAY","HURTS LIKE HELL","Sony/The Orchard","115","99","16","1","9 of 43"
"-","72","66","FIT FOR A KING","FALLING THROUGH THE SKY","Solid State/Land Shark","112","92","20","2","11 of 43"
"-","61","67","SILENT THEORY","SO FAR, SO GOOD","One RPM/Land Shark","111","116","-5","0","10 of 43"
"-","66","68","SLEEPING WITH SIRENS","COMPLETE COLLAPSE","Sumerian","110","110","0","2","12 of 43"
"-","92","69","PIERCE THE VEIL","PASS THE NIRVANA","Fearless/Concord","101","51","50","4","9 of 43"
"-","-","70","DISTURBED","BAD MAN","Warner","99","0","99","14","13 of 43"
"13","52","71","COLDWARDS","WHIRLWIND","Wake Up! Music Rocks/FM","94","187","-93","0","10 of 43"
"-","82","72","DAYSEEKER","WITHOUT ME","Land Shark","92","65","27","3","8 of 43"
"-","77","73","QUEEN","FACE IT ALONE","Hollywood","91","80","11","0","4 of 43"
"7","14","74","THE DEVIL WEARS PRADA","BROKEN","Solid State","90","591","-501","0","21 of 43"
"-","74","75","EDGAR WINTER","GUESS I'LL GO AWAY (FT. TAYLOR HAWKINS)","Quarto Valley/Land Shark","89","88","1","0","4 of 43"
"13","48","76","TRANSIENT","SOW","Wake Up! Music Rocks/FM","88","242","-154","0","15 of 43"
"-","71","77","DEAD DAISIES","FACE YOUR FEARS","The Dead Daisies Pty","87","94","-7","0","7 of 43"
"6","60","78","BULLET FOR MY VALENTINE","NO MORE TEARS TO CRY","Spinefarm","85","118","-33","0","9 of 43"
"3","70","79","MEGADETH","SOLDIER ON!","UMe","76","99","-23","0","6 of 43"
"-","83","80","THUNDERMOTHER","WATCH OUT","AFM","74","64","10","0","5 of 43"
"-","79","81","TUK SMITH & THE RESTLESS HEARTS","BALLAD OF A MISSPENT YOUTH","Independent","70","70","0","0","4 of 43"
"-","81","82","THE ANSWER","BLOOD BROTHER","Golden Robot","69","69","0","0","5 of 43"
"-","99","83","CAPITAL THEATRE","FAIT ACCOMPLI","Reslau","66","38","28","2","5 of 43"
"20","75","84","EVA UNDER FIRE","BLOW","Better Noise","66","88","-22","0","6 of 43"
"-","84","85","BILLY IDOL","CAGE","BMG","59","61","-2","0","4 of 43"
"2","85","86","LINES OF LOYALTY","WINLESS WAR","C3&B/CO5","56","60","-4","0","2 of 43"
"-","96","87","10 YEARS","THE OPTIMIST","Mascot","55","39","16","0","1 of 43"
"-","90","88","CHASE ENGEL & THE NIGHT SHIFT","HYDE","J Street/New Ocean","55","55","0","0","3 of 43"
"-","87","89","THE LONELY ONES","BEDROOM DOOR","O'Donnell Media Group","54","57","-3","0","6 of 43"
"-","93","90","BULL Y LOS BUFALOS","DINERO PRIMERO","Paramour","53","50","3","0","5 of 43"
"-","91","91","DON'T PANIC","CONQUER DIVIDE","Auspicious/New Ocean","51","55","-4","0","3 of 43"
"15","78","92","ASKING ALEXANDRIA","FADED OUT (FEAT. WITHIN TEMPTATION)","Better Noise","51","70","-19","0","4 of 43"
"-","94","93","QUOR","TWIDDLE IN THE MIDDLE","Independent","46","47","-1","0","2 of 43"
"-","-","94","DISCREPANCIES","HANDS UP","InVogue","45","0","45","6","5 of 43"
"-","109","95","KOE WETZEL","CREEPS","YellaBush/Columbia","45","29","16","1","4 of 43"
"18","88","96","SALIVA","CROWS","Megaforce/FM","45","57","-12","0","3 of 43"
"-","107","97","JARED JAMES NICHOLS","DOWN THE DRAIN","Black Hill/CO5","43","31","12","0","4 of 43"
"-","95","98","KATATONIA","ATRIUM","Napalm","41","41","0","0","3 of 43"
"-","114","99","UGLY KID JOE","FAILURE","Metalville/New Ocean","40","25","15","0","2 of 43"
"-","119","100","TIGERCUB","THE PERFUME OF DECAY","Loosegroove/The Orchard","39","22","17","2","5 of 43"
"9","86","101","A DAY TO REMEMBER","MIRACLE","Fueled By Ramen/EMG","39","58","-19","0","5 of 43"
"-","100","102","POINT NORTH","RECOVER","Hopeless","35","36","-1","0","3 of 43"
"2","80","103","DEFIANT","VIVA LA REVOLUTION","Curtain Call","35","70","-35","0","2 of 43"
"6","73","104","ANYTHING BUT HUMAN","ELEANOR RIGBY","Curtain Call","35","92","-57","0","5 of 43"
"16","104","105","KORN","WORST IS ON ITS WAY","Loma Vista/Concord","33","33","0","0","3 of 43"
"-","116","106","F.I.L.T.H.","GET UP 2.0","Independent","32","24","8","1","4 of 43"
"-","106","107","OUT OF DARKNESS","I SURRENDER","Independent","32","32","0","0","1 of 43"
"2","105","108","CLASSLESS ACT FT. VINCE NEIL","CLASSLESS ACT","Better Noise","31","33","-2","0","4 of 43"
"5","89","109","WAGE WAR","GODSPEED","Fearless/Concord","30","56","-26","0","5 of 43"
"-","110","110","WEEZER","RECORDS","Crush","28","28","0","0","2 of 43"
"-","113","111","METALLICA","MASTER OF PUPPETS","Blackened/Q Prime","25","25","0","0","2 of 43"
"-","103","112","NO RESOLVE","COME BACK STRONGER","Noise Machine/Mindful Music","25","33","-8","0","3 of 43"
"-","112","113","RAIN CITY DRIVE","BLOOD RUNS COLD","Thriller/ADA","24","26","-2","0","2 of 43"
"-","146","114","WHO ON EARTH","BLACK SWAN","Independent","23","15","8","1","2 of 43"
"-","128","115","THE NEW DEATH CULT","ANTIDOTE","Independent","22","21","1","0","1 of 43"
"-","120","116","ABOVE SNAKES","DOWN","Random EQ","22","22","0","0","3 of 43"
"7","123","117","ETCHED IN EMBERS","FEAR","Independent","22","22","0","0","1 of 43"
"-","125","118","AUGUST BURNS RED","ANCESTRY (FT. JESSE LEACH)","SharpTone","21","21","0","0","1 of 43"
"-","126","119","EMPTY TRAIL","WORLD SPLIT IN TWO","Independent","21","21","0","0","1 of 43"
"-","121","120","ROB ZOMBIE","SHAKE YOUR ASS - SMOKE YOUR GRASS","Nuclear Blast/Land Shark","21","22","-1","0","1 of 43"
"-","-","121","IGGY POP","FRENZY","Atlantic","20","0","20","3","3 of 43"
"-","127","122","STORY OF THE YEAR","TEAR ME TO PIECES","Independent","20","21","-1","0","2 of 43"
"7","122","123","WITHIN TEMPTATION","DON'T PRAY FOR ME","Force Music","20","22","-2","0","1 of 43"
"-","129","124","KIND VILLAIN","BULLETPROOF","Panacea","19","20","-1","0","2 of 43"
"-","184","125","SIMPLE MINDS","VISION THING","BMG","18","0","18","0","1 of 43"
"-","133","126","CROWN LANDS","SPIT IT OUT","Universal","18","18","0","0","1 of 43"
"-","-","127","MANESKIN","THE LONLIEST","Arista","17","0","17","1","1 of 43"
"-","138","128","MACHINE HEAD","UNHALLOWED","Nuclear Blast/Land Shark","17","17","0","0","2 of 43"
"-","132","129","HEARTS & HAND GRENADES","HUMAN","Eclipse","17","18","-1","0","2 of 43"
"14","149","130","FOR THE FALLEN DREAMS","WHAT IF","Arising Empire","15","14","1","0","5 of 43"
"-","142","131","GWAR","THE CUTTER","Pit","15","15","0","0","1 of 43"
"-","143","132","PULSE","THE WAVE BETWEEN TWO","Dark Star/New Ocean","15","15","0","0","1 of 43"
"-","139","133","HONG FAUX","DROP THE REIGNS","Independent","15","16","-1","0","1 of 43"
"-","141","134","LIGHT THE TORCH","BECOME THE MARTYR","Nuclear Blast/Land Shark","15","16","-1","0","1 of 43"
"-","101","135","JERRY CANTRELL","HAD TO KNOW","Velvet Hammer","15","35","-20","0","2 of 43"
"-","147","136","JOE SATRIANI","THE ELEPHANTS OF MARS","earMUSIC/Land Shark","14","15","-1","0","1 of 43"
"-","140","137","QUEENSRYCHE","HOLD ON","Century Media","14","16","-2","0","1 of 43"
"-","150","138","WOYOTE","SHINE","Independent","13","13","0","0","1 of 43"
"5","111","139","PSYCHO SYNNER","DEMONDELIC (FT. DAVE WYNDORF)","6ex","13","28","-15","0","4 of 43"
"-","102","140","ARANDA","PAY FOR (THE UNDERDOG)","Aranda/The Fuel","13","33","-20","0","1 of 43"
"-","-","141","PARDON THE SCARS","PURGE","Independent","12","0","12","1","1 of 43"
"-","151","142","BURDEN OF THE SKY","THE FLOOD","Imagen Records","12","12","0","0","3 of 43"
"16","97","143","PARKWAY DRIVE","GLITCH","Epitaph","12","39","-27","0","3 of 43"
"-","153","144","BOSTON MANOR","PASSENGER","SharpTone","10","10","0","0","1 of 43"
"-","154","145","COLD KINGDOM","FINALLY","Independent","10","10","0","0","1 of 43"
"-","155","146","THE BLUE STONES","DON'T MISS","MNRK","10","10","0","0","1 of 43"
"-","152","147","STORY OF THE YEAR","REAL LIFE","SharpTone","9","10","-1","0","1 of 43"
"-","159","148","BRUCE SPRINGSTEEN","DO I LOVE YOU (INDEED I DO)","Columbia","8","8","0","0","1 of 43"
"-","160","149","GA-20","FAIRWETHER FRIEND","Independent","8","8","0","0","1 of 43"
"-","161","150","JONATHAN TYLER","MOVIN' ON","Independent","8","8","0","0","1 of 43"
"-","158","151","SAMMY HAGAR & THE CIRCLE","FATHER TIME","UMe","8","8","0","0","1 of 43"
"-","162","152","STEVIE NICKS","FOR WHAT IT'S WORTH","Rhino","8","8","0","0","1 of 43"
"-","157","153","DANNY ATTACK","SOUTHERN COMFORTS","Independent","8","9","-1","0","1 of 43"
"-","137","154","BARNS COURTNEY","SUPERNATURAL","Elektra/3EE","8","17","-9","0","1 of 43"
"-","183","155","LIMBS","SLOW BURN","Independent","7","2","5","0","1 of 43"
"-","163","156","BOBAFLEX","I'LL BLOW YOUR DREAMS INTO THE SKY","Independent","7","7","0","0","1 of 43"
"-","164","157","KULA SHAKER","WHATEVER IT IS (I'M AGAINST IT)","Independent","7","7","0","0","1 of 43"
"-","165","158","STONE HORSES","WHEN I GET PAID","Independent","7","7","0","0","1 of 43"
"7","117","159","SORAIA","I SEEK FIRE","Wicked Cool/Land Shark","7","23","-16","0","2 of 43"
"-","115","160","LILITH CZAR","100 LITTLE DEATHS","Sumerian","7","25","-18","0","3 of 43"
"16","98","161","ICE NINE KILLS","THE SHOWER SCENE","Fearless/Concord","7","38","-31","0","3 of 43"
"-","168","162","BLACK KEYS","IT AIN'T OVER","Nonesuch/Warner","6","6","0","0","1 of 43"
"-","169","163","DELBERT MCCLINTON","AIN'T THAT LOVIN' YOU","Hot Shot/Thirty Tigers","6","6","0","0","1 of 43"
"-","170","164","DROPKICK MURPHYS","TWO 6'S UPSIDE DOWN","PIAS","6","6","0","0","1 of 43"
"-","171","165","GEORGIA THUNDERBIRDS","LOOKING FOR AN OLD FRIEND","Independent","6","6","0","0","1 of 43"
"-","172","166","MIKE CAMPBELL & THE DIRTY","WICKED MIND","BMG","6","6","0","0","1 of 43"
"-","181","167","RED CALLING","FIGHT OR RUN","Independent","5","4","1","0","1 of 43"
"-","178","168","AUDIO REIGN","SHINING LIGHT","Audio Reign/New Ocean","5","5","0","0","1 of 43"
"-","179","169","DEEPFALL","REVOLUTION","CO5 Music","5","5","0","0","1 of 43"
"-","173","170","DEVIN TOWNSEND","CALL OF THE VOID","Inside Out/New Ocean","5","5","0","0","1 of 43"
"-","174","171","EMPTY TRAIL","I DON'T WANT THE TRUTH","Independent","5","5","0","0","1 of 43"
"-","175","172","LIVING WRECKAGE","OUT OF TIME","M-Theory","5","5","0","0","1 of 43"
"-","176","173","LOLA VAIN","I'M ALIVE","Independent","5","5","0","0","1 of 43"
"-","180","174","MOTIONLESS IN WHITE","WEREWOLF","Roadrunner/EMG","5","5","0","0","1 of 43"
"-","177","175","ORIANTHI","WITCHES & THE DEVIL","Frontiers","4","5","-1","0","1 of 43"
"-","-","176","BOY HITS CAR","INJUSTICE FATIGUE","Dark Star/New Ocean","3","0","3","1","1 of 43"
"5","182","177","KINGDOM COLLAPSE","BREAK FREE","Kingdom Collapse/The Fuel","3","3","0","0","1 of 43"
"-","167","178","THE NOCTURNAL AFFAIR","BACKBITER","Earache","0","6","-6","0","1 of 43"
"5","166","179","TATTOO THE SCARS","CULTURE OF FEAR","TLG/INgrooves","0","7","-7","0","3 of 43"
"-","156","180","JANE N' THE JUNGLE","DIRTY DOG","Angel Rock","0","10","-10","0","1 of 43"
"-","148","181","GWAR","RATCATCHER","Pit Records/In De Goot","0","15","-15","0","1 of 43"
"7","144","182","THE SIGHT OF IMPACT","WHAT CAN YOU SAY","Independent","0","15","-15","0","1 of 43"
"6","145","183","VOODOO MOONSHINE","GIVE IT TO ME","Dark Star","0","15","-15","0","1 of 43"
"7","136","184","ASHES OF SOMA","ADDICTED TO THE DRUG","Independent/Land Shark","0","18","-18","0","1 of 43"
"-","134","185","JOHN MELLENCAMP","CAROLINA SHAG","Republic","0","18","-18","0","1 of 43"
"7","135","186","SCARLETT O'HARA","WITCHING HOUR","Independent/Land Shark","0","18","-18","0","1 of 43"
"7","131","187","GEARS","GOOD ENOUGH","Gears Industries/Land Shark","0","19","-19","0","1 of 43"
"-","130","188","SAMMY HAGAR & THE CIRCLE","CRAZY TIMES","UMe","0","20","-20","0","1 of 43"
"2","124","189","HOLLYWOOD UNDEAD","CITY OF THE DEAD","BMG","0","22","-22","0","2 of 43"
"7","118","190","EDGE OF PARADISE","GO HIGHER","Frontiers/FM","0","23","-23","0","2 of 43"
"7","108","191","WORLDWIDE PANIC","FALLING APART","Independent","0","30","-30","0","2 of 43"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
