"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"13","1","1","BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS","CRACK COCAINE","TLG/ZOID/Virgin","1089","1086","3","0","33 of 37"
"18","3","2","SLEEP THEORY","FALLOUT","Epitaph","927","899","28","0","32 of 37"
"20","2","3","NOTHING MORE","IF IT DOESN'T HURT","Better Noise","846","916","-70","0","31 of 37"
"16","5","4","FROM ASHES TO NEW","BARELY BREATHING","Better Noise","779","779","0","0","28 of 37"
"17","6","5","FAME ON FIRE","NIGHTMARE (THE DEVIL)","Hopeless","742","749","-7","0","28 of 37"
"11","4","6","FIVE FINGER DEATH PUNCH","THIS IS THE WAY (FT. DMX)","Better Noise","719","832","-113","0","29 of 37"
"13","7","7","DAUGHTRY","PIECES","Big Machine","650","610","40","0","29 of 37"
"8","9","8","PEARL JAM","WRECKAGE","Republic","597","577","20","0","23 of 37"
"8","8","9","MOTLEY CRUE","DOGS OF WAR","Big Machine","584","580","4","0","27 of 37"
"2","16","10","FALLING IN REVERSE & JELLY ROLL","ALL MY LIFE","Epitaph","568","459","109","2","29 of 37"
"7","15","11","STRIPPING THE PISTOL","BLACK REFLECTIONS","TLG/ZOID/Virgin","536","463","73","0","18 of 37"
"8","14","12","STAIND","BETTER DAYS","Alchemy/CO5","513","495","18","1","24 of 37"
"12","13","13","WAGE WAR","MAGNETIC","Fearless/Concord","513","508","5","0","25 of 37"
"6","18","14","SHALLOW SIDE","FILTERS","Thermal","486","451","35","0","26 of 37"
"8","24","15","PAUL BENJAMAN BAND","MY BAD SIDE WANTS A GOOD TIME","Pasadena","457","391","66","0","16 of 37"
"6","19","16","IMAGES OF EDEN","HERE COMES THE SUN","Pavement","439","423","16","0","16 of 37"
"7","21","17","BLACK VEIL BRIDES","BLEEDERS","Spinefarm/Land Shark","434","415","19","0","26 of 37"
"17","23","18","HARDY","ROCKSTAR","Big Loud Rock","431","407","24","0","15 of 37"
"13","22","19","BAD OMENS","V.A.N (FT. POPPY)","Sumerian","418","413","5","2","22 of 37"
"2","34","20","THE OFFSPRING","MAKE IT ALL RIGHT","Concord","406","289","117","5","24 of 37"
"4","29","21","ROYALE LYNN","DEATH WISH (FT. DANNY WORSNOP)","Epitaph","386","360","26","0","22 of 37"
"15","26","22","SET IT OFF","FAKE ASS FRIENDS","Why Worry/Stem","386","376","10","0","21 of 37"
"6","12","23","HEARTS & HAND GRENADES","OUR DARKEST NIGHT","Eclipse","382","525","-143","0","16 of 37"
"4","31","24","DOOR 13","NOW","Curtain Call","380","319","61","0","16 of 37"
"21","25","25","BLACK STONE CHERRY","WHEN THE PAIN COMES","Mascot/MLG","374","377","-3","0","19 of 37"
"6","27","26","TIM MONTANA","SAVAGE","Music Knox/BBR/BMG","371","370","1","0","23 of 37"
"13","30","27","P.O.D.","AFRAID TO DIE","Mascot/MLG","356","338","18","0","22 of 37"
"19","17","28","GODSMACK","TRUTH","BMG","347","452","-105","0","21 of 37"
"17","28","29","METALLICA","SCREAMING SUICIDE","Blackened/Q Prime","344","364","-20","0","18 of 37"
"4","37","30","ATRIUM","SILENT LUCIDITY","Independent","328","269","59","0","15 of 37"
"6","33","31","ABOVE SNAKES","RIDE AND DIE","Independent","324","306","18","0","18 of 37"
"3","46","32","FOZZY","ARMY OF ONE","Madison/The Orchard","299","235","64","2","19 of 37"
"2","41","33","BRING ME THE HORIZON","TOP 10 STATUES THAT CRIED BLOOD","Columbia","292","255","37","1","21 of 37"
"3","42","34","GRIN CYNIC","LET ME GO","Pavement","292","255","37","0","17 of 37"
"3","44","35","BLACKLITE DISTRICT","YOU CAN DO BETTER","AK19","282","237","45","1","15 of 37"
"4","39","36","FREEMOOR","SHINE","Independent","282","267","15","0","15 of 37"
"15","36","37","LINES OF LOYALTY","HURTS TO BE HUMAN","C3&B/CO5","278","275","3","0","11 of 37"
"1","60","38","A DAY TO REMEMBER","FEEDBACK","Fueled By Ramen/3eE","270","151","119","6","20 of 37"
"17","20","39","THE WARNING","S!CK","Lava/Republic","261","418","-157","0","22 of 37"
"12","40","40","MESSER","THROW IT AWAY","Independent","260","258","2","0","17 of 37"
"15","10","41","THE GHOST INSIDE","WASH IT AWAY","Epitaph","250","572","-322","0","27 of 37"
"9","45","42","COLDWARDS","THE FIRE INSIDE","Wake Up! Music Rocks","240","236","4","0","11 of 37"
"10","43","43","MOON FEVER","FOREVER SLEEP","Astro/Amplify","240","241","-1","1","16 of 37"
"4","47","44","PALAYE ROYALE","DEAD TO ME","Sumerian","233","233","0","0","13 of 37"
"1","57","45","HALESTORM & I PREVAIL","CAN YOU SEE ME IN THE DARK?","Atlantic","225","161","64","4","17 of 37"
"1","53","46","INIMICAL DRIVE","VICTIM","In Detail/Land Shark","223","182","41","1","17 of 37"
"18","49","47","LINKIN PARK","FRIENDLY FIRE","Warner","218","217","1","0","11 of 37"
"23","35","48","BEARTOOTH","I WAS ALIVE","Red Bull","213","278","-65","0","12 of 37"
"3","51","49","PLUSH","RUN","Pavement","195","188","7","0","15 of 37"
"21","48","50","GREEN DAY","DILEMMA","Warner","192","233","-41","0","11 of 37"
"5","52","51","SUM 41","LANDMINES","BMG","187","185","2","0","9 of 37"
"-","55","52","NONPOINT","UNDERDOG","361 Degrees","170","172","-2","0","15 of 37"
"22","54","53","FOO FIGHTERS","THE GLASS","RCA","163","176","-13","0","10 of 37"
"-","79","54","BLACKLIST UNION","HORNS AND HALOS","BLU","160","77","83","5","16 of 37"
"-","61","55","THE ALMAS","LIFELINE","Wake Up! Music Rocks","160","146","14","0","12 of 37"
"-","59","56","PIERCE THE VEIL","KARMA POLICE","Concord","151","154","-3","0","15 of 37"
"21","50","57","DAYSEEKER","DREAMSTATE","Spinefarm/Land Shark","147","214","-67","0","11 of 37"
"-","58","58","HIGHLY SUSPECT","SUMMERTIME VOODOO","Roadrunner/3eE","144","157","-13","0","11 of 37"
"11","56","59","THE PLOT IN YOU","CLOSURE","Concord","143","164","-21","0","14 of 37"
"-","82","60","MYLES KENNEDY","SAY WHAT YOU WILL","Napalm","137","74","63","5","13 of 37"
"8","32","61","ONCE AROUND","LOVE AND WAR","Independent","128","318","-190","0","13 of 37"
"-","65","62","SUBLIME & STICK FIGURE","FEEL LIKE THAT FT. BRADLEY NOWELL","Regime","117","112","5","0","10 of 37"
"18","64","63","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","116","116","0","0","5 of 37"
"-","74","64","KITTIE","WE ARE SHADOWS","Sumerian","113","86","27","1","12 of 37"
"8","11","65","SWIM THE CURRENT","SO LOW","TLG/ZOID/Virgin","110","545","-435","0","17 of 37"
"17","66","66","ASKING ALEXANDRIA","DARK VOID","Better Noise","108","107","1","0","5 of 37"
"6","68","67","KEITH WALLEN","HEADSPACE HOLIDAY","BMG","105","104","1","0","7 of 37"
"-","75","68","ONI","CONTROL","Independent/CO5","99","84","15","0","10 of 37"
"25","63","69","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","98","120","-22","0","6 of 37"
"13","67","70","JUDAS PRIEST","CROWN OF HORNS","Epic","95","107","-12","0","6 of 37"
"-","77","71","ISLANDER","WHAT A TIME TO BE ALIVE","Independent/Land Shark","94","80","14","0","8 of 37"
"23","71","72","SCOTT STAPP","HIGHER POWER","Shelter","94","94","0","0","5 of 37"
"6","62","73","A KILLER'S CONFESSION","GREED","MNRK Heavy","94","125","-31","0","7 of 37"
"29","72","74","ANY GIVEN SIN","DYNAMITE","Mascot/MLG","92","91","1","0","4 of 37"
"9","38","75","SOCIETY OF VILLAINS","SMOKE AND TROUBLE","CloudKid/Pasadena","87","268","-181","0","11 of 37"
"-","92","76","DEVOUR THE DAY","EMPTY","A Window In","85","62","23","0","5 of 37"
