"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"22","1","1","FOZZY","SPOTLIGHT","The Orchard","1030","1026","4","0","31 of 38"
"8","2","2","GREEN DAY","DILEMMA","Warner","834","809","25","0","28 of 38"
"6","5","3","PEARL JAM","DARK MATTER","Repbulic","820","750","70","1","28 of 38"
"11","3","4","FOO FIGHTERS","THE GLASS","RCA","814","799","15","0","28 of 38"
"10","4","5","ASKING ALEXANDRIA","DARK VOID","Better Noise","810","774","36","0","28 of 38"
"5","6","6","LINKIN PARK","FRIENDLY FIRE","Warner","790","747","43","0","30 of 38"
"10","9","7","BEARTOOTH","I WAS ALIVE","Red Bull","746","691","55","2","28 of 38"
"25","8","8","ATREYU","GONE","Spinefarm/Land Shark","737","699","38","1","27 of 38"
"7","10","9","NOTHING MORE","IF IT DOESN'T HURT","Better Noise","731","655","76","2","30 of 38"
"19","12","10","SCOTT STAPP","HIGHER POWER","Shelter","633","616","17","0","26 of 38"
"12","13","11","COREY TAYLOR","WE ARE THE REST","BMG","590","606","-16","0","30 of 38"
"9","16","12","BLACKLITE DISTRICT","GIVE ME LIFE FT. JUDD HOOS","AK19","564","484","80","0","18 of 38"
"4","14","13","METALLICA","SCREAMING SUICIDE","Blackened/Q Prime","559","503","56","1","26 of 38"
"6","15","14","GODSMACK","TRUTH","BMG","538","499","39","0","30 of 38"
"5","20","15","MADAME MAYHEM","HEADCASE","Headball","512","425","87","1","20 of 38"
"20","7","16","DISTURBED","DON'T TELL ME","Warner","493","702","-209","0","24 of 38"
"10","18","17","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","492","459","33","1","24 of 38"
"21","11","18","PAPA ROACH","LEAVE A LIGHT ON","New Noize","489","632","-143","0","25 of 38"
"6","23","19","ENEMY REMAINS","EMPTY INSIDE","Fortess","467","401","66","0","17 of 38"
"5","21","20","SLEEP THEORY","FALLOUT","Epitaph","454","412","42","1","24 of 38"
"4","19","21","FAME ON FIRE","NIGHTMARE (THE DEVIL)","Hopeless","454","426","28","2","23 of 38"
"16","25","22","DES ROCS","I AM THE LIGHTNING","Sumerian","451","387","64","2","21 of 38"
"8","24","23","BLACK STONE CHERRY","WHEN THE PAIN COMES","Mascot/MLG","446","393","53","2","23 of 38"
"16","17","24","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","442","469","-27","0","25 of 38"
"7","26","25","ROYALE LYNN","SIX FEET DEEP","Epitaph","407","378","29","0","20 of 38"
"25","22","26","ANY GIVEN SIN","DYNAMITE","Mascot/MLG","403","404","-1","0","21 of 38"
"3","30","27","FROM ASHES TO NEW","BARELY BREATHING","Better Noise","402","329","73","1","20 of 38"
"4","28","28","ETCHED IN EMBERS","HAPPY SONG","Independent","377","339","38","0","16 of 38"
"2","37","29","BILLY MORRISON","DROWNING","TLG/ZOID/Virgin","374","264","110","0","14 of 38"
"9","27","30","THE BLACK CROWES","WANTING AND WAITING","Silver Lining/Red Light","332","374","-42","0","18 of 38"
"4","29","31","HARDY","ROCKSTAR","Big Loud Rock","325","333","-8","0","15 of 38"
"4","32","32","THE WARNING","S!CK","Lava/Republic","319","298","21","1","17 of 38"
"4","33","33","RICK MONROE AND THE HITMEN","WORTH THE HURT","TLG/Virgin","309","289","20","0","16 of 38"
"4","35","34","VENREZ","SIP THE CUP","Wake Up! Music Rocks","302","272","30","0","15 of 38"
