"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"22","1","1","SLEEP THEORY","NUMB","Epitaph","819","808","11","0","29 of 37"
"14","2","2","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","759","804","-45","0","29 of 37"
"7","6","3","BLINK-182","ONE MORE TIME","Columbia","695","656","39","0","27 of 37"
"13","5","4","DAUGHTRY","ARTIFICIAL","Big Machine","693","675","18","0","27 of 37"
"3","15","5","GREEN DAY","THE AMERICAN DREAM IS KILLING ME","Warner","678","521","157","3","32 of 37"
"15","4","6","FROM ASHES TO NEW","NIGHTMARE","Better Noise","677","683","-6","0","26 of 37"
"16","7","7","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","634","654","-20","0","28 of 37"
"12","10","8","MAMMOTH WVH","I'M ALRIGHT","BMG","632","568","64","0","29 of 37"
"8","9","9","STAIND","HERE AND NOW","Alchemy/CO5","628","609","19","0","27 of 37"
"26","3","10","POP EVIL","SKELETONS","MNRK/G&G","612","741","-129","0","28 of 37"
"11","12","11","ATRIUM","WARRIOR IN THE GARDEN","Curtain Call","596","558","38","0","16 of 37"
"8","13","12","BAD WOLVES","LEGENDS NEVER DIE","Better Noise","582","541","41","2","28 of 37"
"13","14","13","PISTOLS AT DAWN","FLY","Megaforce/Amplify","564","522","42","0","23 of 37"
"13","8","14","METALLICA","TOO FAR GONE?","Blackened/Q Prime","544","617","-73","0","26 of 37"
"8","17","15","MAGDALENE ROSE","A BAD RESIDENTIAL FT. UNDEROATH","Rockfest","526","482","44","0","16 of 37"
"9","16","16","PARKWAY DRIVE","DARKER STILL","Epitaph","518","490","28","0","24 of 37"
"3","23","17","FOZZY","SPOTLIGHT","The Orchard","506","388","118","3","27 of 37"
"14","11","18","FOO FIGHTERS","UNDER YOU","RCA","498","564","-66","0","25 of 37"
"6","20","19","MADAME MAYHEM","GET IT RIGHT","Headball","464","420","44","0","20 of 37"
"6","21","20","DARK REMEDY","POSSESSION","Von Artists LTD","454","402","52","0","16 of 37"
"8","22","21","BLACKLIST UNION","KEYS TO THE KINGDOM","BLU","438","391","47","0","15 of 37"
"9","24","22","TIM MONTANA","DEVIL YOU KNOW","BBR/BMG","422","379","43","1","20 of 37"
"8","25","23","MOTIONLESS IN WHITE","SIGN OF LIFE","Roadrunner/3ee","386","377","9","0","22 of 37"
"2","39","24","PAPA ROACH","LEAVE A LIGHT ON","New Noize","382","267","115","4","24 of 37"
"6","26","25","ATREYU","GONE","Spinefarm/Land Shark","378","353","25","2","26 of 37"
"6","28","26","THE BITES","KNOCKIN' ON THE DOOR","Earache","375","344","31","0","15 of 37"
"4","29","27","MIKE SHINODA","ALREADY OVER","Warner","359","322","37","1","24 of 37"
"4","40","28","AVENGED SEVENFOLD","MATTEL","Warner","346","265","81","2","22 of 37"
"5","32","29","SEVENTH DAY SLUMBER","FEASTING ON VULTURES FT. KELLIN QUINN","Rockfest","332","298","34","1","19 of 37"
