"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"12","4","1","COREY TAYLOR","BEYOND","BMG","798","725","73","1","33 of 39"
"17","1","2","STAIND","LOWEST IN ME","Alchemy","752","823","-71","0","29 of 39"
"31","6","3","AVATAR","THE DIRT I'M BURIED IN","G&G","728","704","24","0","27 of 39"
"19","5","4","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","727","721","6","0","32 of 39"
"17","2","5","DISTURBED","UNSTOPPABLE","Warner","717","754","-37","0","28 of 39"
"15","7","6","POINT NORTH","SAFE AND SOUND","Hopeless","715","673","42","0","28 of 39"
"12","10","7","SEVENDUST","EVERYTHING","Napalm","659","641","18","0","33 of 39"
"14","9","8","BUSH","ALL THINGS MUST CHANGE","BMG","658","650","8","0","33 of 39"
"7","11","9","ASKING ALEXANDRIA","PSYCHO","Better Noise","651","590","61","2","30 of 39"
"13","12","10","POP EVIL","SKELETONS","MNRK/G&G","649","586","63","1","32 of 39"
"11","13","11","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","623","562","61","1","27 of 39"
"22","3","12","AVENGED SEVENFOLD","NOBODY","Warner","604","749","-145","0","28 of 39"
"10","15","13","SCOTT PLANTE","BURNER","Independent","570","527","43","0","16 of 39"
"9","17","14","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","560","512","48","1","29 of 39"
"5","22","15","FALLING IN REVERSE","LAST RESORT (REIMAGINED)","Epitaph","544","438","106","2","26 of 39"
"9","16","16","THE HU","BLACK THUNDER","Better Noise","525","519","6","0","27 of 39"
"16","19","17","SHALLOW SIDE","YOU'RE THE REASON","Thermal","515","485","30","0","22 of 39"
"9","20","18","SLEEP THEORY","NUMB","Epitaph","512","477","35","0","23 of 39"
"6","33","19","VOXX","UNDERDOG","Independent","462","305","157","1","15 of 39"
"8","27","20","UNCURED","FIGHT THIS WAR","Pavement","453","394","59","0","17 of 39"
"13","23","21","PLUSH","LEFT BEHIND","Pavement","433","430","3","0","23 of 39"
"8","30","22","DOPESICK","TAKE ME","Wake Up! Music Rocks","427","347","80","0","15 of 39"
"22","18","23","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","384","508","-124","0","21 of 39"
"6","35","24","DARK BELOW","MAKE BELIEVE","JPS","353","284","69","1","19 of 39"
"3","36","25","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","348","277","71","3","22 of 39"
"17","21","26","FOO FIGHTERS","RESCUED","RCA","348","466","-118","0","20 of 39"
"13","32","27","SET IT OFF","PUNCHING BAG","Why Worry/Stem","346","307","39","0","19 of 39"
"30","14","28","I PREVAIL","DEEP END","Concord","333","546","-213","0","20 of 39"
"7","34","29","HARDY","SOLD OUT","Big Loud Rock/Big Loud","329","288","41","1","20 of 39"
"4","38","30","SILENT THEORY","JUST MY LUCK FT. JOSEY SCOTT","Silent Theory/OneRPM","328","263","65","0","19 of 39"
"19","24","31","ATREYU","WATCH ME BURN","Spinefarm/Land Shark","305","404","-99","0","22 of 39"
"3","42","32","NOVA SONS","PSYCHOPATH","Emberstone & Raye","296","227","69","0","16 of 39"
"4","39","33","TIGER KID","DRIVE","Tiger Kid/Unleashed","295","242","53","2","16 of 39"
"7","37","34","SKINDRED","GIMME THAT BOOM","Earache","284","271","13","0","18 of 39"
"20","28","35","MAMMOTH WVH","ANOTHER CELEBRATION AT THE END OF THE WORLD","BMG","278","389","-111","0","19 of 39"
"3","46","36","HANNAH CUTT","HAPPY IN HELL","Dark Eyes","272","210","62","0","15 of 39"
"2","40","37","FROM ASHES TO NEW","NIGHTMARE","Better Noise","269","232","37","0","19 of 39"
"3","43","38","GRETA VAN FLEET","THE FALLING SKY","Republic","263","226","37","1","19 of 39"
"17","29","39","GHOST","JESUS HE KNOWS ME","Loma Vista/Concord","263","355","-92","0","21 of 39"
"3","41","40","VENREZ","EACH AND EVERY DAY","Pavement","261","228","33","0","16 of 39"
"1","54","41","DARK REMEDY","NOW OR NEVER","Von Artists LTD","256","157","99","4","20 of 39"
"1","51","42","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","251","172","79","5","20 of 39"
"2","47","43","THE ALMAS","CROWNS","Wake Up Music Rocks","243","201","42","0","18 of 39"
"8","44","44","BLACK STONE CHERRY","NERVOUS","Mascot","242","225","17","0","17 of 39"
"1","71","45","FOO FIGHTERS","UNDER YOU","RCA","239","100","139","8","17 of 39"
"20","25","46","METALLICA","72 SEASONS","Blackened/Q Prime","228","403","-175","0","16 of 39"
"11","48","47","SAUL","A MILLION MILES","Spinefarm/Land Shark","215","195","20","0","18 of 39"
"1","65","48","DEFYING DECAY","CLOUDS","CB Ent.","209","119","90","1","15 of 39"
