"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"24","1","1","FALLING IN REVERSE","VOICES IN MY HEAD","Epitaph","980","984","-4","0","32 of 43"
"7","2","2","GODSMACK","SURRENDER","BMG","862","917","-55","0","36 of 43"
"16","3","3","BUSH","MORE THAN MACHINES","BMG","848","858","-10","0","31 of 43"
"10","4","4","NICKELBACK","SAN QUENTIN","BMG","826","853","-27","1","35 of 43"
"9","5","5","OZZY OSBOURNE","ONE OF THOSE DAYS","Epic","803","812","-9","0","36 of 43"
"13","6","6","STARSET & BREAKING BENJAMIN","WAITING ON THE SKY TO CHANGE","Judge & Jury/The Orchard","763","745","18","0","33 of 43"
"16","9","7","GHOST","SPILLWAYS","Loma Vista/Concord","728","729","-1","0","33 of 43"
"15","10","8","FAME ON FIRE","WELCOME TO THE CHAOS","Hopeless","683","661","22","2","31 of 43"
"13","7","9","RED HOT CHILI PEPPERS","TIPPA MY TONGUE","Warner","680","734","-54","0","31 of 43"
"4","12","10","BLINK-182","EDGING","Columbia","652","637","15","2","30 of 43"
"6","15","11","SMASHING PUMPKINS","BEGUILED","Martha's Music/Thirty Tigers","635","563","72","1","34 of 43"
"8","16","12","BLACKLITE DISTRICT","BACK INTO DARKNESS","AK19","629","556","73","0","17 of 43"
"9","14","13","PISTOLS AT DAWN","THE TRUTH","CO5/Megaforce","618","566","52","2","26 of 43"
"5","20","14","SKID ROW","TIME BOMB","earMUSIC/Land Shark","581","513","68","0","18 of 43"
"8","22","15","ARCHITECTS","TEAR GAS","Epitaph","566","507","59","0","29 of 43"
"16","8","16","I PREVAIL","BAD THINGS","Fearless/Concord","557","732","-175","1","30 of 43"
"4","19","17","POP EVIL","PARANOID (CRASH & BURN)","Pop Evil/MNRK HEAVY/G&G","533","513","20","1","30 of 43"
"11","21","18","AYRON JONES","FILTHY","Big Machine/John Varvatos","507","508","-1","0","32 of 43"
"5","24","19","EMBERS RISE","ISOLATED","New Ocean","504","465","39","0","16 of 43"
"18","25","20","BEARTOOTH","RIPTIDE","Red Bull","464","446","18","0","24 of 43"
"8","23","21","THREE DAYS GRACE","I AM THE WEAPON","RCA","463","489","-26","1","33 of 43"
"20","18","22","HIGHLY SUSPECT","NATURAL BORN KILLER","Elektra/300","448","543","-95","0","22 of 43"
"12","29","23","BAD OMENS","JUST PRETEND","Sumerian","440","413","27","1","25 of 43"
"11","26","24","VOLBEAT","BECOMING","Republic","436","440","-4","2","27 of 43"
"3","31","25","NOTHING MORE","YOU DON'T KNOW WHAT LOVE MEANS","Better Noise","423","370","53","2","26 of 43"
