"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"19","1","1","FALLING IN REVERSE","BAD GUY","Epitaph","1009","987","22","0","31 of 35"
"22","2","2","SLEEP THEORY","STUCK IN MY HEAD","Epitaph","977","937","40","0","33 of 35"
"21","4","3","FAME ON FIRE","CHAINS (THE TOWER)","Hopeless","725","697","28","1","29 of 35"
"10","3","4","THREE DAYS GRACE","MAYDAY","RCA","682","776","-94","0","26 of 35"
"13","8","5","SEETHER","WALLS COME DOWN","Concord","676","585","91","0","29 of 35"
"13","5","6","LINKIN PARK","HEAVY IS THE CROWN","Warner","642","654","-12","0","23 of 35"
"15","7","7","AUTUMN KINGS","SLEEP WHEN I'M DEAD","Hopeless","631","626","5","0","28 of 35"
"15","6","8","BREAKING BENJAMIN","AWAKEN","BMG","544","640","-96","0","25 of 35"
"2","48","9","PAPA ROACH","EVEN IF IT KILLS ME","New Noize","499","190","309","5","27 of 35"
"10","10","10","SOCIETY OF VILLAINS","DAREDEVIL","Pasadena","493","479","14","0","21 of 35"
"19","14","11","10 YEARS","THE OPTIMIST (FT. CONQUER DIVIDE)","Mascot","491","444","47","1","27 of 35"
"5","24","12","COLDWARDS","SUNFLOWER","Wake Up Music Rocks!","464","368","96","2","20 of 35"
"9","9","13","BLACKLIST UNION","HEY MR. SUPERSTAR","BLU","461","530","-69","0","19 of 35"
"15","16","14","DAUGHTRY","THE DAM","Big Machine","452","409","43","0","21 of 35"
"9","17","15","PARALANDRA","CAN'T QUENCH THE FIRE","LEGEND","447","403","44","0","20 of 35"
"5","18","16","PAISTY JENNY","JESUS AND GUNS","Cranked Up","445","402","43","0","19 of 35"
"24","12","17","POPPY","NEW WAY OUT","Sumerian","444","455","-11","0","21 of 35"
"16","23","18","DEAD POET SOCIETY","HURT","Spinefarm","433","373","60","1","19 of 35"
"22","11","19","STARSET","TOKSIK","Concord","433","475","-42","0","24 of 35"
"27","13","20","SCOTT STAPP","BLACK BUTTERFLY","Napalm","432","454","-22","0","18 of 35"
"11","19","21","SET IT OFF","WOLF IN SHEEPS CLOTHING (REBORN)","Why Worry/Stem","418","392","26","3","23 of 35"
"1","75","22","SHINEDOWN","DANCE, KID, DANCE","Atlantic","415","92","323","13","25 of 35"
"2","46","23","BILLY MORRISON & OZZY OSBOURNE","GODS OF ROCK N ROLL (FT. STEVE STEVENS)","TLG/ZOID/Virgin","396","193","203","6","28 of 35"
"2","32","24","NOTHING MORE","HOUSE ON SAND","Better Noise","391","281","110","2","23 of 35"
"14","21","25","WAGE WAR","BLUR","Fearless/Concord","386","375","11","1","23 of 35"
"9","28","26","ONE DAY ALIVE","NEVER AGAIN","Independent","370","333","37","2","20 of 35"
"5","25","27","SALIVA","TIME BOMB (FT. PEYTON PARRISH)","Judge & Jury/The Orchard","363","341","22","0","20 of 35"
