"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"31","1","1","SLEEP THEORY","NUMB","Epitaph","967","948","19","0","32 of 37"
"12","6","4","FOZZY","SPOTLIGHT","The Orchard","781","714","67","1","33 of 37"
"13","15","12","POINT NORTH","BELOW THE BELT (FT. SET IT OFF)","Hopeless","532","458","74","0","26 of 37"
"16","12","13","BLINK-182","ONE MORE TIME","Columbia","486","533","-47","0","21 of 37"
"15","18","14","ATREYU","GONE","Spinefarm/Land Shark","462","446","16","0","26 of 37"
"17","19","15","MOTIONLESS IN WHITE","SIGN OF LIFE","Roadrunner/3EE","454","411","43","1","25 of 37"
"9","17","16","HEARTS & HAND GRENADES","BURN (BY MY FIRE)","Eclipse","451","446","5","0","19 of 37"
"13","20","17","AVENGED SEVENFOLD","MATTEL","Warner","403","409","-6","0","25 of 37"
"9","22","18","FEAR OF WATER","CODEPENDENT PARASITES (FT. ELIAS SORIANO)","FoW/Pasadena","401","382","19","0","19 of 37"
"9","24","19","WOLVES AT THE GATE","SWEETNESS","Solid State","398","354","44","0","18 of 37"
"10","21","20","DISTURBED","DON'T TELL ME","Warner","398","386","12","1","25 of 37"
"9","23","21","SCOTT STAPP","HIGHER POWER","Shelter","385","380","5","0","23 of 37"
"25","10","22","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","383","636","-253","0","27 of 37"
"8","27","23","IMMINENCE","DEATH BY A THOUSAND CUTS","Independent/Land Shark","367","332","35","0","16 of 37"
"15","28","24","ANY GIVEN SIN","DYNAMITE","Mascot/MLG","346","322","24","0","18 of 37"
"14","25","25","NICKELBACK","SKINNY LITTLE MISSY","BMG","342","347","-5","0","25 of 37"
"10","29","26","BUSH","NOWHERE TO GO BUT EVERYWHERE","Round Hill/The Orchard","305","298","7","0","17 of 37"
"8","30","27","NOVA SONS","SUPERMAN","SunRaye","298","276","22","0","16 of 37"
"7","38","28","SCOTTY AUSTIN","PSYCHO SEX","Stryker/INgrooves","285","246","39","1","15 of 37"
"6","39","29","COLDWARDS","FLATLINE","Wake Up! Music Rocks","281","228","53","1","17 of 37"
"6","35","30","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","275","252","23","0","20 of 37"
"11","33","31","KOBRA PAIGE","LOVE WHAT I HATE","Pasadena Records","266","254","12","0","18 of 37"
"6","34","32","DES ROCS","I AM THE LIGHTNING","Sumerian","265","253","12","1","15 of 37"
"24","32","33","THE STRUTS","TOO GOOD AT RAISING HELL","Big Machine","264","275","-11","1","18 of 37"
"2","47","34","COREY TAYLOR","WE ARE THE REST","BMG","260","173","87","3","18 of 37"
"12","36","35","WESTCREEK","LET ME BLEED","Wake Up! Music Rocks","260","248","12","0","13 of 37"
"7","40","36","ROGUE ROYAL","NOW OR NEVER","SunRaye","258","225","33","1","15 of 37"
"9","37","37","AUSTIN MEADE","BLACKOUT","Shelter","247","247","0","0","16 of 37"
"24","14","38","FROM ASHES TO NEW","NIGHTMARE","Better Noise","241","461","-220","0","21 of 37"
