"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"18","2","1","SEVENDUST","EVERYTHING","Napalm","790","764","26","0","33 of 38"
"6","4","2","METALLICA","TOO FAR GONE?","Blackened/Q Prime","780","748","32","0","32 of 38"
"19","3","3","POP EVIL","SKELETONS","MNRK/G&G","770","758","12","0","31 of 38"
"7","6","4","FOO FIGHTERS","UNDER YOU","RCA","740","709","31","0","27 of 38"
"18","1","5","COREY TAYLOR","BEYOND","BMG","735","793","-58","0","31 of 38"
"15","8","6","SLEEP THEORY","NUMB","Epitaph","730","688","42","1","27 of 38"
"13","5","7","ASKING ALEXANDRIA","PSYCHO","Better Noise","730","738","-8","0","30 of 38"
"11","7","8","FALLING IN REVERSE","LAST RESORT (REIMAGINED)","Epitaph","721","698","23","0","29 of 38"
"17","13","9","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","572","561","11","0","22 of 38"
"7","15","10","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","566","500","66","0","25 of 38"
"15","11","11","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","566","569","-3","0","29 of 38"
"5","12","12","GUNS N ROSES","PERHAPS","Geffen/Interscope","560","566","-6","0","26 of 38"
"5","19","13","MAMMOTH WVH","I'M ALRIGHT","BMG","516","455","61","2","29 of 38"
"8","21","14","FROM ASHES TO NEW","NIGHTMARE","Better Noise","509","419","90","1","27 of 38"
"22","14","15","SHALLOW SIDE","YOU'RE THE REASON","Thermal","491","522","-31","0","22 of 38"
"9","18","16","NOVA SONS","PSYCHOPATH","Emberstone & Raye","486","459","27","0","16 of 38"
"6","16","17","DAUGHTRY","ARTIFICIAL","Big Machine","483","487","-4","0","26 of 38"
"7","22","18","DEFYING DECAY","CLOUDS","CB Ent.","466","417","49","0","15 of 38"
"9","24","19","GRETA VAN FLEET","THE FALLING SKY","Republic","452","379","73","0","25 of 38"
"9","23","20","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","450","414","36","1","26 of 38"
"13","20","21","HARDY","SOLD OUT","Big Loud Rock/Big Loud","432","421","11","0","21 of 38"
"5","27","22","WITHIN TEMPTATION","BLEED OUT","Force Music","417","342","75","0","19 of 38"
"25","17","23","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","376","463","-87","0","22 of 38"
"6","28","24","PISTOLS AT DAWN","FLY","Megaforce/Amplify","364","327","37","0","22 of 38"
"5","31","25","DEFIANT","BOYS DON'T CRY","Curtain Call","342","286","56","0","14 of 38"
"10","9","26","SILENT THEORY","JUST MY LUCK FT. JOSEY SCOTT","Silent Theory/OneRPM","328","680","-352","0","20 of 38"
"4","35","27","ATRIUM","WARRIOR IN THE GARDEN","Curtain Call","313","276","37","0","15 of 38"
"28","25","28","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","302","350","-48","0","17 of 38"
"2","36","29","PARKWAY DRIVE","DARKER STILL","Epitaph","301","271","30","0","21 of 38"
"3","34","30","EDGE OF PARADISE","HOLOGRAM","Frontiers","298","281","17","0","16 of 38"
"8","32","31","THE ALMAS","CROWNS","Wake Up Music Rocks","298","286","12","0","18 of 38"
"3","40","32","EVA UNDER FIRE","UNSTOPPABLE FT. CORY MARKS","Better Noise","294","240","54","1","13 of 38"
"5","30","33","COLDWARDS","BAD NEWS","Wake Up! Music Rocks","286","295","-9","0","19 of 38"
"19","29","34","SET IT OFF","PUNCHING BAG","Why Worry/Stem","279","304","-25","0","19 of 38"
"1","71","35","STAIND","HERE AND NOW","Alchemy/CO5","276","112","164","5","18 of 38"
"2","43","36","ROYAL BLOOD","PULL ME THROUGH","Warner","251","205","46","2","17 of 38"
"2","45","37","TIM MONTANA","DEVIL YOU KNOW","BBR/BMG","249","197","52","0","17 of 38"
"37","26","38","AVATAR","THE DIRT I'M BURIED IN","G&G","245","350","-105","0","15 of 38"
"14","41","39","BLACK STONE CHERRY","NERVOUS","Mascot","243","219","24","0","15 of 38"
"23","38","40","STAIND","LOWEST IN ME","Alchemy","223","256","-33","0","12 of 38"
"12","10","41","DARK BELOW","MAKE BELIEVE","JPS","219","595","-376","0","18 of 38"
"21","39","42","POINT NORTH","SAFE AND SOUND","Hopeless","213","246","-33","0","16 of 38"
