"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"19","1","1","FOZZY","SPOTLIGHT","The Orchard","985","1012","-27","0","33 of 37"
"18","2","2","PAPA ROACH","LEAVE A LIGHT ON","New Noize","917","947","-30","1","32 of 37"
"17","3","3","DISTURBED","DON'T TELL ME","Warner","761","749","12","0","29 of 37"
"8","4","4","FOO FIGHTERS","THE GLASS","RCA","690","678","12","0","28 of 37"
"7","9","5","ASKING ALEXANDRIA","DARK VOID","Better Noise","681","625","56","0","28 of 37"
"22","10","6","ATREYU","GONE","Spinefarm/Land Shark","638","612","26","0","26 of 37"
"3","17","7","PEARL JAM","DARK MATTER","Repbulic","631","445","186","2","26 of 37"
"5","13","8","GREEN DAY","DILEMMA","Warner","604","556","48","1","26 of 37"
"9","12","9","COREY TAYLOR","WE ARE THE REST","BMG","567","559","8","0","30 of 37"
"7","16","10","BEARTOOTH","I WAS ALIVE","Red Bull","564","487","77","0","25 of 37"
"24","5","11","BAD WOLVES","LEGENDS NEVER DIE","Better Noise","548","660","-112","0","28 of 37"
"16","15","12","SCOTT STAPP","HIGHER POWER","Shelter","525","522","3","0","26 of 37"
"7","19","13","BLACKLIST UNION","DANCING WITH THE ANGELS","BLU","499","430","69","0","18 of 37"
"28","8","14","MAMMOTH WVH","I'M ALRIGHT","BMG","454","635","-181","0","26 of 37"
"2","42","15","LINKIN PARK","FRIENDLY FIRE","Warner","451","185","266","8","24 of 37"
"4","21","16","NOTHING MORE","IF IT DOESN'T HURT","Better Noise","437","409","28","1","23 of 37"
"3","25","17","GODSMACK","TRUTH","BMG","436","349","87","2","29 of 37"
"13","22","18","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","431","406","25","0","24 of 37"
"19","14","19","SHINEDOWN","A SYMPTOM OF BEING HUMAN","Atlantic/3EE","426","548","-122","0","21 of 37"
"29","20","20","DAUGHTRY","ARTIFICIAL","Big Machine","394","421","-27","0","16 of 37"
"24","11","21","MOTIONLESS IN WHITE","SIGN OF LIFE","Roadrunner/3EE","384","564","-180","0","25 of 37"
"7","24","22","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","379","359","20","0","22 of 37"
"6","30","23","BLACKLITE DISTRICT","GIVE ME LIFE FT. JUDD HOOS","AK19","374","304","70","0","20 of 37"
"22","26","24","ANY GIVEN SIN","DYNAMITE","Mascot/MLG","359","337","22","0","18 of 37"
"5","28","25","BLACK STONE CHERRY","WHEN THE PAIN COMES","Mascot/MLG","356","322","34","0","21 of 37"
"18","27","26","KOBRA PAIGE","LOVE WHAT I HATE","Pasadena Records","330","332","-2","0","18 of 37"
"13","23","27","DES ROCS","I AM THE LIGHTNING","Sumerian","329","360","-31","0","20 of 37"
"20","6","28","POINT NORTH","BELOW THE BELT (FT. SET IT OFF)","Hopeless","322","657","-335","0","30 of 37"
"25","18","29","TIM MONTANA","DEVIL YOU KNOW","BBR/BMG","299","437","-138","0","20 of 37"
"6","29","30","THE BLACK CROWES","WANTING AND WAITING","Silver Lining/Red Light","291","314","-23","1","18 of 37"
"4","31","31","ROYALE LYNN","SIX FEET DEEP","Epitaph","280","264","16","0","20 of 37"
"2","43","32","SLEEP THEORY","FALLOUT","Epitaph","272","181","91","2","20 of 37"
"3","35","33","ENEMY REMAINS","EMPTY INSIDE","Fortess","267","227","40","0","17 of 37"
"2","38","34","MADAME MAYHEM","HEADCASE","Headball","265","212","53","2","19 of 37"
"16","32","35","AUSTIN MEADE","BLACKOUT","Shelter","254","262","-8","0","16 of 37"
"13","7","36","COLDWARDS","FLATLINE","Wake Up! Music Rocks","253","648","-395","0","20 of 37"
"5","33","37","THE BLACK KEYS","BEAUTIFUL PEOPLE (STAY HIGH)","Nonesuch/Warner","246","261","-15","0","15 of 37"
"6","36","38","DAYSEEKER","DREAMSTATE","Spinefarm/Land Shark","231","224","7","0","14 of 37"
"1","54","39","FAME ON FIRE","NIGHTMARE (THE DEVIL)","Hopeless","228","134","94","6","18 of 37"
"4","37","40","MESSER","ONE MORE TIME","Independent","220","218","2","0","14 of 37"
"1","51","41","HARDY","ROCKSTAR","Big Loud Rock","212","146","66","0","11 of 37"
"1","91","42","METALLICA","SCREAMING SUICIDE","Blackened/Q Prime","207","60","147","7","14 of 37"
"6","39","43","BLIND CHANNEL","DEADZONE","Motor/CO5","191","193","-2","1","13 of 37"
"3","45","44","JUDAS PRIEST","CROWN OF HORNS","Epic","183","176","7","0","13 of 37"
"1","52","45","ETCHED IN EMBERS","HAPPY SONG","Independent","179","142","37","2","14 of 37"
"1","53","46","RICK MONROE AND THE HITMEN","WORTH THE HURT","TLG/Virgin","178","136","42","1","17 of 37"
"1","63","47","VENREZ","SIP THE CUP","Wake Up! Music Rocks","166","111","55","2","14 of 37"
"1","62","48","THE WARNING","S!CK","Lava/Republic","148","113","35","2","13 of 37"
"8","49","49","I PREVAIL","CLOSURE","Fearless/Concord","147","154","-7","0","11 of 37"
"4","50","50","JERIS JOHNSON","WHEN THE DARKNESS COMES","Scrappy","141","151","-10","0","9 of 37"
"16","46","51","BUSH","NOWHERE TO GO BUT EVERYWHERE","Round Hill/The Orchard","140","171","-31","0","12 of 37"
"-","145","52","FROM ASHES TO NEW","BARELY BREATHING","Better Noise","139","22","117","7","11 of 37"
"-","64","53","AMBER WILD","SILVER","New Ocean","138","110","28","0","5 of 37"
"23","34","54","STAIND","HERE AND NOW","Alchemy/CO5","131","238","-107","0","10 of 37"
"18","44","55","GREEN DAY","THE AMERICAN DREAM IS KILLING ME","Warner","126","180","-54","0","11 of 37"
"-","87","56","BILLY MORRISON","DROWNING","TLG/ZOID/Virgin","125","66","59","3","12 of 37"
"-","56","57","MOLLY D'AGO","SOMEONE JUST LIKE YOU","Wake Up! Music Rocks","125","125","0","0","12 of 37"
"5","58","58","VELVET CHAINS","STUCK AGAINST A WALL","WWWD/Motor/CO5","122","120","2","0","8 of 37"
"-","71","59","LINES OF LOYALTY","HURTS TO BE HUMAN","C3&B/CO5","121","93","28","1","10 of 37"
"-","68","60","THE PLOT IN YOU","CLOSURE","Concord","118","105","13","1","11 of 37"
"14","59","61","FEAR OF WATER","CODEPENDENT PARASITES (FT. ELIAS SORIANO)","FoW/Pasadena","117","120","-3","0","7 of 37"
"1","61","62","STARBENDERS","THE GAME","Sumerian","115","116","-1","0","6 of 37"
"-","67","63","DIRTY HONEY","COMING HOME (BALLAD OF THE SHIRE)","Dirt","111","105","6","1","7 of 37"
"3","55","64","SEBASTIAN BACH","WHAT DO I GOT TO LOSE?","Reigning Phoenix/CO5","110","133","-23","0","10 of 37"
"-","70","65","HED PE","WAITING","Regime","104","96","8","0","7 of 37"
"-","65","66","OXYMORRONS","LOOK ALIVE","Mascot","103","108","-5","0","7 of 37"
"13","48","67","ROGUE ROYAL","NOW OR NEVER","SunRaye","100","155","-55","0","6 of 37"
"-","100","68","ROGUE ROYAL","NOVOCAINE","SunRaye","99","51","48","5","13 of 37"
"20","47","69","NICKELBACK","SKINNY LITTLE MISSY","BMG","96","155","-59","0","10 of 37"
"-","85","70","BEASTO BLANCO","RUN FOR YOUR LIFE","COP International","91","67","24","0","7 of 37"
"-","74","71","CAGE THE ELEPHANT","NEON PILL","QPrime/RCA","90","85","5","0","6 of 37"
"-","81","72","PALAYE ROYALE","DEAD TO ME","Sumerian","88","73","15","1","8 of 37"
"-","73","73","WILDSTREET","SICK TO DEATH (FT. ONCE AROUND)","Golden Robot","87","87","0","0","2 of 37"
"11","41","74","SET IT OFF","EVIL PEOPLE","Why Worry/Stem","87","188","-101","0","12 of 37"
"19","40","75","MIKE SHINODA","ALREADY OVER","Warner","85","193","-108","0","10 of 37"
"34","78","76","SLEEP THEORY","NUMB","Epitaph","80","79","1","0","7 of 37"
"-","77","77","WHO ON EARTH","HOLD THE LINE","WOE Records/Lucky Man","79","79","0","0","3 of 37"
"-","75","78","BRING ME THE HORIZON","KOOL-AID","Columbia","79","85","-6","0","7 of 37"
"25","80","79","FOO FIGHTERS","UNDER YOU","RCA","77","76","1","0","5 of 37"
"-","79","80","KALAMITY KILLS","THE CHEMISTRY OF MEANT TO BE","Pero","76","77","-1","0","6 of 37"
"-","76","81","THROUGH FIRE","DEAD WINTER","Sumerian","74","84","-10","0","8 of 37"
"5","60","82","RAIN CITY DRIVE","FROZEN","Thriller","73","118","-45","0","5 of 37"
"-","-","83","SET IT OFF","FAKE ASS FRIENDS","Why Worry/Stem","71","0","71","11","10 of 37"
"-","84","84","MICK MARS","RIGHT SIDE OF WRONG","1313 LLC","71","70","1","0","4 of 37"
"17","69","85","AVENGED SEVENFOLD","MATTEL","Warner","68","97","-29","0","9 of 37"
"-","88","86","PLUSH","HOPE IT HURTS","Pavement","66","66","0","0","1 of 37"
"-","110","87","AUTUMN KINGS","SLEEP WHEN I'M DEAD","Land Shark","64","44","20","2","7 of 37"
"-","101","88","AWAKEN I AM","ROSES","SBG Records","63","51","12","0","4 of 37"
"-","90","89","PEYTON PARRISH","POETRY GLASS","Independent","63","63","0","0","6 of 37"
"-","86","90","HOT FOR CRIME","SO GOOD","Dangerous8/Amplify","63","67","-4","0","7 of 37"
"-","-","91","ATRIUM","CHOKED BY SMOKE","MMP","62","0","62","10","10 of 37"
"-","72","92","ONI","SILHOUETTE","CO5","61","92","-31","0","6 of 37"
"11","89","93","WITHIN TEMPTATION","RITUAL","Force Music","60","66","-6","0","5 of 37"
"-","83","94","NEW YEARS DAY","VAMPYRE","The Orchard","60","70","-10","0","4 of 37"
"-","82","95","UNPEOPLE","SMOTHER","SharpTone/Land Shark","60","73","-13","0","5 of 37"
"12","94","96","WOLVES AT THE GATE","SWEETNESS","Solid State","59","58","1","0","3 of 37"
"-","95","97","SMASH ATOMS","DOWN","M-Theory/New Ocean","58","57","1","0","5 of 37"
"-","119","98","BOSTON MANOR","CONTAINER","SharpTone/Land Shark","55","36","19","0","7 of 37"
"22","97","99","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","53","54","-1","0","5 of 37"
"29","99","100","POP EVIL","SKELETONS","MNRK/G&G","52","53","-1","0","4 of 37"
"-","98","101","DARK REMEDY","WE ARE THE DEAD","Von Artists LTD","52","54","-2","0","3 of 37"
"25","104","102","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","50","49","1","0","4 of 37"
"25","103","103","THE STRUTS","TOO GOOD AT RAISING HELL","Big Machine","50","49","1","0","3 of 37"
"-","106","104","SLOTHRUST","PONY","Dangerbird","47","47","0","0","3 of 37"
"28","93","105","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","46","58","-12","0","4 of 37"
"-","108","106","AMERICAN DREAM MACHINE","SCAPEGOAT","Independent","45","45","0","0","4 of 37"
"15","109","107","WESTCREEK","LET ME BLEED","Wake Up! Music Rocks","45","45","0","0","2 of 37"
"-","107","108","ROLLING STONES","ANGRY","Geffen/Interscope","45","46","-1","0","3 of 37"
"21","66","109","BLINK-182","ONE MORE TIME","Columbia","45","106","-61","0","6 of 37"
"26","116","110","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","42","39","3","0","4 of 37"
"-","102","111","LOVE THE HATE","LETTER FROM FEAR","Full Circle","41","50","-9","0","1 of 37"
"-","173","112","ACE FREHLEY","CHERRY MEDICINE","MNRK Heavy/Land Shark","40","13","27","1","3 of 37"
"-","117","113","POST PROFIT","DREAM EMPORIUM","Sharptone","40","37","3","0","1 of 37"
"13","57","114","NOVA SONS","SUPERMAN","SunRaye","40","121","-81","0","5 of 37"
"-","-","115","KEITH WALLEN","HEADSPACE HOLIDAY","BMG","39","3","36","5","5 of 37"
"-","121","116","NORMANDIE","SEROTONIN","Easy Life/Land Shark","39","34","5","0","5 of 37"
"-","115","117","GHOST HOUNDS","MAKE IT SHAKE","Gibson/The Syndicate","39","39","0","0","2 of 37"
"-","113","118","JESSE JAMES DUPREE","NEVER GETS OLD","MIGHTY LOUD","39","39","0","0","3 of 37"
"23","114","119","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","39","39","0","0","3 of 37"
"-","133","120","CROSSES","BIG YOUTH","Warner","37","27","10","0","2 of 37"
"-","120","121","CORY MARKS","A DIFFERENT KIND OF YEAR","Better Noise","35","35","0","0","1 of 37"
"-","112","122","MEMPHIS MAY FIRE","MISERY","RISE/BMG/Land Shark","35","43","-8","0","3 of 37"
"-","126","123","BLAME MY YOUTH","PRIZEFIGHTER","Big Loud Rock","34","33","1","0","2 of 37"
"-","122","124","BRING ME THE HORIZON","DARKSIDE","Columbia","34","34","0","0","2 of 37"
"-","124","125","GEARS","MY CURSE (MI MALDICION)","Independent","33","33","0","0","1 of 37"
"-","123","126","SONIC UNIVERSE","I AM","earMUSIC/Land Shark","33","33","0","0","5 of 37"
"1","127","127","STITCHED UP HEART","POSSESS ME","Another Century/The Orchard/Skateboard","33","33","0","0","1 of 37"
"-","125","128","VAJRA","LOVE IS A BATTLEFIELD","Independent","33","33","0","0","1 of 37"
"28","129","129","SEVENDUST","EVERYTHING","Napalm","31","30","1","0","3 of 37"
"-","118","130","SLEEP TOKEN","GRANITE","Spinefarm","31","36","-5","0","3 of 37"
"-","130","131","NEW DILEMMA","ANGELS ARE CRYING","Pavement","29","29","0","0","2 of 37"
"11","134","132","IN THIS MOMENT","THE PURGE","BMG","28","26","2","0","2 of 37"
"32","131","133","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","28","28","0","0","2 of 37"
"-","132","134","SUM 41","LANDMINES","BMG","28","28","0","0","2 of 37"
"-","105","135","ARCHITECTS","SEEING RED","Epitaph","27","48","-21","0","3 of 37"
"-","128","136","RUBIKON","LOSE IT ALL","Round Hill/CO5","26","33","-7","0","3 of 37"
"-","146","137","ALEXSUCKS","6 PACK AND CIGARETTES","Hallwood","25","22","3","0","1 of 37"
"-","135","138","KILL DEVIL HILL","BEFORE THE DEVIL KNOWS","Legend","25","25","0","0","1 of 37"
"-","137","139","MAJOR MOMENT","TOXIC","Independent","25","25","0","0","1 of 37"
"-","138","140","PORNO FOR PYROS","AGUA","Independent","25","25","0","0","1 of 37"
"3","139","141","WES CAGE","THE WOLF","Pavement","25","25","0","0","1 of 37"
"-","-","142","BAD OMENS","V.A.N (FT. POPPY)","Sumerian","24","0","24","3","3 of 37"
"15","144","143","GRETA VAN FLEET","THE FALLING SKY","Republic","24","23","1","0","17 of 37"
"-","-","144","UNPEOPLE","WASTE","SharpTone / Land Shark","23","0","23","4","4 of 37"
"-","148","145","TUK SMITH & THE RESTLESS HEARTS","TAKE THE LONG WAY","Gypsy Rose/New Ocean","23","21","2","0","2 of 37"
"-","143","146","WEAPONS OF ANEW","DEMONS","Independent","23","23","0","0","1 of 37"
"-","141","147","PLUSH","BARRACUDA","Pavement","23","24","-1","0","1 of 37"
"13","142","148","PISTOLS AT DAWN","FLY","Megaforce/Amplify","22","24","-2","0","3 of 37"
"-","147","149","PINK ELEFANTS","THE SHADOW","Independent/The Syndicate","21","21","0","0","1 of 37"
"-","-","150","THE WORD ALIVE","RISE (REDUX)","Thriller","20","0","20","2","1 of 37"
"20","159","151","FALLING IN REVERSE","LAST RESORT (REIMAGINED)","Epitaph","20","19","1","0","1 of 37"
"16","150","152","PLUSH","LEFT BEHIND","Pavement","20","20","0","0","2 of 37"
"5","151","153","SAVING ABEL","FIRE","Motor/CO5","20","20","0","0","1 of 37"
"-","152","154","THEORY OF A DEADMAN","TWO OF US (STUCK)","Roadrunner/3EE","20","20","0","0","1 of 37"
"15","96","155","PUDDLE OF MUDD","CASH & COBAIN","Pavement","20","55","-35","0","2 of 37"
"-","158","156","MANESKIN","HONEY (ARE U COMING?)","Arista","19","19","0","0","2 of 37"
"11","154","157","SKINDRED","GIMME THAT BOOM","Earache","19","19","0","0","1 of 37"
"-","155","158","SPLIT PERSONA","PREY","CLZ Productions","19","19","0","0","2 of 37"
"14","156","159","THE BITES","KNOCKIN' ON THE DOOR","Earache","19","19","0","0","1 of 37"
"-","157","160","UNDEROATH","LIFELINE (DROWNING)","MNRK HEAVY/UNDEROATH","19","19","0","0","1 of 37"
"-","160","161","WAKE ME","FEMALE","Independent/Land Shark","19","19","0","0","1 of 37"
"11","92","162","ATRIUM","WARRIOR IN THE GARDEN","Curtain Call","19","59","-40","0","2 of 37"
"-","-","163","CITIZEN SOLDIER","DEAD END LIFE","Independent","17","0","17","2","2 of 37"
"-","170","164","THE BLACK VULTURES","NEVER SAY","Independent","16","15","1","0","1 of 37"
"13","162","165","SAUL","A MILLION MILES","Spinefarm/Land Shark","16","16","0","0","1 of 37"
"-","163","166","CALEB HYLES","NEVER BACK DOWN FT. MANAFEST","Judge & Jury/Land Shark","15","15","0","0","3 of 37"
"-","164","167","CHRISTOPHER SHAYNE","ONE MORE ROUND","Independent/Amplify","15","15","0","0","1 of 37"
"6","165","168","FINGER ELEVEN","TOGETHER RIGHT","Craft/Concord","15","15","0","0","1 of 37"
"-","166","169","FOUNDRY","CROCODILE TEARS","The Syndicate/Lucky Man","15","15","0","0","1 of 37"
"-","167","170","IN THEORY","WORLD'S ON FIRE","The Orchard/New Ocean","15","15","0","0","2 of 37"
