"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"16","1","1","AVENGED SEVENFOLD","NOBODY","Warner","961","988","-27","0","35 of 38"
"14","2","2","MAMMOTH WVH","ANOTHER CELEBRATION AT THE END OF THE WORLD","BMG","865","863","2","0","34 of 38"
"11","4","3","STAIND","LOWEST IN ME","Alchemy","835","825","10","1","30 of 38"
"11","3","4","FOO FIGHTERS","RESCUED","RCA","776","860","-84","0","30 of 38"
"14","5","5","METALLICA","72 SEASONS","Blackened/Q Prime","746","766","-20","0","29 of 38"
"16","7","6","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","710","700","10","0","26 of 38"
"14","6","7","FROM ASHES TO NEW","HATE ME TOO","Better Noise","691","711","-20","0","30 of 38"
"11","9","8","DISTURBED","UNSTOPPABLE","Warner","685","671","14","0","29 of 38"
"24","8","9","I PREVAIL","DEEP END","Concord","675","686","-11","0","28 of 38"
"25","10","10","AVATAR","THE DIRT I'M BURIED IN","G&G","672","661","11","0","27 of 38"
"13","11","11","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","578","554","24","1","29 of 38"
"11","12","12","GHOST","JESUS HE KNOWS ME","Loma Vista/Concord","555","554","1","0","29 of 38"
"6","13","13","COREY TAYLOR","BEYOND","BMG","554","529","25","1","30 of 38"
"13","15","14","ATREYU","WATCH ME BURN","Spinefarm/Land Shark","502","493","9","0","26 of 38"
"11","14","15","GRETA VAN FLEET","MEETING THE MASTER","Republic","502","511","-9","0","26 of 38"
"9","17","16","POINT NORTH","SAFE AND SOUND","Hopeless","498","469","29","0","27 of 38"
"8","16","17","BUSH","ALL THINGS MUST CHANGE","BMG","491","490","1","0","31 of 38"
"6","18","18","SEVENDUST","EVERYTHING","Napalm","465","441","24","1","29 of 38"
"7","19","19","THE NOCTURNAL AFFAIR","IT'S NO GOOD","Madison","454","411","43","0","19 of 38"
