"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"16","3","1","POP EVIL","PARANOID (CRASH & BURN)","Pop Evil/MNRK HEAVY/G&G","1008","908","100","0","34 of 39"
"13","2","2","DISTURBED","BAD MAN","Warner","981","950","31","0","35 of 39"
"14","1","3","FIVE FINGER DEATH PUNCH","WELCOME TO THE CIRCUS","Better Noise","970","987","-17","0","35 of 39"
"11","4","4","METALLICA","LUX ÆTERNA","Q Prime/Blackened","796","838","-42","0","30 of 39"
"3","16","5","LINKIN PARK","LOST","Warner","726","485","241","6","29 of 39"
"6","10","6","SHINEDOWN","DEAD DON'T DIE","Atlantic","701","621","80","2","27 of 39"
"24","6","7","BAD OMENS","JUST PRETEND","Sumerian","677","668","9","0","26 of 39"
"20","9","8","THREE DAYS GRACE","I AM THE WEAPON","RCA","638","644","-6","0","28 of 39"
"13","13","9","HARDY","JACK","Big Loud Rock","570","569","1","0","24 of 39"
"25","8","10","STARSET & BREAKING BENJAMIN","WAITING ON THE SKY TO CHANGE","Judge & Jury/The Orchard","551","660","-109","0","26 of 39"
"6","14","11","DAUGHTRY","SEPARATE WAYS (WORLDS APART) FT. LZZY HALE","Dogtree/Big Machine","536","518","18","0","28 of 39"
"16","11","12","THEORY OF A DEADMAN","DINOSAUR","Roadrunner/3EE","535","574","-39","0","26 of 39"
"7","18","13","ONE DAY ALIVE","BRINGING ON THE PAIN","Silent Majority Group","521","471","50","0","18 of 39"
"16","12","14","BLINK-182","EDGING","Columbia","489","572","-83","0","22 of 39"
"4","21","15","PAPA ROACH","CUT THE LINE","New Noize/ADA","486","440","46","1","24 of 39"
"11","20","16","WHISKEY MYERS","THE WOLF","Wiggy Thump/Thirty Tigers","486","455","31","0","22 of 39"
"7","22","17","ALTER BRIDGE","HOLIDAY","Napalm/CO5","449","431","18","3","26 of 39"
"24","23","18","DOROTHY","BLACK SHEEP","Rock Nation/CO5","448","425","23","1","26 of 39"
"10","25","19","MOTIONLESS IN WHITE","WEREWOLF","Roadrunner/EMG","438","388","50","2","23 of 39"
"9","24","20","UNCHAINED","PSYCHEDELIC PICNIC","PACgroove","432","398","34","0","15 of 39"
