"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Kiss Goodnight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"""Love Separation""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REPORTING STATIONS","43816","43809","43802","43795","43788","43781","43774","43767","43760","43753","SPIN CATEGORY","NOTES","","","","","","","","","","","","","","","","","","","","",""
"KEDJ-FM - Twin Falls, ID","40","39","34","34","36","35","35","32","32","29","","Station has 4 rotation categories. Top spin is 40-45x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KFML-FM - Little Falls, MN","7","7","7","7","7","7","7","4","4","-","","Station has 2 rotation categories. Top spin is 7x. Song is spinning in nights and overnights.","","","","","","","","","","","","","","","","","","","","",""
"KGRR-FM - Dubuque, IA","12","12","6","6","6","12","12","6","6","6","","Station has 5 rotation categories. Top spin is 28x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KITX-H2 - Hugo, OK","55","55","40","40","20","20","20","20","20","20","","Station has 3 rotation categories. Top spin is 40x. Song is spinning in all day-parts. ","","","","","","","","","","","","","","","","","","","","",""
"KLAR-DB - Shreveport, LA","50","50","50","50","45","45","45","48","48","40","","Station has 6 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KMMY-FM - Paris, TX","55","55","40","40","20","20","20","20","20","20","","Station has 3 rotation categories. Top spin is 40x. Song is spinning in all day-parts. ","","","","","","","","","","","","","","","","","","","","",""
"KRCK-DB - Dallas, TX","37","37","28","28","32","28","28","28","28","28","","Station has 4 rotation categories. Top spin is 35x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KRRR-DB - Rock Rage Radio","50","50","50","50","40","45","45","47","47","45","","Station has 6 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KSHP-DB - Oklahoma City, OK","50","50","45","45","40","35","35","30","30","30","","Station has 4 rotation categories. Top spin is 60x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KTED-FM - Casper, WY","7","-","14","7","7","7","6","3","2","1","","Station has 4 rotation categories. Top spin is 28x. Song is spinning in nights during the ""new music"" feature.","","","","","","","","","","","","","","","","","","","","",""
"KTMR-DB - Nashville, TN","40","40","37","37","45","40","40","40","40","35","","Station has 6 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KTRX-FM - Ardmore, OK","42","38","22","22","34","31","29","21","21","15","","Station has 5 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"KZGL-FM - Flagstaff, AZ","39","36","33","34","31","29","28","16","13","9","","Station has 5 rotation categories. Top spin is 55x.  Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"RFLE-DB - Ft. Lauderdale, FL","22","24","22","22","14","-","-","-","-","-","","Station has 4 rotation categories. Top spin is 28x. Song is spinning in overnights.","","","","","","","","","","","","","","","","","","","","",""
"WBRS-DB - Boston, MA","25","25","25","25","25","25","25","20","20","20","","Station has 4 rotation categories. Top spin is 28x. Song is spinning in overnights.","","","","","","","","","","","","","","","","","","","","",""
"WBWW-DB - Milwaukee, WI","50","50","50","45","45","40","40","41","41","41","","Station has 6 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"WCCN-FM - Neillsville, WI","12","8","14","14","12","8","7","5","3","-","","Station has 5 rotation categories. Top spin is 32x.  Song is spinning in nights.","","","","","","","","","","","","","","","","","","","","",""
"WCLG-FM - Morgantown, WV","14","14","14","14","14","14","14","14","14","14","","Station has 4 rotation categories. Top spin is 30x. Song is spinning in afternoons and nights.","","","","","","","","","","","","","","","","","","","","",""
"WFRD-FM - Hanover, NH","41","39","28","28","26","24","24","22","19","14","","Station has 4 rotation categories. Top spin is 40-45x. Song is spinning in afternoons and nights.","","","","","","","","","","","","","","","","","","","","",""
"WKKI-FM - Lima, OH","21","14","14","14","14","14","14","7","7","7","","Station has 3 rotation categories. Top spin is 21x. Song is spinning in all afternoons and nights. ","","","","","","","","","","","","","","","","","","","","",""
"WMFR-DB - New Britain, CT","21","21","19","19","19","19","19","22","22","22","","Station has 3 rotation categories. Top spin is 30x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"WMMD-DB - Biloxi, MS","55","50","55","55","45","45","45","45","45","38","","Station has 6 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"WNRF-DB - Riverview, FL","48","47","47","47","44","40","37","46","46","45","","Station has 3 rotation categories. Top spin is 45-50x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
"WPNT-DB - Villa Rica, GA","60","55","50","50","45","45","44","45","45","30","","Station has 6 rotation categories. Top spin is 55x. Song is spinning in all day-parts.","","","","","","","","","","","","","","","","","","","","",""
