"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"12","1","1","POP EVIL","WHAT REMAINS","MNRK Heavy/G&G","923","908","15","0","32 of 34"
"9","3","2","SLEEP THEORY","STUCK IN MY HEAD","Epitaph","713","674","39","0","31 of 34"
"17","2","3","THE FUNERAL PORTRAIT","SUFFOCATE CITY","Better Noise","687","683","4","0","22 of 34"
"6","6","4","FALLING IN REVERSE","BAD GUY","Epitaph","654","599","55","1","30 of 34"
"8","4","5","LINKIN PARK","THE EMPTINESS MACHINE","Warner","639","667","-28","0","26 of 34"
"7","8","6","HINDER","LIVE WITHOUT IT","Evil Teen","626","554","72","0","25 of 34"
"10","5","7","NOTHING MORE","ANGEL SONG (FT. DAVID DRAIMAN)","Better Noise","609","602","7","0","24 of 34"
"6","11","8","A KILLER'S CONFESSION","VOICES (FT. AARON NORDSTROM)","MNRK Heavy","592","514","78","0","21 of 34"
"14","7","9","DOROTHY","MUD","Roc Nation","577","593","-16","0","23 of 34"
"13","9","10","BADFLOWER","DETROIT","Big Machine","556","542","14","1","21 of 34"
"9","10","11","SHIM","STING LIKE A BITCH","Curtain Call","531","524","7","0","20 of 34"
"10","12","12","JELLY ROLL","LIAR","BMG","503","495","8","0","19 of 34"
"8","14","13","FAME ON FIRE","CHAINS (THE TOWER)","Hopeless","462","420","42","0","27 of 34"
"7","13","14","HILLBILLY VEGAS","LET IT RIDE","Independent","454","439","15","1","17 of 34"
"2","23","15","BREAKING BENJAMIN","AWAKEN","BMG","428","364","64","0","23 of 34"
"16","15","16","HARDY","PSYCHO","Big Loud Rock/Big Loud","412","406","6","0","17 of 34"
"6","17","17","10 YEARS","THE OPTIMIST (FT. CONQUER DIVIDE)","Mascot","406","385","21","0","23 of 34"
"3","21","18","NEVERTEL","LOSING FAITH","Epitaph","398","365","33","0","22 of 34"
"17","16","19","SEETHER","JUDAS MIND","Concord","385","396","-11","0","17 of 34"
"14","22","20","JERRY CANTRELL","VILIFIED","Double J","382","365","17","0","18 of 34"
"4","29","21","SCOTTY AUSTIN","LEFT FOR DEAD","Curtain Call","373","309","64","1","17 of 34"
"9","19","22","CALL ME KARIZMA","MADHOUSE","Gloomy Culture/BHMM","371","371","0","0","21 of 34"
"14","25","23","SCOTT STAPP","BLACK BUTTERFLY","Napalm","367","351","16","0","19 of 34"
"4","26","24","POINT NORTH","WORLD {VS} PEACE","Hopeless","365","345","20","0","23 of 34"
"9","27","25","STARSET","TOKSIK","Concord","345","336","9","0","23 of 34"
"4","30","26","GREEN DAY","BOBBY SOX","Warner","334","305","29","0","18 of 34"
"16","34","27","DIRTY HONEY","DON'T PUT OUT THE FIRE","Dirt","329","292","37","0","15 of 34"
"13","18","28","FLAT BLACK","A BIT OF LIGHTNING","Concord","326","377","-51","0","21 of 34"
"11","31","29","POPPY","NEW WAY OUT","Sumerian","318","300","18","0","17 of 34"
"4","32","30","POWER TAKE OFF","ALL THE NO'S","Stryker/Virgin","312","293","19","0","17 of 34"
"12","20","31","SMASHING PUMPKINS","SIGHOMMI","Thirty Tigers","308","369","-61","0","21 of 34"
"5","33","32","COLDWARDS","ANTIDOTE","Wake Up Music Rocks!","304","292","12","0","18 of 34"
"5","38","33","DARK REMEDY","RIGHT BACK TO YOU","Wake Up Music Rocks!","292","268","24","0","19 of 34"
"7","36","34","PEARL JAM","WAITING FOR STEVIE","Republic","291","286","5","0","16 of 34"
"2","45","35","AUTUMN KINGS","SLEEP WHEN I'M DEAD","Hopeless","262","206","56","3","24 of 34"
"3","42","36","SMASH ATOMS","BRING THE RIVER","M-Theory/New Ocean","260","222","38","1","18 of 34"
"13","28","37","FINGER ELEVEN","ADRENALINE","Better Noise","257","318","-61","0","17 of 34"
"3","40","38","DEAD POET SOCIETY","HURT","Spinefarm","252","229","23","1","16 of 34"
"21","35","39","BRING ME THE HORIZON","TOP 10 STATUES THAT CRIED BLOOD","Columbia","230","287","-57","0","17 of 34"
"2","48","40","NEW DILEMMA","SPIRAL","Independent","227","194","33","1","17 of 34"
"5","43","41","DROWNING POOL","REVOLUTION","SBG","227","216","11","1","20 of 34"
"1","59","42","BILLY MORRISON & COREY TAYLOR","INCITE THE WATCH (FT. STEVE VAI)","TLG/ZOID/Virgin","223","148","75","2","18 of 34"
"1","54","43","AMERICAN PROGRESS","DEADBEAT","Independent","223","177","46","1","17 of 34"
"2","46","44","DAUGHTRY","THE DAM","Big Machine","217","205","12","2","16 of 34"
"9","47","45","SKILLET","UNPOPULAR","Hear It Loud/Vydia","204","205","-1","0","10 of 34"
"20","41","46","HALESTORM & I PREVAIL","CAN YOU SEE ME IN THE DARK?","Atlantic","202","228","-26","0","12 of 34"
"2","50","47","SICK PUPPIES","GOING PLACES","OneRPM/Land Shark","200","188","12","2","17 of 34"
"2","52","48","JACK WHITE","THAT'S HOW I'M FEELING","Third Man","190","185","5","0","11 of 34"
"1","58","49","WAGE WAR","BLUR","Fearless/Concord","186","154","32","2","17 of 34"
"1","55","50","SEVVVEN","DON'T PANIC","Wake Up Music Rocks!","181","174","7","0","15 of 34"
"10","24","51","WOLVES OF TOMORROW","RAVENS TEARS","Independent","178","360","-182","0","14 of 34"
"6","49","52","TREMONTI","JUST TOO MUCH","Napalm","165","193","-28","1","14 of 34"
"-","61","53","LINKIN PARK","HEAVY IS THE CROWN","Warner","162","142","20","2","14 of 34"
"-","75","54","SWIM THE CURRENT","STAY","TLG/ZOID/Virgin","161","104","57","2","15 of 34"
"-","65","55","BLACK STONE CHERRY","OUT OF POCKET (FT. JESSE LEACH)","Mascot","147","122","25","1","13 of 34"
"19","53","56","THE OFFSPRING","MAKE IT ALL RIGHT","Concord","146","182","-36","0","11 of 34"
"7","37","57","ENEMY REMAINS","WILL I WAKE","Independent","138","275","-137","0","11 of 34"
"-","63","58","DEAD SUPERSTAR","THESE VOICES","Independent","135","125","10","1","15 of 34"
"-","62","59","MEMPHIS MAY FIRE","HELL IS EMPTY","Rise/BMG","135","135","0","0","11 of 34"
"-","60","60","SEVEN HOURS AFTER VIOLET","RADIANCE","Sumerian","135","145","-10","0","13 of 34"
"24","44","61","TIM MONTANA","SAVAGE","Music Knox/BBR/BMG","135","208","-73","0","12 of 34"
"5","57","62","THE WARNING","HELL YOU CALL A DREAM","Republic","134","158","-24","0","11 of 34"
"16","56","63","MESSER","FIND OUT","Maddpants/ONErpm/FM","131","162","-31","0","7 of 34"
"-","88","64","HEARTS & HAND GRENADES","CAN'T TAKE THIS","Independent","129","72","57","4","15 of 34"
"-","67","65","UNCURED","MASK OF SANITY","Independent/CO5","128","120","8","2","8 of 34"
"18","64","66","A DAY TO REMEMBER","FEEDBACK","Fueled By Ramen/3eE","128","124","4","0","10 of 34"
"10","39","67","ALBORN","A LITTLE LESS THAN EXPECTED","ONErpm","128","229","-101","0","15 of 34"
"-","70","68","ANYTHING BUT HUMAN","ALL ALONE","Independent","122","112","10","1","12 of 34"
"28","66","69","DAUGHTRY","PIECES","Big Machine","120","122","-2","0","6 of 34"
"-","51","70","VEIO","SHOULDER TO BLEED ON","Independent","120","187","-67","0","16 of 34"
"-","76","71","THE OFFSPRING","OK, BUT THIS IS THE LAST TIME","Concord","118","103","15","3","12 of 34"
"-","68","72","RETURN TO DUST","BELLY UP","Lava","115","116","-1","0","5 of 34"
"-","78","73","THE PLOT IN YOU","PRETEND","Concord","109","97","12","1","10 of 34"
"-","74","74","ZERO 9:36","CHASING SHADOWS","Zero 9:36/OneRPM","106","106","0","0","9 of 34"
"2","71","75","CONQUER DIVIDE","PARALYZED (FT. ATTACK ATTACK)","Mascot","104","110","-6","0","8 of 34"
"-","77","76","VAJRA","TRUTH HAS MANY LIES","Independent","102","97","5","0","14 of 34"
"14","69","77","MYLES KENNEDY","SAY WHAT YOU WILL","Napalm","100","114","-14","0","9 of 34"
"-","72","78","PISTOLS AT DAWN","NOT SORRY","Independent","97","107","-10","0","8 of 34"
"-","73","79","SET IT OFF","CREATING MONSTERS","Why Worry/Stem","96","106","-10","0","7 of 34"
"-","80","80","CORY MARKS","(MAKE MY) COUNTRY ROCK","Better Noise","86","84","2","2","8 of 34"
"-","81","81","TETRARCH","LIVE NOT FANTASIZE","Napalm","82","82","0","0","8 of 34"
"8","82","82","LAKEVIEW","MONEY WHERE YOUR MOUTH IS","Gravel Road","81","81","0","0","2 of 34"
"-","83","83","OVTLIER","WARRIORS (FT. CHRIS MOTIONLESS)","TBD/Land Shark","80","80","0","0","3 of 34"
"13","84","84","PLUSH","RUN","Pavement","77","77","0","0","4 of 34"
"-","93","85","SARA ROBINSON","QUEEN","NRG/Amplify","76","63","13","0","8 of 34"
"8","85","86","NONPOINT","UNDERDOG","361 Degrees","75","75","0","0","3 of 34"
"-","79","87","ANBERLIN","SEVEN","Equal Vision","73","93","-20","0","3 of 34"
"7","90","88","HIGHLY SUSPECT","PLASTIC BOXES","3eE/Roadrunner/InDeGoot","72","72","0","0","5 of 34"
"8","89","89","ALL THAT REMAINS","LET YOU GO","Independent","70","72","-2","0","4 of 34"
"-","-","90","SEETHER","WALLS COME DOWN","Concord","69","0","69","15","15 of 34"
"27","91","91","FROM ASHES TO NEW","BARELY BREATHING","Better Noise","67","70","-3","0","4 of 34"
"-","92","92","POST PROFIT","TWO TOXIC","SharpTone/Land Shark","64","66","-2","0","1 of 34"
"-","136","93","VELVET CHAINS","DEAD INSIDE","WWDD/CO5/Motor","63","30","33","3","9 of 34"
"-","-","94","WORLDWIDE PANIC","BREAK ME DOWN","Independent","62","0","62","12","12 of 34"
"19","94","95","FIVE FINGER DEATH PUNCH","THIS IS THE WAY (FT. DMX)","Better Noise","60","62","-2","0","3 of 34"
"23","87","96","BLACK VEIL BRIDES","BLEEDERS","Spinefarm/Land Shark","60","73","-13","0","8 of 34"
"-","96","97","COLORBLIND","NEEDLE EYE","Independent","59","59","0","0","2 of 34"
"-","165","98","RAIN CITY DRIVE","WISH YOU THE BEST","Thriller","52","21","31","3","6 of 34"
"-","98","99","RIDING WITH KILLERS","DON'T FADE AWAY","Independent/New Ocean","52","52","0","0","3 of 34"
"-","86","100","KALAMITY KILLS","STARRY SKIES 998","Independent","52","74","-22","0","5 of 34"
"-","-","101","VIOLET BREED","AWAKE","J Street","50","0","50","9","9 of 34"
"-","101","102","THE EXIES","FOR WHAT IT'S WORTH","SO In De Goot","49","49","0","0","2 of 34"
"17","102","103","LINES OF LOYALTY","HURTS TO BE HUMAN","C3&B/CO5","48","48","0","0","1 of 34"
"6","99","104","KEITH WALLEN","HEADSPACE HOLIDAY","BMG","48","51","-3","0","3 of 34"
"-","-","105","SET IT OFF","WOLF IN SHEEPS CLOTHING (REBORN)","Why Worry/Stem","47","0","47","8","8 of 34"
"-","103","106","OCEAN GROVE","FLY AWAY","SharpTone/Land Shark","47","47","0","0","2 of 34"
"-","110","107","JANE'S ADDICTION","IMMINENT REDEMPTION","The Syndicate","45","44","1","0","3 of 34"
"18","107","108","PEARL JAM","WRECKAGE","Republic","45","45","0","0","2 of 34"
"18","108","109","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","45","45","0","0","1 of 34"
"13","109","110","THE BLACK CROWES","WANTING AND WAITING","Silver Lining/Red Light","45","45","0","0","2 of 34"
"-","118","111","MOTLEY CRUE","CANCELLED","Big Machine","43","37","6","2","6 of 34"
"20","111","112","SHALLOW SIDE","FILTERS","Thermal","43","43","0","0","2 of 34"
"-","112","113","THEORY OF A DEADMAN","LIVIN' MY LIFE LIKE A COUNTY SONG (FT. CORY MARKS)","Theory of a Deadman/In De Goot","43","43","0","0","4 of 34"
"16","106","114","MOON FEVER","FOREVER SLEEP","Astro/Amplify","43","45","-2","0","3 of 34"
"20","114","115","BAD OMENS","V.A.N (FT. POPPY)","Sumerian","42","42","0","0","3 of 34"
"-","148","116","REMEMBER THE MONSTERS","HAUNTED","Random EQ","38","25","13","0","4 of 34"
"-","117","117","PIERCE THE VEIL","KARMA POLICE","Concord","38","38","0","0","2 of 34"
