"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"11","2","1","AVENGED SEVENFOLD","NOBODY","Warner","922","904","18","0","34 of 38"
"6","1","2","FOO FIGHTERS","RESCUED","RCA","901","928","-27","0","31 of 38"
"9","3","3","METALLICA","72 SEASONS","Blackened/Q Prime","876","871","5","0","32 of 38"
"9","5","4","MAMMOTH WVH","ANOTHER CELEBRATION AT THE END OF THE WORLD","BMG","787","771","16","0","33 of 38"
"13","4","5","GODSMACK","SOUL ON FIRE","BMG","755","795","-40","0","27 of 38"
"19","6","6","I PREVAIL","DEEP END","Concord","708","713","-5","0","29 of 38"
"6","7","7","STAIND","LOWEST IN ME","Alchemy","705","707","-2","0","29 of 38"
"11","8","8","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","644","644","0","0","25 of 38"
"9","12","9","FROM ASHES TO NEW","HATE ME TOO","Better Noise","637","586","51","1","29 of 38"
"7","15","10","FRAMING HANLEY","START A FIRE","Thermal","620","529","91","0","19 of 38"
"16","9","11","LINKIN PARK","LOST","Warner","616","617","-1","0","21 of 38"
"18","10","12","SALIVA","HIGH ON ME","Megaforce/FM","565","597","-32","0","25 of 38"
"6","18","13","DISTURBED","UNSTOPPABLE","Warner","562","471","91","1","28 of 38"
"20","14","14","AVATAR","THE DIRT I'M BURIED IN","G&G","554","554","0","0","27 of 38"
"6","16","15","GHOST","JESUS HE KNOWS ME","Loma Vista/Concord","500","490","10","0","28 of 38"
"8","19","16","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","479","456","23","1","28 of 38"
"8","17","17","ATREYU","WATCH ME BURN","Spinefarm/Land Shark","475","484","-9","0","25 of 38"
"6","22","18","GRETA VAN FLEET","MEETING THE MASTER","Republic","473","402","71","1","25 of 38"
"7","24","19","FIT FOR A KING","REACHING OUT","Solid State","428","372","56","0","17 of 38"
"17","11","20","PAPA ROACH","CUT THE LINE","New Noize/ADA","428","595","-167","0","24 of 38"
"19","21","21","SHINEDOWN","DEAD DON'T DIE","Atlantic","426","426","0","0","18 of 38"
"16","20","22","FALLING IN REVERSE","WATCH THE WORLD BURN","Epitaph","413","455","-42","0","28 of 38"
"5","26","23","STRETCH","FIRESTARTER","Curtain Call","401","353","48","0","16 of 38"
"5","28","24","TEXAS HIPPIE COALITION","HELL HOUNDS","MNRK","390","351","39","0","18 of 38"
"3","30","25","BUSH","ALL THINGS MUST CHANGE","BMG","385","335","50","0","27 of 38"
"6","27","26","THE DEVIL WEARS PRADA","SALT","Solid State","383","353","30","0","19 of 38"
"17","25","27","SAINT ASONIA","DEVASTATE","Spinefarm","362","368","-6","0","23 of 38"
"5","32","28","HILLBILLY VEGAS","TWO GUN TOWN","TLG/INgrooves","347","309","38","0","16 of 38"
"1","56","29","COREY TAYLOR","BEYOND","BMG","336","178","158","7","25 of 38"
"12","29","30","OTHERWISE","FULL DISCLOSURE","Mascot","335","339","-4","0","19 of 38"
"9","33","31","CITIZEN SOLDIER & ROYAL BLISS","THROUGH HELL","Citizen Soldier/Air Castle","300","302","-2","0","16 of 38"
"15","31","32","NONPOINT","HEARTLESS","361 Degrees","293","313","-20","0","18 of 38"
"13","23","33","THE HU","THIS IS MONGOL","Better Noise","293","384","-91","0","20 of 38"
"3","38","34","DARK REMEDY","HAUNTED","Von Artists LTD","286","243","43","0","17 of 38"
"5","35","35","SHALLOW SIDE","YOU'RE THE REASON","Thermal","280","258","22","0","16 of 38"
"4","34","36","POINT NORTH","SAFE AND SOUND","Hopeless","277","269","8","0","22 of 38"
"2","46","37","POP EVIL","SKELETONS","MNRK/G&G","272","223","49","3","21 of 38"
"2","41","38","THE NOCTURNAL AFFAIR","IT'S NO GOOD","Madison","270","238","32","1","18 of 38"
"3","44","39","GRAVEL","ALL I WANT","Stryker/INgrooves","254","225","29","0","15 of 38"
"6","42","40","SMASHING PUMPKINS","EMPIRES","Martha's Music/Thirty Tigers","254","238","16","0","19 of 38"
"3","39","41","TOMMY VEXT","THE WAR YOU WANTED","One A/FM","254","243","11","0","20 of 38"
"2","47","42","CHAINS OVER RAZORS","BROKEN HOME","Deko","247","222","25","0","17 of 38"
"11","37","43","RISE AMONG RIVALS","CONVICTIONS","Independent","244","247","-3","0","15 of 38"
"4","43","44","OF VIRTUE","CANNIBALS","Arising Empire/FM","230","230","0","0","12 of 38"
"5","45","45","FOR THE FALLEN DREAMS","WITHOUT YOU","Arising Empire","225","225","0","0","14 of 38"
"1","53","46","SEVENDUST","EVERYTHING","Napalm","219","189","30","3","22 of 38"
"17","49","47","SKILLET","PSYCHO IN MY HEAD","Atlantic","218","218","0","0","15 of 38"
"1","54","48","BLACKLIST UNION","LETTERS FROM THE PSYCH WARD","BLU","217","189","28","0","16 of 38"
"3","48","49","SAVING ABEL","BAPTIZE ME","Skiddco/Random EQ","217","218","-1","0","10 of 38"
"2","50","50","PLUSH","LEFT BEHIND","Pavement","212","213","-1","0","20 of 38"
"2","51","51","SET IT OFF","PUNCHING BAG","Why Worry/Stem","209","209","0","0","17 of 38"
"-","63","52","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","194","138","56","2","15 of 38"
"-","57","53","FINGER ELEVEN","TOGETHER RIGHT","Craft/Concord","191","176","15","0","14 of 38"
"8","40","54","SONS ON FIRE","COLLAPSE","Curtain Call","191","241","-50","0","12 of 38"
"2","55","55","ANY GIVEN SIN","CALM BEFORE THE STORM","Mascot","188","188","0","0","10 of 38"
"19","36","56","PISTOLS AT DAWN","UNDER THE SURFACE","CO5/Megaforce","183","257","-74","0","17 of 38"
"-","62","57","SAUL","A MILLION MILES","Spinefarm/Land Shark","172","142","30","2","17 of 38"
"-","72","58","SCOTT PLANTE","BURNER","Independent","162","97","65","0","14 of 38"
"3","59","59","THROUGH FIRE","LOSE IT","Sumerian","162","161","1","0","11 of 38"
"6","58","60","DEFIANT","IGNITE THE SKY","Curtain Call","161","168","-7","0","9 of 38"
"-","60","61","BLACK HEART SAINTS","HUMAN XSTACY","Cleoptra/CO5","160","146","14","0","11 of 38"
"7","13","62","SMASH INTO PIECES","SIX FEET UNDER","Endless/Land Shark","138","564","-426","0","18 of 38"
"-","69","63","DES ROCS","NEVER ENDING MOMENT","Sumerian","133","114","19","1","9 of 38"
"-","61","64","WHITE REAPER","FOG MACHINE","Elektra","133","146","-13","0","15 of 38"
"-","66","65","ANOTHER DAY DAWNS","BITTER","Century Media/Land Shark","130","129","1","0","12 of 38"
"13","52","66","MUSE","KILL OR BE KILLED","Warner","125","190","-65","0","14 of 38"
"-","67","67","THEORY OF A DEADMAN","TWO OF US (STUCK)","Roadrunner/3ee","124","129","-5","0","9 of 38"
"-","68","68","CAIRO KNIFE FIGHT","CHURN","CKF Records","123","122","1","0","9 of 38"
"-","70","69","SKINDRED","GIMME THAT BOOM","Earache","117","104","13","0","13 of 38"
"-","80","70","HARDY","SOLD OUT","Big Loud Rock/Big Loud","108","79","29","2","10 of 38"
"-","73","71","NICKELBACK","THOSE DAYS","BMG","99","97","2","0","9 of 38"
"-","71","72","STORY OF THE YEAR","WAR","Sharptone/Land Shark","94","104","-10","0","8 of 38"
"-","-","73","FOUR THIRTY FOUR","HIGH ROLLER","EMG/INgrooves","90","0","90","15","13 of 38"
"-","76","74","FILTER","FACE DOWN","Golden Robot","84","84","0","0","9 of 38"
"-","77","75","THE WORD ALIVE","NEW REALITY","Thriller","83","83","0","0","4 of 38"
"16","78","76","DAUGHTRY","SEPARATE WAYS (WORLDS APART) FT. LZZY HALE","Dogtree/Big Machine","80","82","-2","0","7 of 38"
"-","74","77","THE EXIES","SPIRITS HIGH","Independent","78","91","-13","0","6 of 38"
"-","81","78","SLEEP SIGNALS","FEARLESS","Sleep Signals/Land Shark","76","76","0","0","10 of 38"
"10","83","79","OZZY OSBOURNE","A THOUSAND SHADES FT. JEFF BECK","Epic","73","73","0","0","7 of 38"
"-","82","80","SILENT THEORY","WHAT ARE THE ODDS","OneRPM/Land Shark","73","74","-1","0","5 of 38"
"-","99","81","GIDEON","TOO MUCH IS NEVER ENOUGH","Land Shark/Equal Vision","68","48","20","0","3 of 38"
"-","87","82","UNDEROATH","LET GO","MNRK","68","66","2","0","7 of 38"
"-","93","83","THE PLOT IN YOU","LEFT BEHIND","Concord","67","59","8","0","6 of 38"
"7","64","84","WRITTEN BY WOLVES","GIVE 'EM HELL","Independent/Land Shark","67","135","-68","0","5 of 38"
"-","88","85","UGLY KID JOE","THAT AIN'T LIVIN'","Metalville","65","65","0","0","4 of 38"
"25","89","86","BLACK VEIL BRIDES","SAVIOUR II","Sumerian","62","65","-3","0","4 of 38"
"-","85","87","CENTERSHIFT","FALLING INTO","Auspicious/New Ocean","60","70","-10","0","3 of 38"
"-","92","88","CHRISTOPHER SHAYNE","ONE MORE ROUND","Independent/Amplify","59","60","-1","0","7 of 38"
"-","91","89","OVTLIER","HEARTLESS","Ovtlier/Land Shark","59","62","-3","0","6 of 38"
"-","144","90","THE HU","BLACK THUNDER","Better Noise","58","18","40","5","9 of 38"
"-","79","91","DISCREPANCIES","RECOVERY","InVogue/FM","58","81","-23","0","4 of 38"
"-","94","92","NO RESOLVE & SAVING ABEL","COUNTING STARS","Noise Machine/Mindful","57","58","-1","0","3 of 38"
"18","95","93","METALLICA","LUX ÆTERNA","Q Prime/Blackened","56","56","0","0","4 of 38"
"13","96","94","UNCURED","LET'S BREAK OUT","Pavement","54","54","0","0","2 of 38"
"8","75","95","THE LOYAL ORDER","LAST WORDS","Bühner Media","53","88","-35","0","3 of 38"
"-","128","96","CASKETS","MORE THAN MISERY","SharpTone/Land Shark","51","25","26","1","5 of 38"
"-","108","97","THE WARNING","MORE","Republic","50","35","15","0","4 of 38"
"-","107","98","GXTP","CONTRABAND","CO5","48","38","10","0","6 of 38"
"-","100","99","SLEEP TOKEN","THE SUMMONING","Spinefarm","48","48","0","0","3 of 38"
"7","102","100","HIGHLY SUSPECT","ICE COLD","Elektra/300","46","44","2","0","2 of 38"
"-","86","101","SILVERSTEIN","POISON PILL","UNFD/Land Shark","46","70","-24","0","7 of 38"
"-","101","102","TUK SMITH & THE RESTLESS HEARTS","GIRLS ON THE EAST SIDE OF TOWN","MRG/New Ocean","45","45","0","0","3 of 38"
"19","97","103","MOTIONLESS IN WHITE","WEREWOLF","Roadrunner/EMG","44","52","-8","0","5 of 38"
"-","103","104","THE WINERY DOGS","BREAKTHROUGH","Land Shark/Three Dogs/UEG","43","42","1","0","2 of 38"
"-","90","105","TIGERCUB","THE PERFUME OF DECAY","Loosegroove/The Orchard","42","63","-21","0","4 of 38"
"7","84","106","ALBORN","PUSH","Pavement","42","72","-30","0","5 of 38"
"27","104","107","FAME ON FIRE","WELCOME TO THE CHAOS","Hopeless","41","41","0","0","2 of 38"
"-","147","108","BLACK STONE CHERRY","NERVOUS","Mascot","40","15","25","4","5 of 38"
"-","143","109","THIRTY SECONDS TO MARS","STUCK","Concord","39","19","20","0","3 of 38"
"-","133","110","RANCID","TOMORROW NEVER COMES","Epitaph","37","24","13","0","4 of 38"
"-","106","111","BLAME MY YOUTH","PRIZEFIGHTER","Big Loud Rock","37","38","-1","0","2 of 38"
"-","129","112","OTTTO","DANCE OF THE DEAD","Loco Jam/Land Shark","36","25","11","1","5 of 38"
"-","111","113","ATTACK ATTACK!","OUT OF TIME","Oxide","35","34","1","0","3 of 38"
"-","109","114","HOUSEPET","SUGAR LEVITY","New Ocean","35","35","0","0","2 of 38"
"-","113","115","DROPOUT KINGS","LIGHTS OUT FT. DED","Regime/Suburban Noize","34","34","0","0","1 of 38"
"10","115","116","SEVENTH DAY SLUMBER","SURVIVING THE WASTELAND","Rockfest","34","34","0","0","3 of 38"
"-","114","117","THE LONELY ONES","GUCCI BAGS","Independent","34","34","0","0","3 of 38"
"-","105","118","THROW THE FIGHT","HOURGLASS","SPV/Long Branch","34","39","-5","0","3 of 38"
"-","110","119","PIERCE THE VEIL","EMERGENCY CONTACT","Fearless/Concord","33","35","-2","0","3 of 38"
"1","98","120","FALL OUT BOY","LOVE FROM THE OTHER SIDE","Fueled By Ramen/Elektra","32","51","-19","0","4 of 38"
"-","125","121","ABOVE SNAKES","81 (THALLIUM)","Independent","30","30","0","0","1 of 38"
"18","121","122","CROBOT","GOLDEN","Mascot","30","30","0","0","2 of 38"
"-","122","123","DEAD GROOVE","GHOST","Independent","30","30","0","0","3 of 38"
"-","119","124","EMOLECULE","PRISON PLANET","Independent","30","30","0","0","2 of 38"
"-","124","125","HOLDING ABSENCE","CROOKED MELODY","SharpTone/Land Shark","30","30","0","0","3 of 38"
"-","120","126","MCHNZ","GRAVITY","Earache/Land Shark","30","30","0","0","4 of 38"
"-","123","127","STONE HORSES","FAFO (F**K AROUND FIND OUT)","Broken World","30","30","0","0","2 of 38"
"-","117","128","SIAMESE","THE SHAPE OF WATER","Long Branch/Land Shark","30","32","-2","0","4 of 38"
"7","112","129","BLACK SATELLITE","BROKEN","Curtain Call","29","34","-5","0","3 of 38"
"-","126","130","CATCH YOUR BREATH","DIAL TONE","Independent","28","28","0","0","4 of 38"
"-","137","131","AWAKEN I AM","RELIC","RBG","27","22","5","0","4 of 38"
"-","138","132","BEARTOOTH","SUNSHINE","Red Bull","25","22","3","1","3 of 38"
"19","130","133","ARCHITECTS","TEAR GAS","Epitaph","25","25","0","0","1 of 38"
"-","131","134","ETERNAL FREQUENCY","RUNNING FROM GHOSTS","Independent","25","25","0","0","2 of 38"
"-","132","135","GHOSTS OF SUNSET","AFTERTHOUGHT","New Ocean/deko","25","25","0","0","2 of 38"
"-","127","136","CROWN THE EMPIRE","SUPERSTAR (FT. REMINGTON LEITH)","Rise/BMG","24","27","-3","0","4 of 38"
"-","139","137","LYDIA CAN'T BREATHE","PLEASE BE OVER","Independent","23","22","1","0","3 of 38"
"-","136","138","BAD PENNY","THE SHADOW STILL REMAINS","Independent","23","23","0","0","3 of 38"
"-","135","139","CROWN LANDS","LADY OF THE LAKE","Universal","23","23","0","0","1 of 38"
