"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"16","2","1","COREY TAYLOR","BEYOND","BMG","850","831","19","0","31 of 38"
"17","3","2","POP EVIL","SKELETONS","MNRK/G&G","738","765","-27","1","32 of 38"
"11","6","3","ASKING ALEXANDRIA","PSYCHO","Better Noise","719","712","7","0","30 of 38"
"16","7","4","SEVENDUST","EVERYTHING","Napalm","713","696","17","0","33 of 38"
"9","5","5","FALLING IN REVERSE","LAST RESORT (REIMAGINED)","Epitaph","697","713","-16","0","29 of 38"
"4","8","6","METALLICA","TOO FAR GONE?","Blackened/Q Prime","686","652","34","0","30 of 38"
"15","9","7","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","674","651","23","0","27 of 38"
"23","4","8","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","637","739","-102","1","30 of 38"
"5","11","9","FOO FIGHTERS","UNDER YOU","RCA","636","611","25","1","27 of 38"
"13","12","10","SLEEP THEORY","NUMB","Epitaph","624","602","22","1","24 of 38"
"8","13","11","SILENT THEORY","JUST MY LUCK FT. JOSEY SCOTT","Silent Theory/OneRPM","604","594","10","0","20 of 38"
"13","14","12","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","567","573","-6","0","30 of 38"
"21","15","13","DISTURBED","UNSTOPPABLE","Warner","535","554","-19","0","22 of 38"
"20","18","14","SHALLOW SIDE","YOU'RE THE REASON","Thermal","532","495","37","1","22 of 38"
"35","10","15","AVATAR","THE DIRT I'M BURIED IN","G&G","527","631","-104","0","23 of 38"
"10","19","16","DARK BELOW","MAKE BELIEVE","JPS","517","470","47","0","19 of 38"
"3","24","17","GUNS N ROSES","PERHAPS","Geffen/Interscope","492","386","106","2","24 of 38"
"7","22","18","HANNAH CUTT","HAPPY IN HELL","Dark Eyes","483","401","82","0","16 of 38"
"7","26","19","NOVA SONS","PSYCHOPATH","Emberstone & Raye","426","372","54","0","16 of 38"
"7","21","20","DIRTY HONEY","WON'T TAKE ME ALIVE","Dirt","417","405","12","0","24 of 38"
"5","28","21","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","414","351","63","0","23 of 38"
"4","27","22","DAUGHTRY","ARTIFICIAL","Big Machine","403","362","41","1","24 of 38"
"21","20","23","STAIND","LOWEST IN ME","Alchemy","390","446","-56","0","18 of 38"
"11","23","24","HARDY","SOLD OUT","Big Loud Rock/Big Loud","387","389","-2","0","20 of 38"
"5","33","25","DEFYING DECAY","CLOUDS","CB Ent.","363","309","54","0","15 of 38"
"18","25","26","BUSH","ALL THINGS MUST CHANGE","BMG","348","379","-31","0","26 of 38"
"7","32","27","GRETA VAN FLEET","THE FALLING SKY","Republic","345","318","27","2","23 of 38"
