"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"20","1","1","FOZZY","SPOTLIGHT","The Orchard","1038","985","53","0","32 of 38"
"19","2","2","PAPA ROACH","LEAVE A LIGHT ON","New Noize","838","917","-79","0","31 of 38"
"9","4","3","FOO FIGHTERS","THE GLASS","RCA","745","690","55","1","28 of 38"
"8","5","4","ASKING ALEXANDRIA","DARK VOID","Better Noise","736","681","55","1","28 of 38"
"18","3","5","DISTURBED","DON'T TELL ME","Warner","729","761","-32","0","28 of 38"
"6","8","6","GREEN DAY","DILEMMA","Warner","707","604","103","2","27 of 38"
"4","7","7","PEARL JAM","DARK MATTER","Repbulic","702","631","71","1","26 of 38"
"23","6","8","ATREYU","GONE","Spinefarm/Land Shark","693","638","55","1","26 of 38"
"3","15","9","LINKIN PARK","FRIENDLY FIRE","Warner","649","451","198","4","27 of 38"
"8","10","10","BEARTOOTH","I WAS ALIVE","Red Bull","646","564","82","1","25 of 38"
"10","9","11","COREY TAYLOR","WE ARE THE REST","BMG","615","567","48","1","30 of 38"
"8","13","12","BLACKLIST UNION","DANCING WITH THE ANGELS","BLU","600","499","101","1","18 of 38"
"17","12","13","SCOTT STAPP","HIGHER POWER","Shelter","588","525","63","1","26 of 38"
"25","11","14","BAD WOLVES","LEGENDS NEVER DIE","Better Noise","535","548","-13","0","23 of 38"
"5","16","15","NOTHING MORE","IF IT DOESN'T HURT","Better Noise","534","437","97","3","25 of 38"
"4","17","16","GODSMACK","TRUTH","BMG","516","436","80","1","29 of 38"
"14","18","17","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","469","431","38","1","24 of 38"
"7","23","18","BLACKLITE DISTRICT","GIVE ME LIFE FT. JUDD HOOS","AK19","457","374","83","0","19 of 38"
"8","22","19","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","433","379","54","2","23 of 38"
"23","24","20","ANY GIVEN SIN","DYNAMITE","Mascot/MLG","401","359","42","1","18 of 38"
"6","25","21","BLACK STONE CHERRY","WHEN THE PAIN COMES","Mascot/MLG","396","356","40","1","21 of 38"
"20","19","22","SHINEDOWN","A SYMPTOM OF BEING HUMAN","Atlantic/3EE","395","426","-31","0","18 of 38"
