"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"24","1","1","DAUGHTRY","ARTIFICIAL","Big Machine","923","890","33","0","30 of 37"
"14","3","2","FOZZY","SPOTLIGHT","The Orchard","906","833","73","0","33 of 37"
"13","5","3","PAPA ROACH","LEAVE A LIGHT ON","New Noize","827","771","56","0","31 of 37"
"19","4","4","BAD WOLVES","LEGENDS NEVER DIE","Better Noise","811","775","36","1","32 of 37"
"14","6","5","SHINEDOWN","A SYMPTOM OF BEING HUMAN","Atlantic/3EE","732","712","20","0","27 of 37"
"23","8","6","MAMMOTH WVH","I'M ALRIGHT","BMG","697","687","10","0","29 of 37"
"12","11","7","DISTURBED","DON'T TELL ME","Warner","674","606","68","1","29 of 37"
"20","10","8","TIM MONTANA","DEVIL YOU KNOW","BBR/BMG","642","622","20","1","27 of 37"
"19","7","9","STAIND","HERE AND NOW","Alchemy/CO5","605","698","-93","0","25 of 37"
"15","12","10","POINT NORTH","BELOW THE BELT (FT. SET IT OFF)","Hopeless","602","566","36","0","28 of 37"
"11","15","11","WOLVES AT THE GATE","SWEETNESS","Solid State","595","483","112","0","19 of 37"
"14","9","12","GREEN DAY","THE AMERICAN DREAM IS KILLING ME","Warner","584","666","-82","0","27 of 37"
"15","13","13","MIKE SHINODA","ALREADY OVER","Warner","562","560","2","0","26 of 37"
"19","14","14","MOTIONLESS IN WHITE","SIGN OF LIFE","Roadrunner/3EE","552","506","46","1","27 of 37"
"11","18","15","HEARTS & HAND GRENADES","BURN (BY MY FIRE)","Eclipse","507","460","47","0","18 of 37"
"11","20","16","FEAR OF WATER","CODEPENDENT PARASITES (FT. ELIAS SORIANO)","FoW/Pasadena","491","428","63","1","21 of 37"
"17","16","17","ATREYU","GONE","Spinefarm/Land Shark","483","462","21","0","26 of 37"
"18","19","18","BLINK-182","ONE MORE TIME","Columbia","436","449","-13","0","19 of 37"
"4","22","19","COREY TAYLOR","WE ARE THE REST","BMG","426","352","74","5","29 of 37"
"33","2","20","SLEEP THEORY","NUMB","Epitaph","418","884","-466","0","29 of 37"
"11","21","21","SCOTT STAPP","HIGHER POWER","Shelter","414","402","12","1","26 of 37"
"9","27","22","SCOTTY AUSTIN","PSYCHO SEX","Stryker/INgrooves","399","331","68","1","16 of 37"
"8","24","23","COLDWARDS","FLATLINE","Wake Up! Music Rocks","385","335","50","2","20 of 37"
"10","28","24","NOVA SONS","SUPERMAN","SunRaye","381","321","60","1","18 of 37"
"3","23","25","FOO FIGHTERS","THE GLASS","RCA","380","350","30","3","23 of 37"
"9","30","26","ROGUE ROYAL","NOW OR NEVER","SunRaye","361","310","51","1","18 of 37"
"2","37","27","ASKING ALEXANDRIA","DARK VOID","Better Noise","360","245","115","2","21 of 37"
"14","33","28","WESTCREEK","LET ME BLEED","Wake Up! Music Rocks","360","292","68","1","13 of 37"
"17","26","29","ANY GIVEN SIN","DYNAMITE","Mascot/MLG","355","333","22","1","19 of 37"
"8","32","30","DEAD POET SOCIETY","RUNNING IN CIRCLES","Spinefarm","328","298","30","1","21 of 37"
"12","29","31","BUSH","NOWHERE TO GO BUT EVERYWHERE","Round Hill/The Orchard","311","321","-10","1","19 of 37"
"13","35","32","KOBRA PAIGE","LOVE WHAT I HATE","Pasadena Records","310","274","36","0","18 of 37"
"16","31","33","NICKELBACK","SKINNY LITTLE MISSY","BMG","299","308","-9","0","25 of 37"
"11","34","34","AUSTIN MEADE","BLACKOUT","Shelter","297","277","20","0","18 of 37"
"2","40","35","BEARTOOTH","I WAS ALIVE","Red Bull","264","193","71","6","19 of 37"
"8","36","36","DES ROCS","I AM THE LIGHTNING","Sumerian","258","264","-6","0","15 of 37"
"2","41","37","BLACKLIST UNION","DANCING WITH THE ANGELS","BLU","247","188","59","2","17 of 37"
"15","25","38","AVENGED SEVENFOLD","MATTEL","Warner","209","334","-125","0","22 of 37"
"2","43","39","SAINT ASONIA","WOLF FT. JOHN COOPER","Spinefarm","206","179","27","4","19 of 37"
"12","39","40","LINES OF LOYALTY","MY ADDICTION","C3&B/CO5","186","196","-10","0","13 of 37"
"3","44","41","I PREVAIL","CLOSURE","Fearless/Concord","178","173","5","0","11 of 37"
"4","45","42","RAIN CITY DRIVE","FROZEN","Thriller","175","172","3","0","7 of 37"
"25","48","43","FOO FIGHTERS","UNDER YOU","RCA","166","158","8","0","8 of 37"
"1","52","44","BLIND CHANNEL","DEADZONE","Motor/CO5","157","143","14","0","11 of 37"
"8","47","45","SET IT OFF","EVIL PEOPLE","Why Worry/Stem","154","158","-4","0","14 of 37"
"1","62","46","THE BLACK CROWES","WANTING AND WAITING","Silver Lining/Red Light","152","92","60","3","9 of 37"
"1","55","47","DAYSEEKER","DREAMSTATE","Spinefarm/Land Shark","150","126","24","0","12 of 37"
"3","50","48","VELVET CHAINS","STUCK AGAINST A WALL","WWWD/Motor/CO5","147","147","0","2","14 of 37"
"25","46","49","BEARTOOTH","MIGHT LOVE MYSELF","Redbull/The Orchard","146","163","-17","0","10 of 37"
