"WKS ON","LW POS","TW POS","ARTIST","TITLE","LABEL","TW SPIN","LW SPIN","(+/-)","ADDS","STATIONS ON"
"14","1","1","AVENGED SEVENFOLD","NOBODY","Warner","986","965","21","0","34 of 39"
"9","2","2","FOO FIGHTERS","RESCUED","RCA","870","861","9","0","30 of 39"
"12","3","3","MAMMOTH WVH","ANOTHER CELEBRATION AT THE END OF THE WORLD","BMG","857","837","20","0","34 of 39"
"9","5","4","STAIND","LOWEST IN ME","Alchemy","783","762","21","0","28 of 39"
"12","4","5","METALLICA","72 SEASONS","Blackened/Q Prime","779","780","-1","0","29 of 39"
"12","6","6","FROM ASHES TO NEW","HATE ME TOO","Better Noise","706","693","13","1","30 of 39"
"14","8","7","JELLY ROLL","NEED A FAVOR (ROCK VERSION)","Stoney Creek/BMG","700","675","25","1","26 of 39"
"22","7","8","I PREVAIL","DEEP END","Concord","691","692","-1","0","28 of 39"
"9","9","9","DISTURBED","UNSTOPPABLE","Warner","677","645","32","1","30 of 39"
"23","10","10","AVATAR","THE DIRT I'M BURIED IN","G&G","627","612","15","0","28 of 39"
"9","12","11","GHOST","JESUS HE KNOWS ME","Loma Vista/Concord","559","525","34","1","29 of 39"
"9","17","12","THE DEVIL WEARS PRADA","SALT","Solid State","556","489","67","0","19 of 39"
"4","14","13","COREY TAYLOR","BEYOND","BMG","536","497","39","0","29 of 39"
"11","16","14","AYRON JONES","BLOOD IN THE WATER","Big Machine/John Varvatos","521","491","30","0","28 of 39"
"9","15","15","GRETA VAN FLEET","MEETING THE MASTER","Republic","515","494","21","1","26 of 39"
"11","19","16","ATREYU","WATCH ME BURN","Spinefarm/Land Shark","500","474","26","0","26 of 39"
"6","21","17","BUSH","ALL THINGS MUST CHANGE","BMG","493","465","28","1","31 of 39"
"6","24","18","DARK REMEDY","HAUNTED","Von Artists LTD","464","384","80","0","17 of 39"
"19","13","19","LINKIN PARK","LOST","Warner","449","523","-74","0","18 of 39"
"4","23","20","SEVENDUST","EVERYTHING","Napalm","445","398","47","1","28 of 39"
"7","25","21","POINT NORTH","SAFE AND SOUND","Hopeless","431","374","57","2","27 of 39"
"6","26","22","GRAVEL","ALL I WANT","Stryker/INgrooves","412","349","63","0","15 of 39"
"5","27","23","THE NOCTURNAL AFFAIR","IT'S NO GOOD","Madison","389","348","41","0","19 of 39"
"5","28","24","POP EVIL","SKELETONS","MNRK/G&G","381","337","44","0","25 of 39"
"3","36","25","BAD OMENS","THE DEATH OF PEACE OF MIND","Sumerian","375","288","87","4","21 of 39"
"5","30","26","CHAINS OVER RAZORS","BROKEN HOME","Deko","368","311","57","0","17 of 39"
"4","34","27","BLACKLIST UNION","LETTERS FROM THE PSYCH WARD","BLU","359","301","58","0","16 of 39"
"8","31","28","SHALLOW SIDE","YOU'RE THE REASON","Thermal","359","311","48","3","19 of 39"
"16","20","29","GODSMACK","SOUL ON FIRE","BMG","343","473","-130","0","21 of 39"
"15","32","30","OTHERWISE","FULL DISCLOSURE","Mascot","335","308","27","1","19 of 39"
"9","37","31","SMASHING PUMPKINS","EMPIRES","Martha's Music/Thirty Tigers","333","287","46","4","25 of 39"
"5","29","32","PLUSH","LEFT BEHIND","Pavement","332","318","14","0","22 of 39"
"20","22","33","SAINT ASONIA","DEVASTATE","Spinefarm","320","399","-79","0","22 of 39"
"6","35","34","TOMMY VEXT","THE WAR YOU WANTED","One A/FM","318","301","17","0","21 of 39"
"12","33","35","CITIZEN SOLDIER & ROYAL BLISS","THROUGH HELL","Citizen Soldier/Air Castle","293","304","-11","0","16 of 39"
"5","40","36","SET IT OFF","PUNCHING BAG","Why Worry/Stem","291","262","29","0","19 of 39"
"20","41","37","SKILLET","PSYCHO IN MY HEAD","Atlantic","288","249","39","0","19 of 39"
"2","43","38","SCOTT PLANTE","BURNER","Independent","277","241","36","0","15 of 39"
"3","42","39","SAUL","A MILLION MILES","Spinefarm/Land Shark","257","244","13","0","19 of 39"
"14","45","40","RISE AMONG RIVALS","CONVICTIONS","Independent","246","228","18","0","13 of 39"
"1","53","41","WRITTEN BY WOLVES","MISERY","Independent/Land Shark","241","177","64","4","19 of 39"
"1","64","42","SLEEP THEORY","NUMB","Epitaph","227","132","95","2","18 of 39"
"2","49","43","FINGER ELEVEN","TOGETHER RIGHT","Craft/Concord","223","203","20","0","14 of 39"
"7","44","44","OF VIRTUE","CANNIBALS","Arising Empire/FM","221","229","-8","0","12 of 39"
"1","55","45","EMPIIRES","WRAPPED AROUND YOUR FINGER","TLG/INgrooves","218","174","44","0","16 of 39"
"1","52","46","ATRIUM","ABOVE WATER","Curtain Call","218","177","41","2","16 of 39"
"1","69","47","NITA STRAUSS","VICTORIOUS (FT. DOROTHY)","Sumerian","207","113","94","6","18 of 39"
"10","11","48","FIT FOR A KING","REACHING OUT","Solid State","206","586","-380","0","17 of 39"
"1","51","49","THE HU","BLACK THUNDER","Better Noise","203","184","19","0","16 of 39"
"8","48","50","FOR THE FALLEN DREAMS","WITHOUT YOU","Arising Empire","200","210","-10","0","13 of 39"
"5","46","51","SAVING ABEL","BAPTIZE ME","Skiddco/Random EQ","193","222","-29","0","10 of 39"
"-","57","52","FOUR THIRTY FOUR","HIGH ROLLER","EMG/INgrooves","191","161","30","0","13 of 39"
"-","60","53","BLACK STONE CHERRY","NERVOUS","Mascot","189","152","37","1","15 of 39"
"21","38","54","SHINEDOWN","DEAD DON'T DIE","Atlantic","189","283","-94","0","16 of 39"
"18","39","55","FALLING IN REVERSE","WATCH THE WORLD BURN","Epitaph","177","263","-86","0","20 of 39"
"3","54","56","THROUGH FIRE","LOSE IT","Sumerian","174","175","-1","0","11 of 39"
"-","56","57","BLACK HEART SAINTS","HUMAN XSTACY","Cleoptra/CO5","170","168","2","0","12 of 39"
"19","47","58","PAPA ROACH","CUT THE LINE","New Noize/ADA","170","215","-45","0","15 of 39"
"-","75","59","UNCURED","FIGHT THIS WAR","Pavement","162","105","57","1","14 of 39"
"-","63","60","SKINDRED","GIMME THAT BOOM","Earache","162","135","27","1","14 of 39"
"-","77","61","DOPESICK","TAKE ME","Wake Up! Music Rocks","160","96","64","0","13 of 39"
"-","61","62","DES ROCS","NEVER ENDING MOMENT","Sumerian","152","148","4","1","10 of 39"
"2","59","63","ANY GIVEN SIN","CALM BEFORE THE STORM","Mascot","151","157","-6","0","10 of 39"
"-","70","64","THE WARNING","MORE","Republic","132","113","19","0","8 of 39"
"-","62","65","WHITE REAPER","FOG MACHINE","Elektra","132","144","-12","0","14 of 39"
"-","65","66","HARDY","SOLD OUT","Big Loud Rock/Big Loud","131","125","6","1","13 of 39"
"19","58","67","PISTOLS AT DAWN","UNDER THE SURFACE","CO5/Megaforce","129","159","-30","0","10 of 39"
"20","50","68","SALIVA","HIGH ON ME","Megaforce/FM","125","186","-61","0","12 of 39"
"-","76","69","SILENT THEORY","WHAT ARE THE ODDS","OneRPM/Land Shark","120","98","22","0","5 of 39"
"-","84","70","NICKELBACK","THOSE DAYS","BMG","115","81","34","1","9 of 39"
"6","71","71","DEFIANT","IGNITE THE SKY","Curtain Call","113","113","0","0","6 of 39"
"7","67","72","FRAMING HANLEY","START A FIRE","Thermal","111","121","-10","0","9 of 39"
"-","73","73","CAIRO KNIFE FIGHT","CHURN","CKF Records","110","111","-1","0","9 of 39"
"8","66","74","SONS ON FIRE","COLLAPSE","Curtain Call","100","122","-22","0","7 of 39"
"7","18","75","HILLBILLY VEGAS","TWO GUN TOWN","TLG/INgrooves","100","484","-384","0","16 of 39"
"-","78","76","THE WORD ALIVE","NEW REALITY","Thriller","96","96","0","0","4 of 39"
"6","74","77","STRETCH","FIRESTARTER","Curtain Call","91","111","-20","0","6 of 39"
"-","86","78","OVTLIER","HEARTLESS","Ovtlier/Land Shark","88","72","16","0","5 of 39"
"-","95","79","KINGDOM COLLAPSE","ANYTHING","Oxide","86","57","29","0","3 of 39"
"-","80","80","CASKETS","MORE THAN MISERY","SharpTone/Land Shark","84","89","-5","0","6 of 39"
"-","85","81","UGLY KID JOE","THAT AIN'T LIVIN'","Metalville","79","79","0","0","3 of 39"
"-","88","82","THE PLOT IN YOU","LEFT BEHIND","Concord","77","72","5","0","7 of 39"
"-","87","83","BRING ME THE HORIZON","LOST","Columbia","76","72","4","1","6 of 39"
"-","83","84","FILTER","FACE DOWN","Golden Robot","76","84","-8","0","9 of 39"
"-","72","85","THEORY OF A DEADMAN","TWO OF US (STUCK)","Roadrunner/3ee","73","111","-38","0","8 of 39"
"15","82","86","NONPOINT","HEARTLESS","361 Degrees","72","85","-13","0","5 of 39"
"-","-","87","ASKING ALEXANDRIA","PSYCHO","Better Noise","71","0","71","10","10 of 39"
"13","79","88","THE HU","THIS IS MONGOL","Better Noise","64","92","-28","0","8 of 39"
"-","92","89","CHRISTOPHER SHAYNE","ONE MORE ROUND","Independent/Amplify","61","63","-2","0","8 of 39"
"-","-","90","VOXX","UNDERDOG","Independent","60","0","60","12","11 of 39"
"-","120","91","RIDING WITH KILLERS","HOSTILITY","Independent","60","36","24","0","1 of 39"
"7","94","92","SMASH INTO PIECES","SIX FEET UNDER","Endless/Land Shark","59","59","0","0","5 of 39"
"6","68","93","TEXAS HIPPIE COALITION","HELL HOUNDS","MNRK","59","118","-59","0","8 of 39"
"-","90","94","STORY OF THE YEAR","WAR","Sharptone/Land Shark","58","68","-10","0","5 of 39"
"10","93","95","OZZY OSBOURNE","A THOUSAND SHADES FT. JEFF BECK","Epic","57","60","-3","0","5 of 39"
"-","91","96","ANOTHER DAY DAWNS","BITTER","Century Media/Land Shark","56","68","-12","0","6 of 39"
"18","96","97","METALLICA","LUX ÆTERNA","Q Prime/Blackened","55","57","-2","0","4 of 39"
"-","101","98","GXTP","CONTRABAND","CO5","54","53","1","0","5 of 39"
"-","109","99","WITHIN TEMPTATION","WIRELESS","Force/Within Temptation","53","42","11","1","4 of 39"
"-","100","100","AWAKEN I AM","RELIC","RBG","53","53","0","1","6 of 39"
"-","111","101","CALEB HYLES","DARKNESS BEFORE THE DAWN (FT. LACEY STURM)","Judge & Jury/Land Shark","51","41","10","1","6 of 39"
"-","105","102","CROWN THE EMPIRE","SUPERSTAR (FT. REMINGTON LEITH)","Rise/BMG","49","47","2","0","5 of 39"
"-","104","103","THROW THE FIGHT","HOURGLASS","SPV/Long Branch","48","48","0","0","4 of 39"
"25","102","104","BLACK VEIL BRIDES","SAVIOUR II","Sumerian","47","50","-3","0","3 of 39"
"-","112","105","BLAME MY YOUTH","PRIZEFIGHTER","Big Loud Rock","46","41","5","1","3 of 39"
"-","103","106","THE EXIES","SPIRITS HIGH","Independent","44","50","-6","0","4 of 39"
"-","155","107","GLORIOUS SONS","MERCY MERCY","TGS Music Inc","43","15","28","2","5 of 39"
"13","81","108","MUSE","KILL OR BE KILLED","Warner","43","86","-43","0","6 of 39"
"-","110","109","GHOST HOUNDS","MAKE IT SHAKE","Gibson/The Syndicate","42","42","0","0","5 of 39"
"27","113","110","FAME ON FIRE","WELCOME TO THE CHAOS","Hopeless","41","41","0","0","2 of 39"
"19","114","111","MOTIONLESS IN WHITE","WEREWOLF","Roadrunner/EMG","41","41","0","0","4 of 39"
"-","118","112","CENTERSHIFT","FALLING INTO","Auspicious/New Ocean","40","40","0","0","2 of 39"
"8","117","113","THE LOYAL ORDER","LAST WORDS","Bühner Media","40","40","0","0","2 of 39"
"-","122","114","RANCID","TOMORROW NEVER COMES","Epitaph","36","36","0","0","3 of 39"
"-","125","115","DEAD GROOVE","GHOST","Independent","35","35","0","0","3 of 39"
"-","126","116","HOUSEPET","SUGAR LEVITY","New Ocean","35","35","0","0","2 of 39"
"-","116","117","TUK SMITH & THE RESTLESS HEARTS","GIRLS ON THE EAST SIDE OF TOWN","MRG/New Ocean","35","40","-5","0","3 of 39"
"-","107","118","SEVENDUST","FENCE","Napalm","35","45","-10","0","3 of 39"
"-","170","119","BLACK VEIL BRIDES","TEMPLE OF LOVE","Sumerian","33","11","22","1","3 of 39"
